"","Timestamp","Account","Type","Outcome","Direction","Amount","Shares","Price","Var.9","Var.10"
"1",2022-11-12 16:53:12,"0x8c2fa256c8690a6651d4db04ee7c1d08031564fa","Sell","Republican","🔵",4.68,150439.45,0,"","Tx"
"2",2022-11-12 15:42:12,"0x74d8a244bd6d12d64d569ae713686038d871aff5","Sell","Republican","🔵",0,0.97,3e-04,"","Tx"
"3",2022-11-12 15:41:24,"0x74d8a244bd6d12d64d569ae713686038d871aff5","Buy","Republican","🔴",0.5,1750.97,3e-04,"","Tx"
"4",2022-11-12 11:30:09,"0x495b97dcdd8e3e4ae7788ca6a53156cd4907e3fc","Sell","Republican","🔵",0.76,2621.2,3e-04,"","Tx"
"5",2022-11-12 11:03:43,"0x74d8a244bd6d12d64d569ae713686038d871aff5","Sell","Republican","🔵",0.65,1750,4e-04,"","Tx"
"6",2022-11-12 10:57:35,"0x78bba160dfb3413b3b45abaa47ddda87b2443f8b","Sell","Democrat","🔴",51.95,52.92,0.9816,"","Tx"
"7",2022-11-12 10:49:33,"0x7a81d5d0bd724ebd82979a83309eb29dc2286d56","Sell","Republican","🔵",0.13,305.79,4e-04,"","Tx"
"8",2022-11-12 10:48:05,"0x7a81d5d0bd724ebd82979a83309eb29dc2286d56","Buy","Republican","🔴",0.3,700.17,4e-04,"","Tx"
"9",2022-11-12 10:47:09,"0x7a81d5d0bd724ebd82979a83309eb29dc2286d56","Sell","Democrat","🔴",0.98,1,0.9816,"","Tx"
"10",2022-11-12 07:45:25,"0xa580790edd79d029120828ad22c42da2a545c299","Sell","Republican","🔵",0.75,1689.55,4e-04,"","Tx"
"11",2022-11-12 06:25:33,"0x0c0e270cf879583d6a0142fc817e05b768d0434e","Sell","Republican","🔵",2.84,4000,7e-04,"","Tx"
"12",2022-11-12 06:24:05,"0x0c0e270cf879583d6a0142fc817e05b768d0434e","Sell","Republican","🔵",10.69,5000,0.0021,"","Tx"
"13",2022-11-12 06:04:05,"0x704859fdd5916823cf7bac0807549721d8f998c9","Sell","Republican","🔵",0.52,111.29,0.0046,"🥪","Tx"
"14",2022-11-12 06:04:05,"0xa56c9cef0fbbc0523e0da139fa75b43b0650d31c","Buy","Republican","🔴",15,10005.38,0.0015,"","Tx"
"15",2022-11-12 06:04:05,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Republican","🔴",0.05,111.29,5e-04,"🥪","Tx"
"16",2022-11-12 05:31:25,"0xa0fbec0ffc8881c3b20aeaaec02d584d3275e939","Sell","Republican","🔵",0.36,783.8,5e-04,"","Tx"
"17",2022-11-12 05:14:21,"0xa0fbec0ffc8881c3b20aeaaec02d584d3275e939","Buy","Republican","🔴",1,2336.95,4e-04,"","Tx"
"18",2022-11-12 05:13:39,"0xa0fbec0ffc8881c3b20aeaaec02d584d3275e939","Sell","Democrat","🔴",1.96,2,0.9816,"","Tx"
