"","Timestamp","Account","Type","Outcome","Direction","Amount","Shares","Price","Var.9","Var.10"
"1",2022-11-09 09:42:52,"0xa8b7f8b34185e9cc62c471e1d353595148a3ee3c","Buy","Republican","🔴",0.09,659.67,1e-04,"","Tx"
"2",2022-11-09 05:33:53,"0x5681dfa7f4e95c38711dd81d4cd27536a601c1d9","Sell","Republican","🔵",0.14,1132.49,1e-04,"","Tx"
"3",2022-11-09 05:22:27,"0x0c0e270cf879583d6a0142fc817e05b768d0434e","Sell","Republican","🔵",1.02,6327.15,2e-04,"","Tx"
"4",2022-11-09 04:28:27,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Buy","Republican","🔴",0.75,4000,2e-04,"","Tx"
"5",2022-11-09 04:27:33,"0x8f23aead02f055b69c7f7db51a2d74187bb2c7d0","Sell","Republican","🔵",18.55,32835.11,6e-04,"","Tx"
"6",2022-11-09 03:35:55,"0xa0fbec0ffc8881c3b20aeaaec02d584d3275e939","Sell","Republican","🔵",0.82,414.94,0.002,"","Tx"
"7",2022-11-09 03:34:53,"0xa0fbec0ffc8881c3b20aeaaec02d584d3275e939","Buy","Republican","🔴",2,1014.7,0.002,"","Tx"
"8",2022-11-09 03:34:17,"0xa0fbec0ffc8881c3b20aeaaec02d584d3275e939","Sell","Democrat","🔴",9.8,10,0.9802,"","Tx"
"9",2022-11-09 03:00:41,"0x0c0e270cf879583d6a0142fc817e05b768d0434e","Sell","Republican","🔵",13.56,5000,0.0027,"","Tx"
"10",2022-11-09 02:55:13,"0x0c0e270cf879583d6a0142fc817e05b768d0434e","Sell","Republican","🔵",4.67,1000,0.0047,"","Tx"
"11",2022-11-09 02:43:53,"0xd0db79306c38e8ce1969ce80dde58fa67a67b117","Buy","Republican","🔴",2,385.62,0.0052,"","Tx"
"12",2022-11-09 02:42:59,"0x704859fdd5916823cf7bac0807549721d8f998c9","Sell","Republican","🔵",5.45,1008.17,0.0054,"🥪","Tx"
"13",2022-11-09 02:42:59,"0x6727da706628b2f23c416ada554a12c2c378db84","Sell","Democrat","🔴",398.01,407.71,0.9762,"","Tx"
"14",2022-11-09 02:42:59,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Republican","🔴",5.13,1008.17,0.0051,"🥪","Tx"
"15",2022-11-09 02:42:53,"0x0c0e270cf879583d6a0142fc817e05b768d0434e","Sell","Republican","🔵",4.9,1000,0.0049,"","Tx"
"16",2022-11-09 02:41:59,"0x7789806c754eb0af4c3abeb026c218b4ba78f823","Sell","Republican","🔵",2.93,500,0.0059,"","Tx"
"17",2022-11-09 02:40:47,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Republican","🔵",0.63,100,0.0063,"","Tx"
"18",2022-11-09 02:39:15,"0x0c0e270cf879583d6a0142fc817e05b768d0434e","Sell","Republican","🔵",93.01,5000,0.0186,"","Tx"
"19",2022-11-09 02:34:23,"0xd0db79306c38e8ce1969ce80dde58fa67a67b117","Sell","Republican","🔵",14.44,250,0.0578,"","Tx"
"20",2022-11-09 02:18:43,"0x7668efbca0df8195ba199d3e19cb768e8b3779ec","Sell","Republican","🔵",4.54,69.8,0.065,"","Tx"
"21",2022-11-09 02:17:25,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Republican","🔴",1.02,14.81,0.0689,"🥪","Tx"
"22",2022-11-09 02:17:25,"0x72dfe24820a5aa4037c7f746fd27f433e973387d","Buy","Democrat","🔵",300,319.05,0.9403,"","Tx"
"23",2022-11-09 02:17:25,"0x704859fdd5916823cf7bac0807549721d8f998c9","Sell","Republican","🔵",1.28,14.81,0.0862,"🥪","Tx"
"24",2022-11-09 02:12:45,"0xd0db79306c38e8ce1969ce80dde58fa67a67b117","Sell","Republican","🔵",24.25,250,0.097,"","Tx"
"25",2022-11-09 01:21:09,"0xa0fbec0ffc8881c3b20aeaaec02d584d3275e939","Buy","Republican","🔴",8.79,80.2,0.1096,"","Tx"
"26",2022-11-09 01:20:41,"0xa0fbec0ffc8881c3b20aeaaec02d584d3275e939","Sell","Democrat","🔴",8.79,10,0.8792,"","Tx"
"27",2022-11-09 00:45:43,"0x6404bfa37fe830e29ee8967e1c3b2a8091d5f250","Buy","Democrat","🔵",111,122.25,0.9079,"","Tx"
"28",2022-11-09 00:43:29,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Republican","🔴",1.33,11.64,0.1142,"🥪","Tx"
"29",2022-11-09 00:43:29,"0x72dfe24820a5aa4037c7f746fd27f433e973387d","Buy","Democrat","🔵",200,223.17,0.8962,"","Tx"
"30",2022-11-09 00:43:29,"0x704859fdd5916823cf7bac0807549721d8f998c9","Sell","Republican","🔵",1.48,11.64,0.1268,"🥪","Tx"
"31",2022-11-08 23:14:27,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Republican","🔵",13.16,100,0.1316,"","Tx"
"32",2022-11-08 21:59:12,"0x8f23aead02f055b69c7f7db51a2d74187bb2c7d0","Buy","Republican","🔴",12,85.47,0.1404,"","Tx"
"33",2022-11-08 21:31:36,"0x72dfe24820a5aa4037c7f746fd27f433e973387d","Sell","Democrat","🔴",207.13,244.14,0.8484,"","Tx"
"34",2022-11-08 21:29:40,"0x0e8d61f16a2373931ffbfc2993f046e33286dfcc","Buy","Republican","🔴",55,407.26,0.135,"","Tx"
"35",2022-11-08 21:27:54,"0x7668efbca0df8195ba199d3e19cb768e8b3779ec","Buy","Republican","🔴",75.4,580.09,0.13,"","Tx"
"36",2022-11-08 21:27:36,"0x7668efbca0df8195ba199d3e19cb768e8b3779ec","Buy","Republican","🔴",55,440.06,0.125,"","Tx"
"37",2022-11-08 21:26:36,"0x704859fdd5916823cf7bac0807549721d8f998c9","Sell","Republican","🔵",812.11,5476.42,0.1483,"","Tx"
"38",2022-11-08 21:23:10,"0x7668efbca0df8195ba199d3e19cb768e8b3779ec","Sell","Republican","🔵",72.53,387.86,0.187,"","Tx"
"39",2022-11-08 21:22:46,"0x72dfe24820a5aa4037c7f746fd27f433e973387d","Buy","Democrat","🔵",200,244.15,0.8192,"","Tx"
"40",2022-11-08 21:22:02,"0x7668efbca0df8195ba199d3e19cb768e8b3779ec","Sell","Republican","🔵",113.02,568.53,0.1988,"","Tx"
"41",2022-11-08 21:21:40,"0x7668efbca0df8195ba199d3e19cb768e8b3779ec","Sell","Republican","🔵",118.65,568.6,0.2087,"","Tx"
"42",2022-11-08 21:19:26,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Republican","🔵",223.22,1000,0.2232,"","Tx"
"43",2022-11-08 21:19:10,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Republican","🔵",243.27,1000,0.2433,"","Tx"
"44",2022-11-08 21:11:04,"0x6727da706628b2f23c416ada554a12c2c378db84","Buy","Democrat","🔵",305.94,407.71,0.7504,"","Tx"
"45",2022-11-08 21:08:22,"0x8f23aead02f055b69c7f7db51a2d74187bb2c7d0","Buy","Republican","🔴",200,757.62,0.264,"","Tx"
"46",2022-11-08 21:08:22,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Republican","🔴",1117.74,5476.42,0.2041,"","Tx"
"47",2022-11-08 21:06:40,"0x8f23aead02f055b69c7f7db51a2d74187bb2c7d0","Buy","Republican","🔴",200,1310.09,0.1527,"","Tx"
"48",2022-11-08 20:49:30,"0x2b9b0cda300ee93ba73bb58bbda14fdb19397feb","Sell","Republican","🔵",45.38,320.9,0.1414,"","Tx"
"49",2022-11-08 19:20:36,"0x8f23aead02f055b69c7f7db51a2d74187bb2c7d0","Buy","Republican","🔴",65,445.41,0.1459,"","Tx"
"50",2022-11-08 19:18:38,"0x0364e487ccd5a61d3c83848a420846848ae08061","Buy","Democrat","🔵",25,28.58,0.8748,"","Tx"
"51",2022-11-08 18:58:54,"0x704859fdd5916823cf7bac0807549721d8f998c9","Sell","Republican","🔵",476.41,3033.75,0.157,"🥪","Tx"
"52",2022-11-08 18:58:54,"0x8f23aead02f055b69c7f7db51a2d74187bb2c7d0","Buy","Republican","🔴",100,556.12,0.1798,"","Tx"
"53",2022-11-08 18:58:54,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Republican","🔴",472.21,3033.75,0.1557,"🥪","Tx"
"54",2022-11-08 18:58:12,"0x704859fdd5916823cf7bac0807549721d8f998c9","Sell","Republican","🔵",964.1,5711.58,0.1688,"🥪","Tx"
"55",2022-11-08 18:58:12,"0x8f23aead02f055b69c7f7db51a2d74187bb2c7d0","Buy","Republican","🔴",200,945.24,0.2116,"","Tx"
"56",2022-11-08 18:58:12,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Republican","🔴",925.1,5711.58,0.162,"🥪","Tx"
"57",2022-11-08 18:44:46,"0xb29ea4336f526dbd62a123a93f11f6c46f53bea4","Buy","Democrat","🔵",50,56.16,0.8903,"","Tx"
"58",2022-11-08 18:14:38,"0x95ab98429c6066d5d3845c51e4c60a80ab604ecb","Buy","Democrat","🔵",300,337.73,0.8883,"","Tx"
"59",2022-11-08 18:13:30,"0x95ab98429c6066d5d3845c51e4c60a80ab604ecb","Buy","Democrat","🔵",1000,1135.63,0.8806,"","Tx"
"60",2022-11-08 17:37:50,"0x6404bfa37fe830e29ee8967e1c3b2a8091d5f250","Buy","Democrat","🔵",333,381.83,0.8721,"","Tx"
"61",2022-11-08 15:54:50,"0x704859fdd5916823cf7bac0807549721d8f998c9","Sell","Republican","🔵",803.03,4820.32,0.1666,"🥪","Tx"
"62",2022-11-08 15:54:50,"0x8f23aead02f055b69c7f7db51a2d74187bb2c7d0","Buy","Republican","🔴",150,767.97,0.1953,"","Tx"
"63",2022-11-08 15:54:50,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Republican","🔴",794.17,4820.32,0.1648,"🥪","Tx"
"64",2022-11-08 15:51:14,"0x704859fdd5916823cf7bac0807549721d8f998c9","Sell","Republican","🔵",214.91,1502.06,0.1431,"","Tx"
"65",2022-11-08 15:51:12,"0x8f23aead02f055b69c7f7db51a2d74187bb2c7d0","Buy","Republican","🔴",100,657.29,0.1521,"","Tx"
"66",2022-11-08 15:51:12,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Republican","🔴",214.28,1502.06,0.1427,"","Tx"
"67",2022-11-08 15:49:12,"0x704859fdd5916823cf7bac0807549721d8f998c9","Sell","Republican","🔵",864.99,5537.32,0.1562,"🥪","Tx"
"68",2022-11-08 15:49:12,"0x8f23aead02f055b69c7f7db51a2d74187bb2c7d0","Buy","Republican","🔴",150,804.01,0.1866,"","Tx"
"69",2022-11-08 15:49:12,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Republican","🔴",854.13,5537.32,0.1542,"🥪","Tx"
"70",2022-11-08 15:43:28,"0x7668efbca0df8195ba199d3e19cb768e8b3779ec","Sell","Republican","🔵",98.57,767.92,0.1284,"","Tx"
"71",2022-11-08 14:06:52,"0xe03db5c44f79df6f4be1954ef30da82dc395189a","Buy","Democrat","🔵",100,113.41,0.8818,"","Tx"
"72",2022-11-08 13:53:04,"0xe03db5c44f79df6f4be1954ef30da82dc395189a","Buy","Democrat","🔵",200,227.17,0.8804,"","Tx"
"73",2022-11-08 13:21:46,"0xb866c60da64481442a678b68c66d4c0045d536d4","Buy","Democrat","🔵",146,166.14,0.8788,"","Tx"
"74",2022-11-08 13:20:18,"0xb866c60da64481442a678b68c66d4c0045d536d4","Sell","Republican","🔵",139.34,999.98,0.1393,"","Tx"
"75",2022-11-08 12:54:28,"0x65a56a39f86233eba3dc387257e77bdea9f2e0be","Buy","Democrat","🔵",20,23.01,0.8694,"","Tx"
"76",2022-11-08 12:53:54,"0x8f23aead02f055b69c7f7db51a2d74187bb2c7d0","Buy","Republican","🔴",200,1398.43,0.143,"","Tx"
"77",2022-11-08 12:23:04,"0x8f23aead02f055b69c7f7db51a2d74187bb2c7d0","Buy","Republican","🔴",200,1516.46,0.1319,"","Tx"
"78",2022-11-08 05:49:50,"0x6404bfa37fe830e29ee8967e1c3b2a8091d5f250","Sell","Republican","🔵",21.43,174.48,0.1228,"","Tx"
"79",2022-11-08 02:05:04,"0x6a29804939d1dd6a00ba3ff807402d0de90e0f11","Sell","Democrat","🔴",6.82,7.94,0.8587,"","Tx"
"80",2022-11-08 01:49:10,"0xd0db79306c38e8ce1969ce80dde58fa67a67b117","Sell","Republican","🔵",62.23,500,0.1245,"","Tx"
"81",2022-11-07 22:41:24,"0xa0fbec0ffc8881c3b20aeaaec02d584d3275e939","Buy","Republican","🔴",13.01,100.03,0.1301,"","Tx"
"82",2022-11-07 22:40:24,"0xa0fbec0ffc8881c3b20aeaaec02d584d3275e939","Sell","Democrat","🔴",17.99,21,0.8568,"","Tx"
"83",2022-11-07 20:05:18,"0x8016502332a54f42608d7e12549dbc82328a9894","Buy","Democrat","🔵",6,6.75,0.8885,"","Tx"
"84",2022-11-07 18:33:00,"0x415467fcd0d03a1268bccebb9af7d64ad2849f36","Buy","Democrat","🔵",1000,1128.39,0.8862,"","Tx"
"85",2022-11-07 18:32:24,"0xd0db79306c38e8ce1969ce80dde58fa67a67b117","Sell","Republican","🔵",32.54,249.98,0.1302,"","Tx"
"86",2022-11-07 17:44:57,"0xdd8e67a862bd81067891ad41e86e9673229ef023","Buy","Democrat","🔵",400,453.6,0.8818,"","Tx"
"87",2022-11-07 15:35:25,"0x435a5720778c89a1efddc38e12c6faed18e42c4f","Buy","Democrat","🔵",1000,1138.51,0.8783,"","Tx"
"88",2022-11-07 07:06:33,"0xa8b7f8b34185e9cc62c471e1d353595148a3ee3c","Sell","Republican","🔵",91.56,659.1,0.1389,"","Tx"
"89",2022-11-07 02:39:05,"0xe1aff568c9ce89fbd38e89071515f1d75aefd23b","Buy","Democrat","🔵",100,114.62,0.8725,"","Tx"
"90",2022-11-06 20:43:36,"0x95ab98429c6066d5d3845c51e4c60a80ab604ecb","Buy","Democrat","🔵",500,574.15,0.8708,"","Tx"
"91",2022-11-06 15:25:44,"0x0c0e270cf879583d6a0142fc817e05b768d0434e","Sell","Republican","🔵",296.6,2000,0.1483,"","Tx"
"92",2022-11-06 12:21:31,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Republican","🔴",48.52,306.91,0.1581,"🥪","Tx"
"93",2022-11-06 12:21:31,"0x95ab98429c6066d5d3845c51e4c60a80ab604ecb","Sell","Republican","🔵",349.11,2222,0.1571,"","Tx"
"94",2022-11-06 12:21:31,"0x704859fdd5916823cf7bac0807549721d8f998c9","Sell","Republican","🔵",50.16,306.91,0.1634,"🥪","Tx"
"95",2022-11-06 04:47:05,"0xa0fbec0ffc8881c3b20aeaaec02d584d3275e939","Sell","Republican","🔵",10.61,64.52,0.1644,"","Tx"
"96",2022-11-05 22:24:17,"0x60e3228cf7e4d200c2eff78e10e7a56f775049c0","Buy","Democrat","🔵",500,590.85,0.8462,"","Tx"
"97",2022-11-05 19:34:29,"0xca62d607db80661b987badf01abb499eee5afbfa","Sell","Republican","🔵",118.35,699.98,0.1691,"","Tx"
"98",2022-11-05 15:56:56,"0x2b9b0cda300ee93ba73bb58bbda14fdb19397feb","Sell","Democrat","🔴",18.16,22.39,0.8113,"","Tx"
"99",2022-11-05 12:55:33,"0x7668efbca0df8195ba199d3e19cb768e8b3779ec","Sell","Republican","🔵",212.1,1220.77,0.1737,"","Tx"
"100",2022-11-05 06:26:01,"0xa0fbec0ffc8881c3b20aeaaec02d584d3275e939","Sell","Republican","🔵",13.53,76.42,0.177,"","Tx"
"101",2022-11-05 02:03:52,"0x8f23aead02f055b69c7f7db51a2d74187bb2c7d0","Buy","Republican","🔴",300,1672.21,0.1794,"","Tx"
"102",2022-11-05 00:11:28,"0x7668efbca0df8195ba199d3e19cb768e8b3779ec","Sell","Republican","🔵",153.89,899.64,0.1711,"","Tx"
"103",2022-11-04 23:35:03,"0x8f23aead02f055b69c7f7db51a2d74187bb2c7d0","Buy","Republican","🔴",500,2900.52,0.1724,"","Tx"
"104",2022-11-04 23:34:25,"0x8f23aead02f055b69c7f7db51a2d74187bb2c7d0","Buy","Republican","🔴",500,3162.96,0.1581,"","Tx"
"105",2022-11-04 21:24:11,"0x7668efbca0df8195ba199d3e19cb768e8b3779ec","Sell","Republican","🔵",149.95,1014.35,0.1478,"","Tx"
"106",2022-11-04 21:09:37,"0x704859fdd5916823cf7bac0807549721d8f998c9","Sell","Republican","🔵",1132.58,6721.72,0.1685,"🥪","Tx"
"107",2022-11-04 21:09:37,"0x8f23aead02f055b69c7f7db51a2d74187bb2c7d0","Buy","Republican","🔴",250,1306.17,0.1914,"","Tx"
"108",2022-11-04 21:09:37,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Republican","🔴",1123.23,6721.72,0.1671,"🥪","Tx"
"109",2022-11-04 05:15:48,"0xef525de831c06aae231090f2baac39ba7623cd4b","Sell","Republican","🔵",231.59,1571.3,0.1474,"","Tx"
"110",2022-11-04 04:19:06,"0xdcd962e5da7c9506bba32ea99cfff18a3e9a35d4","Buy","Republican","🔴",3.14,20,0.1568,"","Tx"
