"","Timestamp","Account","Type","Outcome","Direction","Amount","Shares","Price","Var.9","Var.10"
"1",2022-11-17 16:31:00,"0x8c2fa256c8690a6651d4db04ee7c1d08031564fa","Sell","Yes","❌",0.26,173766.83,0,"","Tx"
"2",2022-11-17 16:31:00,"0x8c2fa256c8690a6651d4db04ee7c1d08031564fa","Sell","Yes","❌",0.41,112944.08,0,"","Tx"
"3",2022-11-17 16:31:00,"0x8c2fa256c8690a6651d4db04ee7c1d08031564fa","Sell","Yes","❌",8.07,173598.65,0,"","Tx"
"4",2022-11-17 00:18:27,"0x0c0e270cf879583d6a0142fc817e05b768d0434e","Sell","Yes","❌",5.44,9000,6e-04,"","Tx"
"5",2022-11-16 20:58:01,"0x8a4c788f043023b8b28a762216d037e9f148532b","Buy","Yes","✅",3,3865.24,8e-04,"","Tx"
"6",2022-11-16 17:09:29,"0x0c0e270cf879583d6a0142fc817e05b768d0434e","Sell","Yes","❌",15.85,11000,0.0014,"","Tx"
"7",2022-11-16 15:37:27,"0x99a3cf3278c7c1683ce60bdaa7c13cd402b8b982","Sell","No","✅",867.4,875.33,0.9909,"","Tx"
"8",2022-11-16 13:59:43,"0xda75e05f29ed9e97f4420bafe11ba0323d27b8fd","Buy","Yes","✅",2,776.52,0.0026,"","Tx"
"9",2022-11-16 04:12:52,"0xa0fbec0ffc8881c3b20aeaaec02d584d3275e939","Sell","Yes","❌",0.05,20.73,0.0023,"","Tx"
"10",2022-11-16 04:07:42,"0xa0fbec0ffc8881c3b20aeaaec02d584d3275e939","Buy","Yes","✅",0.5,214.58,0.0023,"","Tx"
"11",2022-11-16 04:06:28,"0xa0fbec0ffc8881c3b20aeaaec02d584d3275e939","Sell","No","✅",0.99,1,0.9917,"","Tx"
"12",2022-11-15 23:53:30,"0x0c0e270cf879583d6a0142fc817e05b768d0434e","Sell","Yes","❌",0,0.03,0.0023,"","Tx"
"13",2022-11-15 23:50:38,"0x74d8a244bd6d12d64d569ae713686038d871aff5","Sell","Yes","❌",0.01,2.78,0.0023,"","Tx"
"14",2022-11-15 23:50:04,"0x74d8a244bd6d12d64d569ae713686038d871aff5","Sell","Yes","❌",0.05,21,0.0023,"","Tx"
"15",2022-11-15 23:46:56,"0x74d8a244bd6d12d64d569ae713686038d871aff5","Buy","Yes","✅",1.2,555.68,0.0022,"","Tx"
"16",2022-11-15 23:40:54,"0x0c0e270cf879583d6a0142fc817e05b768d0434e","Sell","Yes","❌",11.15,3522.8,0.0032,"","Tx"
"17",2022-11-15 23:01:28,"0x74d8a244bd6d12d64d569ae713686038d871aff5","Buy","Yes","✅",3.7,833.61,0.0044,"","Tx"
"18",2022-11-15 19:30:46,"0x07c4f39862e865e6f9d307f1df5e6c24367d2c5b","Sell","Yes","❌",0.01,1.77,0.0039,"","Tx"
