"","Timestamp","Account","Type","Outcome","Direction","Amount","Shares","Price","Var.9","Var.10"
"1",2022-11-13 19:00:37,"0x8c2fa256c8690a6651d4db04ee7c1d08031564fa","Sell","Yes","❌",0.1,51144.64,0,"","Tx"
"2",2022-11-13 19:00:33,"0x8c2fa256c8690a6651d4db04ee7c1d08031564fa","Sell","Yes","❌",1.48,85226.33,0,"","Tx"
"3",2022-11-13 06:19:15,"0x9f6e51441d817a3687b3a413d3f815ba8c8dff8f","Sell","Yes","❌",0,0.97,1e-04,"","Tx"
"4",2022-11-13 06:18:49,"0x9f6e51441d817a3687b3a413d3f815ba8c8dff8f","Buy","Yes","✅",0,0.97,1e-04,"","Tx"
"5",2022-11-13 02:46:05,"0x9f6e51441d817a3687b3a413d3f815ba8c8dff8f","Sell","Yes","❌",0,29.99,1e-04,"","Tx"
"6",2022-11-13 02:40:03,"0x0c0e270cf879583d6a0142fc817e05b768d0434e","Sell","Yes","❌",1.91,8999.99,2e-04,"","Tx"
"7",2022-11-13 02:30:35,"0xee292607d48ecee93afc0fe9994fbe316f59c56d","Sell","Yes","❌",1.85,2798.11,7e-04,"","Tx"
"8",2022-11-13 02:11:28,"0x74d8a244bd6d12d64d569ae713686038d871aff5","Buy","Yes","✅",1.64,2307.83,7e-04,"","Tx"
"9",2022-11-12 23:23:20,"0x74d8a244bd6d12d64d569ae713686038d871aff5","Buy","Yes","✅",1.4,4293.7,3e-04,"","Tx"
"10",2022-11-12 23:04:24,"0xf138d197f975dfc2be67addb45b902f15ad053b7","Sell","Yes","❌",5.37,8270.95,6e-04,"","Tx"
"11",2022-11-12 15:42:16,"0x9f6e51441d817a3687b3a413d3f815ba8c8dff8f","Buy","Yes","✅",0.02,10,0.002,"","Tx"
"12",2022-11-12 15:39:30,"0x74d8a244bd6d12d64d569ae713686038d871aff5","Buy","Yes","✅",0.5,262.39,0.0019,"","Tx"
"13",2022-11-12 15:35:48,"0x9f6e51441d817a3687b3a413d3f815ba8c8dff8f","Buy","Yes","✅",0.04,20,0.0018,"","Tx"
"14",2022-11-12 05:48:39,"0x9f6e51441d817a3687b3a413d3f815ba8c8dff8f","Sell","Yes","❌",0.06,35,0.0018,"","Tx"
"15",2022-11-12 01:00:48,"0x9f6e51441d817a3687b3a413d3f815ba8c8dff8f","Buy","Yes","✅",0.06,35,0.0018,"","Tx"
"16",2022-11-12 00:56:00,"0x9f6e51441d817a3687b3a413d3f815ba8c8dff8f","Sell","Yes","❌",0.06,35,0.0018,"","Tx"
"17",2022-11-11 13:05:46,"0x9f6e51441d817a3687b3a413d3f815ba8c8dff8f","Buy","Yes","✅",0.02,10,0.0018,"","Tx"
"18",2022-11-11 12:41:13,"0x9f6e51441d817a3687b3a413d3f815ba8c8dff8f","Buy","Yes","✅",0.01,5,0.0018,"","Tx"
"19",2022-11-11 12:01:24,"0x9f6e51441d817a3687b3a413d3f815ba8c8dff8f","Buy","Yes","✅",0.02,10.01,0.0018,"","Tx"
"20",2022-11-11 10:14:07,"0x9f6e51441d817a3687b3a413d3f815ba8c8dff8f","Buy","Yes","✅",0.02,10,0.0018,"","Tx"
"21",2022-11-11 09:13:13,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Yes","✅",0.12,67.06,0.0017,"","Tx"
"22",2022-11-11 07:28:47,"0xee292607d48ecee93afc0fe9994fbe316f59c56d","Sell","Yes","❌",6.35,2000,0.0032,"","Tx"
"23",2022-11-11 06:30:55,"0x0c0e270cf879583d6a0142fc817e05b768d0434e","Sell","Yes","❌",2.1,307.05,0.0068,"","Tx"
"24",2022-11-11 03:19:09,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Yes","✅",0.9,119.53,0.0075,"","Tx"
"25",2022-11-11 03:17:11,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Yes","✅",2,323.95,0.0062,"","Tx"
"26",2022-11-11 02:44:22,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Yes","✅",1,202.28,0.0049,"","Tx"
"27",2022-11-11 02:25:01,"0x856f95bfdbb9b1401cfe56274c9a08df1e8ae1d7","Sell","Yes","❌",10.69,1251,0.0085,"","Tx"
"28",2022-11-11 02:09:11,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Yes","✅",1,63.95,0.0156,"","Tx"
"29",2022-11-11 01:26:31,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Yes","✅",1.5,107.56,0.0139,"","Tx"
"30",2022-11-11 01:26:05,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Yes","✅",1,80.86,0.0124,"","Tx"
"31",2022-11-10 23:43:50,"0x74d8a244bd6d12d64d569ae713686038d871aff5","Buy","Yes","✅",3,301.36,0.01,"","Tx"
"32",2022-11-10 22:17:28,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Yes","✅",1,126.44,0.0079,"","Tx"
"33",2022-11-10 18:38:38,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Yes","❌",4.83,500,0.0097,"","Tx"
"34",2022-11-10 16:03:10,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Yes","❌",4.69,300,0.0156,"","Tx"
"35",2022-11-10 16:01:24,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Yes","❌",2.08,100,0.0208,"","Tx"
"36",2022-11-10 15:52:44,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Yes","❌",5.13,191.65,0.0268,"","Tx"
"37",2022-11-10 15:41:20,"0x1cdff8114baec82855f2e0de18996e04f91cceef","Sell","No","✅",14.72,15.29,0.9627,"","Tx"
"38",2022-11-10 14:51:42,"0x74d8a244bd6d12d64d569ae713686038d871aff5","Buy","Yes","✅",5.7,221.2,0.0258,"","Tx"
"39",2022-11-10 14:44:44,"0x74d8a244bd6d12d64d569ae713686038d871aff5","Buy","Yes","✅",3.66,199.65,0.0183,"","Tx"
"40",2022-11-10 14:15:32,"0x74d8a244bd6d12d64d569ae713686038d871aff5","Buy","Yes","✅",1.48,100.05,0.0148,"","Tx"
"41",2022-11-10 14:13:16,"0x74d8a244bd6d12d64d569ae713686038d871aff5","Buy","Yes","✅",1.29,99.59,0.013,"","Tx"
"42",2022-11-10 09:29:16,"0x74d8a244bd6d12d64d569ae713686038d871aff5","Buy","Yes","✅",1.15,100.28,0.0115,"","Tx"
"43",2022-11-10 08:16:50,"0x74d8a244bd6d12d64d569ae713686038d871aff5","Buy","Yes","✅",0.53,50,0.0105,"","Tx"
"44",2022-11-10 08:07:10,"0x74d8a244bd6d12d64d569ae713686038d871aff5","Buy","Yes","✅",0.97,100.41,0.0097,"","Tx"
"45",2022-11-10 07:25:22,"0x74d8a244bd6d12d64d569ae713686038d871aff5","Buy","Yes","✅",1.65,199.69,0.0083,"","Tx"
"46",2022-11-10 06:25:36,"0x9f6e51441d817a3687b3a413d3f815ba8c8dff8f","Buy","Yes","✅",0.11,14.74,0.0074,"","Tx"
"47",2022-11-10 06:10:18,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Yes","❌",13.89,1000,0.0139,"","Tx"
"48",2022-11-10 06:05:40,"0x74d8a244bd6d12d64d569ae713686038d871aff5","Sell","Yes","❌",2.89,100.02,0.0289,"","Tx"
"49",2022-11-10 03:58:17,"0x74d8a244bd6d12d64d569ae713686038d871aff5","Buy","Yes","✅",1.24,40,0.0309,"","Tx"
"50",2022-11-10 03:55:57,"0x74d8a244bd6d12d64d569ae713686038d871aff5","Buy","Yes","✅",1.15,40.01,0.0287,"","Tx"
"51",2022-11-10 02:27:01,"0xa53ed5870cc4ee0d0d3cf51702ed87d8d84ee3b2","Sell","Yes","❌",8.8,250,0.0352,"","Tx"
"52",2022-11-10 01:42:21,"0x74d8a244bd6d12d64d569ae713686038d871aff5","Buy","Yes","✅",0.9,20,0.0447,"","Tx"
"53",2022-11-10 01:30:58,"0x9f6e51441d817a3687b3a413d3f815ba8c8dff8f","Buy","No","❌",8,8.32,0.9619,"","Tx"
"54",2022-11-09 19:55:50,"0x5681dfa7f4e95c38711dd81d4cd27536a601c1d9","Buy","Yes","✅",5,128.32,0.039,"","Tx"
"55",2022-11-09 18:11:50,"0x0c0e270cf879583d6a0142fc817e05b768d0434e","Buy","Yes","✅",3,96.58,0.0311,"","Tx"
"56",2022-11-09 18:10:40,"0x0c0e270cf879583d6a0142fc817e05b768d0434e","Buy","Yes","✅",5,210.47,0.0238,"","Tx"
"57",2022-11-09 11:56:57,"0x8a4c788f043023b8b28a762216d037e9f148532b","Buy","Yes","✅",5,312.12,0.016,"","Tx"
"58",2022-11-09 11:45:55,"0x37ea663f38ffc6e0bf5793a140cb62a970b06082","Sell","Yes","❌",4.67,298.13,0.0157,"","Tx"
"59",2022-11-09 11:32:45,"0x8016502332a54f42608d7e12549dbc82328a9894","Buy","No","❌",2,2.03,0.9865,"","Tx"
