"","Timestamp","Account","Type","Outcome","Direction","Amount","Shares","Price","Var.9","Var.10"
"1",2022-11-09 06:36:52,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Republican","🔵",0.01,0.01,0.9794,"","Tx"
"2",2022-11-09 06:36:10,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",0.16,61.57,0.0026,"","Tx"
"3",2022-11-09 05:35:33,"0x45cc78578b082e89f21e847a3afec8d28cd26400","Sell","Democrat","🔴",0.31,122.69,0.0025,"","Tx"
"4",2022-11-09 05:27:11,"0x5681dfa7f4e95c38711dd81d4cd27536a601c1d9","Sell","Democrat","🔴",2.05,739.44,0.0028,"","Tx"
"5",2022-11-09 05:02:37,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",1,332.73,0.003,"","Tx"
"6",2022-11-09 05:00:23,"0x0babad89919ea50c054aeed005584404ba541d3a","Sell","Republican","🔵",57.87,59.1,0.9792,"","Tx"
"7",2022-11-09 04:56:16,"0xdc118cb573f1161bb88fb84b0d1b6c30faf82d7a","Sell","Democrat","🔴",0.05,16.68,0.0028,"","Tx"
"8",2022-11-09 02:43:17,"0xee292607d48ecee93afc0fe9994fbe316f59c56d","Sell","Democrat","🔴",15.65,3500,0.0045,"","Tx"
"9",2022-11-09 02:33:07,"0xee292607d48ecee93afc0fe9994fbe316f59c56d","Sell","Democrat","🔴",8.75,1001,0.0087,"","Tx"
"10",2022-11-09 02:26:05,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",12,1420.32,0.0084,"","Tx"
"11",2022-11-09 02:02:45,"0xb606128e1ff9db1eb0451c01cf79f0a505f26992","Buy","Democrat","🔵",5,880.72,0.0057,"","Tx"
"12",2022-11-09 02:02:45,"0xee292607d48ecee93afc0fe9994fbe316f59c56d","Sell","Democrat","🔴",25.08,3000,0.0084,"","Tx"
"13",2022-11-09 02:00:37,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",0.11,7.37,0.0151,"","Tx"
"14",2022-11-09 01:46:11,"0xdc118cb573f1161bb88fb84b0d1b6c30faf82d7a","Buy","Democrat","🔵",0.25,16.69,0.015,"","Tx"
"15",2022-11-09 01:34:37,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",2,138.58,0.0144,"","Tx"
"16",2022-11-09 01:20:23,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",1,72.88,0.0137,"","Tx"
"17",2022-11-09 01:16:05,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",1,75.43,0.0133,"","Tx"
"18",2022-11-09 01:10:09,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",2,159.12,0.0126,"","Tx"
"19",2022-11-09 01:03:31,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Democrat","🔴",15,1000,0.015,"","Tx"
"20",2022-11-09 00:37:57,"0xee292607d48ecee93afc0fe9994fbe316f59c56d","Sell","Democrat","🔴",26.6,999,0.0266,"","Tx"
"21",2022-11-09 00:24:41,"0x5681dfa7f4e95c38711dd81d4cd27536a601c1d9","Buy","Democrat","🔵",22,739.44,0.0298,"","Tx"
"22",2022-11-08 23:26:33,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Democrat","🔴",6.04,250,0.0242,"","Tx"
"23",2022-11-08 22:36:24,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Democrat","🔴",5.42,203.49,0.0266,"","Tx"
"24",2022-11-08 22:35:52,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",0.1,3.55,0.0281,"","Tx"
"25",2022-11-08 22:27:28,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Democrat","🔴",6.94,250,0.0278,"","Tx"
"26",2022-11-08 21:16:32,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Democrat","🔴",5.79,200,0.0289,"","Tx"
"27",2022-11-08 21:02:56,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Democrat","🔴",1.48,50,0.0296,"","Tx"
"28",2022-11-08 20:50:50,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Democrat","🔴",0.15,4.92,0.0297,"","Tx"
"29",2022-11-08 20:12:42,"0xee292607d48ecee93afc0fe9994fbe316f59c56d","Sell","Democrat","🔴",32.53,999,0.0326,"","Tx"
"30",2022-11-08 18:41:10,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Democrat","🔴",7.27,200,0.0363,"","Tx"
