"","Timestamp","Account","Type","Outcome","Direction","Amount","Shares","Price","Var.9","Var.10"
"1",2022-11-19 20:19:54,"0x707fcbee57f4cce324ab9b7ed259a1122e9934c8","Sell","Democrat","🔴",509.24,662.9,0.7682,"","Tx"
"2",2022-11-19 19:53:34,"0xe2b1fc269d0c2e27da11fadd1d9596fe28227d2a","Sell","Republican","🔵",106.76,500,0.2135,"","Tx"
"3",2022-11-19 18:18:07,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Republican","🔵",102.22,474.99,0.2152,"","Tx"
"4",2022-11-19 14:42:34,"0x8388d06fc408717cd040729dc32f800a04908ba7","Sell","Republican","🔵",300.08,1373.94,0.2184,"","Tx"
"5",2022-11-19 12:37:58,"0x6c2ecdbf7b8b82bdd49f6bfbabdff8208d6b75ea","Buy","Democrat","🔵",100,126.73,0.7891,"","Tx"
"6",2022-11-19 12:30:54,"0x87bf95bb48762f0e4442c57230107e83be1c3cca","Buy","Republican","🔴",100,437.34,0.2287,"","Tx"
"7",2022-11-19 07:18:31,"0xe2b1fc269d0c2e27da11fadd1d9596fe28227d2a","Sell","Republican","🔵",221.5,1000,0.2215,"","Tx"
"8",2022-11-19 05:23:09,"0xa8b7f8b34185e9cc62c471e1d353595148a3ee3c","Sell","Republican","🔵",2.9,13,0.2233,"","Tx"
"9",2022-11-19 03:35:59,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Republican","🔵",22.35,99.99,0.2235,"","Tx"
"10",2022-11-19 03:34:59,"0xd1acd3925d895de9aec98ff95f3a30c5279d08d5","Sell","Republican","🔵",112.29,500,0.2246,"","Tx"
"11",2022-11-19 03:34:33,"0x704859fdd5916823cf7bac0807549721d8f998c9","Sell","Republican","🔵",14.6,64.7,0.2256,"🥪","Tx"
"12",2022-11-19 03:34:33,"0xca4aa130babfb81c7d65283e10c99336dfac490c","Buy","Republican","🔴",1000,4425.54,0.226,"","Tx"
"13",2022-11-19 03:34:33,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Republican","🔴",14.1,64.7,0.2179,"🥪","Tx"
"14",2022-11-19 02:40:03,"0x68cecf6fdaaa7cd18caf166691d73401407bd06d","Sell","Republican","🔵",211.74,1000,0.2117,"","Tx"
"15",2022-11-19 02:01:23,"0x8d28bf9d72392eafdff4e6fcecdc3224ac8bbb26","Sell","Democrat","🔴",153.78,200,0.7689,"","Tx"
"16",2022-11-19 02:00:59,"0x8d28bf9d72392eafdff4e6fcecdc3224ac8bbb26","Sell","Democrat","🔴",76.94,100,0.7694,"","Tx"
"17",2022-11-19 02:00:35,"0x8d28bf9d72392eafdff4e6fcecdc3224ac8bbb26","Sell","Democrat","🔴",76.97,100,0.7697,"","Tx"
"18",2022-11-19 02:00:03,"0x8d28bf9d72392eafdff4e6fcecdc3224ac8bbb26","Sell","Democrat","🔴",77.01,100,0.7701,"","Tx"
"19",2022-11-19 00:12:33,"0x65a56a39f86233eba3dc387257e77bdea9f2e0be","Buy","Republican","🔴",1.5,6.83,0.2196,"","Tx"
"20",2022-11-18 23:55:39,"0xa8b7f8b34185e9cc62c471e1d353595148a3ee3c","Sell","Republican","🔵",2.85,13.45,0.2117,"","Tx"
"21",2022-11-18 23:42:43,"0x9d84ce0306f8551e02efef1680475fc0f1dc1344","Buy","Republican","🔴",444,2081.11,0.2133,"","Tx"
"22",2022-11-18 20:54:42,"0x4411dac3d6a56e73a047013ee00ca944a834a931","Buy","Republican","🔴",10,48.29,0.2071,"","Tx"
"23",2022-11-18 19:13:02,"0x4ea5eca0ae8d6260e96f4af153624e231037fd7d","Buy","Democrat","🔵",0.5,0.62,0.8114,"","Tx"
"24",2022-11-18 18:59:42,"0x8a4c788f043023b8b28a762216d037e9f148532b","Buy","Republican","🔴",100,486.47,0.2056,"","Tx"
"25",2022-11-18 18:58:24,"0xd1acd3925d895de9aec98ff95f3a30c5279d08d5","Buy","Republican","🔴",333,1668.87,0.1995,"","Tx"
"26",2022-11-18 18:57:34,"0x704859fdd5916823cf7bac0807549721d8f998c9","Sell","Republican","🔵",6.99,37.16,0.1881,"🥪","Tx"
"27",2022-11-18 18:57:34,"0xe8e46bdb46513ffa3306564303f375f005a5b676","Buy","Republican","🔴",282,1474.36,0.1913,"","Tx"
"28",2022-11-18 18:57:34,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Republican","🔴",6.96,37.16,0.1873,"🥪","Tx"
"29",2022-11-18 18:50:36,"0xa53ed5870cc4ee0d0d3cf51702ed87d8d84ee3b2","Buy","Democrat","🔵",150,180.59,0.8306,"","Tx"
"30",2022-11-18 18:08:58,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Republican","🔴",2.22,11.81,0.1881,"","Tx"
"31",2022-11-18 18:08:14,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Republican","🔴",11.11,59.12,0.188,"","Tx"
"32",2022-11-18 18:07:38,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Republican","🔴",10,53.29,0.1877,"","Tx"
"33",2022-11-18 18:07:10,"0xe8c5c447035bf6e052d49622217d63add58c4c3c","Sell","Republican","🔵",419.78,2250.3,0.1865,"","Tx"
"34",2022-11-18 18:05:52,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Republican","🔴",6.99,35.04,0.1994,"🥪","Tx"
"35",2022-11-18 18:05:52,"0xe8c5c447035bf6e052d49622217d63add58c4c3c","Sell","Republican","🔵",395.66,2002,0.1976,"","Tx"
"36",2022-11-18 18:05:52,"0x704859fdd5916823cf7bac0807549721d8f998c9","Sell","Republican","🔵",7.12,35.04,0.2033,"🥪","Tx"
"37",2022-11-18 18:05:02,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Republican","🔴",7.34,34.83,0.2108,"","Tx"
"38",2022-11-18 18:05:00,"0xe8c5c447035bf6e052d49622217d63add58c4c3c","Sell","Republican","🔵",418.32,2002,0.209,"","Tx"
"39",2022-11-18 18:05:00,"0x704859fdd5916823cf7bac0807549721d8f998c9","Sell","Republican","🔵",7.49,34.83,0.215,"","Tx"
"40",2022-11-18 17:50:30,"0xe2b1fc269d0c2e27da11fadd1d9596fe28227d2a","Sell","Republican","🔵",556.93,2500,0.2228,"","Tx"
"41",2022-11-18 04:45:00,"0x07c4f39862e865e6f9d307f1df5e6c24367d2c5b","Buy","Republican","🔴",0.5,2.09,0.2392,"","Tx"
"42",2022-11-18 04:35:56,"0x8d28bf9d72392eafdff4e6fcecdc3224ac8bbb26","Sell","Democrat","🔴",301.05,400,0.7526,"","Tx"
"43",2022-11-18 04:21:24,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Republican","🔵",114.85,500,0.2297,"","Tx"
"44",2022-11-18 04:13:04,"0x8d28bf9d72392eafdff4e6fcecdc3224ac8bbb26","Sell","Democrat","🔴",66.84,89,0.751,"","Tx"
"45",2022-11-18 03:21:03,"0x704859fdd5916823cf7bac0807549721d8f998c9","Sell","Republican","🔵",8.41,36.42,0.2309,"🥪","Tx"
"46",2022-11-18 03:21:03,"0xca4aa130babfb81c7d65283e10c99336dfac490c","Buy","Republican","🔴",361,1540.03,0.2344,"","Tx"
"47",2022-11-18 03:21:03,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Republican","🔴",8.35,36.42,0.2293,"🥪","Tx"
"48",2022-11-18 03:01:11,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Republican","🔵",11.06,50,0.2211,"","Tx"
"49",2022-11-18 02:58:31,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Republican","🔵",28.15,126.99,0.2217,"","Tx"
"50",2022-11-18 02:45:13,"0xca4aa130babfb81c7d65283e10c99336dfac490c","Buy","Republican","🔴",1000,4629.3,0.216,"","Tx"
"51",2022-11-18 02:12:09,"0x9d84ce0306f8551e02efef1680475fc0f1dc1344","Buy","Republican","🔴",155,774.04,0.2002,"","Tx"
"52",2022-11-18 01:49:55,"0xc54cf57cc79bb1c1167b89631fca2cd92fbc3dba","Sell","Democrat","🔴",34.81,44,0.7911,"","Tx"
"53",2022-11-18 01:19:57,"0xc54cf57cc79bb1c1167b89631fca2cd92fbc3dba","Sell","Democrat","🔴",79.15,100,0.7915,"","Tx"
"54",2022-11-17 23:37:27,"0x8016502332a54f42608d7e12549dbc82328a9894","Buy","Democrat","🔵",13,15.84,0.821,"","Tx"
"55",2022-11-17 23:26:35,"0x9f6e51441d817a3687b3a413d3f815ba8c8dff8f","Sell","Republican","🔵",0.23,1.23,0.1904,"","Tx"
"56",2022-11-17 22:42:07,"0x8f23aead02f055b69c7f7db51a2d74187bb2c7d0","Sell","Republican","🔵",150.49,782,0.1924,"","Tx"
"57",2022-11-17 22:20:35,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Republican","🔴",185.35,930.65,0.1992,"🥪","Tx"
"58",2022-11-17 22:20:35,"0x8f23aead02f055b69c7f7db51a2d74187bb2c7d0","Sell","Republican","🔵",298.29,1540.03,0.1937,"","Tx"
