"","Timestamp","Account","Type","Outcome","Direction","Amount","Shares","Price","Var.9","Var.10"
"1",2022-11-09 08:35:06,"0xa8b7f8b34185e9cc62c471e1d353595148a3ee3c","Sell","Democrat","🔴",0.01,26.07,5e-04,"","Tx"
"2",2022-11-09 06:11:42,"0xee292607d48ecee93afc0fe9994fbe316f59c56d","Sell","Democrat","🔴",5.51,6102.48,9e-04,"","Tx"
"3",2022-11-09 06:10:46,"0xa53ed5870cc4ee0d0d3cf51702ed87d8d84ee3b2","Sell","Democrat","🔴",0.08,45.53,0.0017,"","Tx"
"4",2022-11-09 04:55:36,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Buy","Democrat","🔵",1.25,800,0.0016,"","Tx"
"5",2022-11-09 03:54:57,"0xe8e46bdb46513ffa3306564303f375f005a5b676","Sell","Democrat","🔴",0.07,52.45,0.0014,"","Tx"
"6",2022-11-09 03:06:05,"0x0c0e270cf879583d6a0142fc817e05b768d0434e","Sell","Democrat","🔴",6.6,3000,0.0022,"","Tx"
"7",2022-11-09 03:04:13,"0x0c0e270cf879583d6a0142fc817e05b768d0434e","Sell","Democrat","🔴",11.59,2000,0.0058,"","Tx"
"8",2022-11-09 02:49:33,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Democrat","🔴",4.4,400,0.011,"","Tx"
"9",2022-11-09 02:31:13,"0xe8e46bdb46513ffa3306564303f375f005a5b676","Buy","Democrat","🔵",6,552.45,0.0109,"","Tx"
"10",2022-11-08 16:58:00,"0xee292607d48ecee93afc0fe9994fbe316f59c56d","Sell","Democrat","🔴",12.55,1000,0.0126,"","Tx"
"11",2022-11-08 11:26:47,"0x9d84ce0306f8551e02efef1680475fc0f1dc1344","Sell","Democrat","🔴",6.59,350.77,0.0188,"","Tx"
"12",2022-11-07 18:51:16,"0x0c0e270cf879583d6a0142fc817e05b768d0434e","Sell","Democrat","🔴",8.15,400,0.0204,"","Tx"
"13",2022-11-07 18:15:19,"0xa53ed5870cc4ee0d0d3cf51702ed87d8d84ee3b2","Buy","Democrat","🔵",1,45.54,0.022,"","Tx"
"14",2022-11-06 16:13:16,"0x6c9264336622411ea73283e7624bb2a6e00b1322","Sell","Democrat","🔴",23.7,999.97,0.0237,"","Tx"
"15",2022-11-06 12:44:29,"0x76abc4deb4376bdd94f130316efe8e7483ed60f6","Sell","Democrat","🔴",14.02,493.97,0.0284,"","Tx"
"16",2022-11-06 06:21:09,"0x15ae79d7cd60b2a7f06ae46eb4c7a0eb16096ffd","Sell","Democrat","🔴",0.1,3.37,0.0302,"","Tx"
"17",2022-11-05 22:09:25,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Democrat","🔴",12.77,399.93,0.0319,"","Tx"
"18",2022-11-05 20:35:11,"0x0b644e443a404159a7b5ca4650cf2444b13549bd","Sell","Democrat","🔴",39.07,999.97,0.0391,"","Tx"
"19",2022-11-05 19:21:13,"0x5681dfa7f4e95c38711dd81d4cd27536a601c1d9","Buy","Democrat","🔵",20,456.98,0.0438,"","Tx"
"20",2022-11-05 11:21:35,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Democrat","🔵",1.23,30.17,0.0406,"🥪","Tx"
"21",2022-11-05 11:21:35,"0x76abc4deb4376bdd94f130316efe8e7483ed60f6","Sell","Democrat","🔴",21.28,505,0.0421,"","Tx"
"22",2022-11-05 11:21:35,"0x704859fdd5916823cf7bac0807549721d8f998c9","Sell","Democrat","🔴",1.38,30.17,0.0457,"🥪","Tx"
"23",2022-11-04 04:16:26,"0xdcd962e5da7c9506bba32ea99cfff18a3e9a35d4","Buy","Democrat","🔵",1,21.06,0.0475,"","Tx"
"24",2022-11-03 15:12:01,"0x1cdff8114baec82855f2e0de18996e04f91cceef","Buy","Republican","🔴",15,15.45,0.9709,"","Tx"
"25",2022-11-02 21:06:07,"0x1cba7e44bcfd5acc4513f554ab9e86453d086a4c","Sell","Democrat","🔴",2.31,50,0.0462,"","Tx"
"26",2022-11-02 02:59:47,"0x8f23aead02f055b69c7f7db51a2d74187bb2c7d0","Sell","Democrat","🔴",2.59,55.14,0.047,"","Tx"
"27",2022-11-02 02:09:00,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Democrat","🔴",4.82,100,0.0482,"","Tx"
"28",2022-11-02 02:06:03,"0x054790303ef27c09351c6ee72fdbb3b83e0d9926","Buy","Democrat","🔵",20,420.9,0.0475,"","Tx"
"29",2022-11-01 15:58:39,"0x39f21d8b54ab5b2d55bf035231282c9d655c146e","Buy","Democrat","🔵",25,615.65,0.0406,"","Tx"
"30",2022-10-31 17:14:11,"0xa68c1c1c2f10fe2f47398891f0b242fc72944f94","Sell","Democrat","🔴",4.76,130.77,0.0364,"","Tx"
"31",2022-10-28 20:05:02,"0xa8b7f8b34185e9cc62c471e1d353595148a3ee3c","Buy","Democrat","🔵",1,26.08,0.0383,"","Tx"
"32",2022-10-28 20:01:06,"0xa8b7f8b34185e9cc62c471e1d353595148a3ee3c","Buy","Democrat","🔵",0.73,19.24,0.0381,"","Tx"
"33",2022-10-27 19:17:37,"0x1cba7e44bcfd5acc4513f554ab9e86453d086a4c","Sell","Democrat","🔴",0.06,1.56,0.0366,"","Tx"
"34",2022-10-27 00:54:50,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Democrat","🔴",9.5,250,0.038,"","Tx"
"35",2022-10-26 14:51:11,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",15,388.06,0.0387,"","Tx"
"36",2022-10-25 22:16:13,"0x8f23aead02f055b69c7f7db51a2d74187bb2c7d0","Buy","Democrat","🔵",2,55.15,0.0363,"","Tx"
"37",2022-10-25 01:26:10,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",3,84.35,0.0356,"","Tx"
