"","Timestamp","Account","Type","Outcome","Direction","Amount","Shares","Price","Var.9","Var.10"
"1",2022-11-10 01:18:54,"0x6b3d278a0a62230364f55f1684ad24c1c12d76dd","Sell","Republican","🔵",0,13.82,2e-04,"","Tx"
"2",2022-11-10 01:16:45,"0x6b3d278a0a62230364f55f1684ad24c1c12d76dd","Buy","Republican","🔴",0.24,1008.25,2e-04,"","Tx"
"3",2022-11-09 20:11:14,"0x0c0e270cf879583d6a0142fc817e05b768d0434e","Sell","Republican","🔵",6.51,14000,5e-04,"","Tx"
"4",2022-11-09 05:15:01,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Buy","Republican","🔴",0.94,1000,9e-04,"","Tx"
"5",2022-11-09 04:48:56,"0x0c0e270cf879583d6a0142fc817e05b768d0434e","Sell","Republican","🔵",2.49,2430.83,0.001,"","Tx"
"6",2022-11-09 04:48:24,"0xee292607d48ecee93afc0fe9994fbe316f59c56d","Sell","Republican","🔵",54.92,8999,0.0061,"","Tx"
"7",2022-11-09 04:03:49,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Republican","🔵",3.06,100,0.0306,"","Tx"
"8",2022-11-09 04:01:33,"0x704859fdd5916823cf7bac0807549721d8f998c9","Sell","Republican","🔵",7.64,216.78,0.0352,"🥪","Tx"
"9",2022-11-09 04:01:33,"0x6c2ecdbf7b8b82bdd49f6bfbabdff8208d6b75ea","Sell","Democrat","🔴",231.91,244.84,0.9472,"","Tx"
"10",2022-11-09 04:01:33,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Republican","🔴",6.42,216.78,0.0296,"🥪","Tx"
"11",2022-11-09 04:01:09,"0x98e7bb1801edd0c7a6f08399db0e3ecb2ee50a64","Sell","Republican","🔵",6.17,216.16,0.0285,"","Tx"
"12",2022-11-09 02:58:39,"0xd0db79306c38e8ce1969ce80dde58fa67a67b117","Sell","Republican","🔵",8.72,250,0.0349,"","Tx"
"13",2022-11-09 01:36:11,"0x63f8eb9f5f902f6637f75f10fc185e77b0f660ac","Sell","Republican","🔵",65.39,952,0.0687,"","Tx"
"14",2022-11-08 20:30:30,"0x0364e487ccd5a61d3c83848a420846848ae08061","Buy","Democrat","🔵",20,22.34,0.8952,"","Tx"
"15",2022-11-08 19:23:00,"0x0364e487ccd5a61d3c83848a420846848ae08061","Buy","Democrat","🔵",30,33.56,0.8939,"","Tx"
"16",2022-11-08 14:18:54,"0xb1f56fbd81db030502d7cd1bbea695aafbd1823b","Buy","Democrat","🔵",30,33.62,0.8923,"","Tx"
"17",2022-11-08 14:06:26,"0x65a56a39f86233eba3dc387257e77bdea9f2e0be","Buy","Democrat","🔵",20,22.45,0.891,"","Tx"
"18",2022-11-08 12:07:03,"0x60b2a17f0472db7361ae3189ad99063efe0b3cce","Buy","Republican","🔴",30,245.59,0.1222,"","Tx"
"19",2022-11-08 09:09:50,"0x7789806c754eb0af4c3abeb026c218b4ba78f823","Sell","Republican","🔵",11.34,99,0.1146,"","Tx"
"20",2022-11-08 05:39:08,"0x7d676a88085f3652b2e2e299cbcb529df6b3102c","Sell","Republican","🔵",9.36,79.06,0.1184,"","Tx"
"21",2022-11-08 00:35:30,"0xd0db79306c38e8ce1969ce80dde58fa67a67b117","Sell","Republican","🔵",63.83,499.98,0.1277,"","Tx"
"22",2022-11-07 20:07:02,"0x8016502332a54f42608d7e12549dbc82328a9894","Buy","Democrat","🔵",9,10.26,0.8776,"","Tx"
"23",2022-11-06 00:42:23,"0x9035b664e28ecf0188c8c672326056dc1dfc3461","Buy","Republican","🔴",25,181.39,0.1378,"","Tx"
