"","Timestamp","Account","Type","Outcome","Direction","Amount","Shares","Price","Var.9","Var.10"
"1",2022-11-13 15:34:26,"0x8c2fa256c8690a6651d4db04ee7c1d08031564fa","Sell","Republican","🔵",0.37,153251.64,0,"","Tx"
"2",2022-11-13 15:34:06,"0x8c2fa256c8690a6651d4db04ee7c1d08031564fa","Sell","Republican","🔵",4.75,170184.97,0,"","Tx"
"3",2022-11-13 14:49:03,"0x69e7ad68b5f11e97927e4bd938baf7dfb60bd3b0","Buy","Republican","🔴",0.15,817.33,2e-04,"","Tx"
"4",2022-11-13 14:36:49,"0xc3b187214778d2b90916851cba43f70213c9a9f3","Buy","Republican","🔴",0.49,3000.1,2e-04,"","Tx"
"5",2022-11-13 12:28:33,"0x7668efbca0df8195ba199d3e19cb768e8b3779ec","Sell","Republican","🔵",0.35,2245.33,2e-04,"","Tx"
"6",2022-11-13 12:28:11,"0x7668efbca0df8195ba199d3e19cb768e8b3779ec","Sell","Republican","🔵",2.45,10216.9,2e-04,"","Tx"
"7",2022-11-13 12:04:15,"0xd9aa06aef922920577c21e793a518d1b202c32ac","Sell","Democrat","🔴",1,1.02,0.9816,"","Tx"
"8",2022-11-13 11:32:23,"0xd9aa06aef922920577c21e793a518d1b202c32ac","Sell","Democrat","🔴",1,1.02,0.9816,"","Tx"
"9",2022-11-13 10:20:47,"0x495b97dcdd8e3e4ae7788ca6a53156cd4907e3fc","Sell","Republican","🔵",1.06,2672.98,4e-04,"","Tx"
"10",2022-11-13 03:23:45,"0x9d84ce0306f8551e02efef1680475fc0f1dc1344","Sell","Republican","🔵",2.59,4423.76,6e-04,"","Tx"
"11",2022-11-13 03:14:11,"0x704859fdd5916823cf7bac0807549721d8f998c9","Sell","Republican","🔵",0.11,147.72,8e-04,"🥪","Tx"
"12",2022-11-13 03:14:11,"0xbe670e5bc8ec5caceaa787ef0a91cbcd426eb933","Buy","Republican","🔴",4.45,8857.87,5e-04,"","Tx"
"13",2022-11-13 03:14:11,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Republican","🔴",0.05,147.72,3e-04,"🥪","Tx"
"14",2022-11-13 02:45:25,"0xee292607d48ecee93afc0fe9994fbe316f59c56d","Sell","Republican","🔵",1.17,3354.01,3e-04,"","Tx"
"15",2022-11-13 02:30:05,"0xee292607d48ecee93afc0fe9994fbe316f59c56d","Sell","Republican","🔵",3.53,6109.55,6e-04,"","Tx"
"16",2022-11-13 02:29:53,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Republican","🔴",2,2806.39,7e-04,"","Tx"
"17",2022-11-13 02:27:51,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Republican","🔴",2,4148.73,5e-04,"","Tx"
"18",2022-11-13 02:25:55,"0xd1acd3925d895de9aec98ff95f3a30c5279d08d5","Sell","Republican","🔵",4.5,7700,6e-04,"","Tx"
"19",2022-11-13 02:25:35,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Republican","🔴",5,8590.26,6e-04,"","Tx"
"20",2022-11-13 02:24:57,"0x704859fdd5916823cf7bac0807549721d8f998c9","Sell","Republican","🔵",2.57,5580.86,5e-04,"🥪","Tx"
"21",2022-11-13 02:24:57,"0xd1acd3925d895de9aec98ff95f3a30c5279d08d5","Buy","Republican","🔴",5,14752.27,3e-04,"","Tx"
"22",2022-11-13 02:24:57,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Republican","🔴",0.86,5580.86,2e-04,"🥪","Tx"
"23",2022-11-13 02:24:51,"0x0c0e270cf879583d6a0142fc817e05b768d0434e","Sell","Republican","🔵",0.82,5578.81,1e-04,"","Tx"
"24",2022-11-13 02:24:17,"0x0c0e270cf879583d6a0142fc817e05b768d0434e","Sell","Republican","🔵",20.91,25000,8e-04,"","Tx"
"25",2022-11-13 02:20:17,"0xd1acd3925d895de9aec98ff95f3a30c5279d08d5","Sell","Republican","🔵",5.35,1111,0.0048,"","Tx"
"26",2022-11-13 02:17:48,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Republican","🔵",7.07,1000,0.0071,"","Tx"
"27",2022-11-13 02:17:36,"0xd1acd3925d895de9aec98ff95f3a30c5279d08d5","Sell","Republican","🔵",12.69,1111,0.0114,"","Tx"
"28",2022-11-13 02:15:18,"0xd1acd3925d895de9aec98ff95f3a30c5279d08d5","Sell","Republican","🔵",9.97,555,0.018,"","Tx"
"29",2022-11-13 01:58:24,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Republican","🔵",12.86,500,0.0257,"","Tx"
"30",2022-11-13 01:54:46,"0x2252f31ee32e0984dd1f85e17c5255de6787e465","Buy","Republican","🔴",11,398.26,0.0276,"","Tx"
"31",2022-11-13 01:48:18,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Republican","🔵",2.38,100,0.0238,"","Tx"
"32",2022-11-13 01:42:24,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Republican","🔵",6.77,250,0.0271,"","Tx"
"33",2022-11-13 01:39:18,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Republican","🔵",6.46,200,0.0323,"","Tx"
"34",2022-11-13 01:27:20,"0xd752e6ba8cd2513fa7e811f9b2c7e90b708118c1","Sell","Republican","🔵",3.66,100,0.0366,"","Tx"
"35",2022-11-13 01:19:36,"0x704859fdd5916823cf7bac0807549721d8f998c9","Sell","Republican","🔵",0.51,13.16,0.0385,"🥪","Tx"
"36",2022-11-13 01:19:36,"0x2252f31ee32e0984dd1f85e17c5255de6787e465","Buy","Republican","🔴",9,249.2,0.0361,"","Tx"
"37",2022-11-13 01:19:36,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Republican","🔴",0.43,13.16,0.0323,"🥪","Tx"
"38",2022-11-13 01:17:06,"0x704859fdd5916823cf7bac0807549721d8f998c9","Sell","Republican","🔵",0.56,17.9,0.0312,"🥪","Tx"
"39",2022-11-13 01:17:06,"0x2252f31ee32e0984dd1f85e17c5255de6787e465","Buy","Republican","🔴",18,713.02,0.0252,"","Tx"
"40",2022-11-13 01:17:06,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Republican","🔴",0.35,17.9,0.0194,"🥪","Tx"
"41",2022-11-13 00:48:52,"0x424eea9dbf8257f8375a344ec3c656bc546feb0a","Buy","Republican","🔴",1.3,68.87,0.0189,"","Tx"
"42",2022-11-13 00:41:50,"0x424eea9dbf8257f8375a344ec3c656bc546feb0a","Buy","Republican","🔴",5,295.73,0.0169,"","Tx"
