"","Timestamp","Account","Type","Outcome","Direction","Amount","Shares","Price","Var.9","Var.10"
"1",2022-11-09 11:15:45,"0x0c0e270cf879583d6a0142fc817e05b768d0434e","Sell","Republican","🔵",9.24,15000.1,6e-04,"","Tx"
"2",2022-11-09 09:16:58,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Buy","Republican","🔴",1.31,900,0.0015,"","Tx"
"3",2022-11-09 08:52:48,"0x7d676a88085f3652b2e2e299cbcb529df6b3102c","Sell","Republican","🔵",5.03,2884.23,0.0017,"","Tx"
"4",2022-11-09 07:35:52,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Republican","🔵",0,0.08,0.0024,"","Tx"
"5",2022-11-09 06:47:05,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Republican","🔴",0.32,131.69,0.0024,"","Tx"
"6",2022-11-09 06:31:20,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Republican","🔴",3,1493.96,0.002,"","Tx"
"7",2022-11-09 06:24:42,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Republican","🔴",1,625.01,0.0016,"","Tx"
"8",2022-11-09 05:02:07,"0x0c0e270cf879583d6a0142fc817e05b768d0434e","Sell","Republican","🔵",13.92,4999.9,0.0028,"","Tx"
"9",2022-11-09 04:58:44,"0x0c0e270cf879583d6a0142fc817e05b768d0434e","Sell","Republican","🔵",11.74,1569.23,0.0075,"","Tx"
"10",2022-11-09 04:53:43,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Republican","🔵",15.11,1056.1,0.0143,"","Tx"
"11",2022-11-09 04:49:40,"0x777fae71d2ff9ec48a1213d48ba1d9d91024a1bb","Sell","Democrat","🔴",279.9,290.42,0.9638,"","Tx"
"12",2022-11-09 04:45:00,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Republican","🔵",9.6,500,0.0192,"","Tx"
"13",2022-11-09 03:57:20,"0x6c2ecdbf7b8b82bdd49f6bfbabdff8208d6b75ea","Sell","Democrat","🔴",51.87,53.99,0.9607,"","Tx"
"14",2022-11-09 03:56:14,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Republican","🔵",4.5,200,0.0225,"","Tx"
"15",2022-11-09 03:45:18,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Republican","🔵",9.21,333,0.0277,"","Tx"
"16",2022-11-09 03:44:04,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Republican","🔴",2.44,77.06,0.0317,"","Tx"
"17",2022-11-09 03:44:02,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Republican","🔵",16.35,449.76,0.0364,"","Tx"
"18",2022-11-09 03:44:02,"0x704859fdd5916823cf7bac0807549721d8f998c9","Sell","Republican","🔵",3.57,77.06,0.0463,"","Tx"
"19",2022-11-09 03:43:48,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Republican","🔴",3.7,77.05,0.048,"","Tx"
"20",2022-11-09 03:43:46,"0x0c0e270cf879583d6a0142fc817e05b768d0434e","Sell","Republican","🔵",37.79,600,0.063,"","Tx"
"21",2022-11-09 03:43:46,"0x704859fdd5916823cf7bac0807549721d8f998c9","Sell","Republican","🔵",7.16,77.05,0.0929,"","Tx"
"22",2022-11-09 03:43:32,"0x704859fdd5916823cf7bac0807549721d8f998c9","Sell","Republican","🔵",13.77,131.81,0.1045,"","Tx"
"23",2022-11-09 03:43:22,"0x6c2ecdbf7b8b82bdd49f6bfbabdff8208d6b75ea","Sell","Democrat","🔴",178.69,202.82,0.881,"","Tx"
"24",2022-11-09 03:43:12,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Republican","🔴",11.73,131.81,0.089,"","Tx"
"25",2022-11-09 03:42:32,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Republican","🔵",26.06,299.98,0.0869,"","Tx"
"26",2022-11-09 03:35:33,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Republican","🔵",21.52,200,0.1076,"","Tx"
"27",2022-11-09 02:13:31,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",100,113.78,0.8789,"","Tx"
"28",2022-11-09 01:59:21,"0x777fae71d2ff9ec48a1213d48ba1d9d91024a1bb","Buy","Democrat","🔵",40,46.45,0.8612,"","Tx"
"29",2022-11-09 01:33:13,"0x777fae71d2ff9ec48a1213d48ba1d9d91024a1bb","Buy","Democrat","🔵",200,243.97,0.8198,"","Tx"
"30",2022-11-08 21:52:02,"0x2608112e22d5e0b6175c92229f2e06e62e33a616","Buy","Republican","🔴",24,101.64,0.2361,"","Tx"
"31",2022-11-08 20:51:46,"0xb866c60da64481442a678b68c66d4c0045d536d4","Buy","Democrat","🔵",100,128.01,0.7812,"","Tx"
"32",2022-11-08 20:50:50,"0xb866c60da64481442a678b68c66d4c0045d536d4","Buy","Democrat","🔵",100,129.67,0.7712,"","Tx"
"33",2022-11-08 20:48:20,"0xb866c60da64481442a678b68c66d4c0045d536d4","Buy","Democrat","🔵",100,131.47,0.7606,"","Tx"
"34",2022-11-08 20:29:04,"0x0364e487ccd5a61d3c83848a420846848ae08061","Buy","Democrat","🔵",35,46.47,0.7531,"","Tx"
"35",2022-11-08 19:24:18,"0x0364e487ccd5a61d3c83848a420846848ae08061","Buy","Democrat","🔵",30,40.03,0.7494,"","Tx"
"36",2022-11-08 19:00:04,"0x63f8eb9f5f902f6637f75f10fc185e77b0f660ac","Buy","Republican","🔴",111,439.82,0.2524,"","Tx"
"37",2022-11-08 18:35:12,"0xf1302aafc43aa3a69bcd8058fc7a0259dac246ab","Buy","Republican","🔴",111,512.07,0.2168,"","Tx"
"38",2022-11-08 18:33:06,"0x2608112e22d5e0b6175c92229f2e06e62e33a616","Buy","Republican","🔴",20,101.81,0.1964,"","Tx"
"39",2022-11-08 15:41:26,"0x6b5510f8c0251a7131c7eda5091908f0eec9c60f","Buy","Republican","🔴",2,10.36,0.193,"","Tx"
"40",2022-11-08 15:31:44,"0x777fae71d2ff9ec48a1213d48ba1d9d91024a1bb","Sell","Republican","🔵",91.79,459,0.2,"","Tx"
"41",2022-11-08 14:20:24,"0xb1f56fbd81db030502d7cd1bbea695aafbd1823b","Buy","Democrat","🔵",23,28.95,0.7944,"","Tx"
"42",2022-11-08 07:00:32,"0x2608112e22d5e0b6175c92229f2e06e62e33a616","Buy","Republican","🔴",21,94.78,0.2216,"","Tx"
"43",2022-11-08 06:20:48,"0x2608112e22d5e0b6175c92229f2e06e62e33a616","Buy","Republican","🔴",21,97.73,0.2149,"","Tx"
"44",2022-11-08 04:57:42,"0x667de6376f3b3a1ed920c18ef51889490f950773","Buy","Democrat","🔵",40,49.68,0.8051,"","Tx"
