"","Timestamp","Account","Type","Outcome","Direction","Amount","Shares","Price","Var.9","Var.10"
"1",2022-11-09 09:31:50,"0x5ca997ca051a0959486e5ce1aa254c76b8fc6ccf","Sell","Republican","🔵",485.25,490.32,0.9897,"","Tx"
"2",2022-11-09 09:23:37,"0xa8b7f8b34185e9cc62c471e1d353595148a3ee3c","Sell","Democrat","🔴",24.12,2832.46,0.0085,"","Tx"
"3",2022-11-09 09:17:08,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Democrat","🔴",25.74,900,0.0286,"","Tx"
"4",2022-11-09 09:09:32,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Democrat","🔵",0.47,10.47,0.0446,"🥪","Tx"
"5",2022-11-09 09:09:32,"0x133ba4d001ae339bfb08631eead95c5dabe92f22","Buy","Republican","🔴",500,530.98,0.9417,"","Tx"
"6",2022-11-09 09:09:32,"0x704859fdd5916823cf7bac0807549721d8f998c9","Sell","Democrat","🔴",0.97,10.47,0.0923,"🥪","Tx"
"7",2022-11-09 09:04:22,"0x704859fdd5916823cf7bac0807549721d8f998c9","Sell","Democrat","🔴",7.34,74.14,0.0989,"🥪","Tx"
"8",2022-11-09 09:04:22,"0xc3b187214778d2b90916851cba43f70213c9a9f3","Buy","Democrat","🔵",100,7227.32,0.0138,"","Tx"
"9",2022-11-09 09:04:22,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Democrat","🔵",0.12,74.14,0.0016,"🥪","Tx"
"10",2022-11-09 09:01:24,"0xa8b7f8b34185e9cc62c471e1d353595148a3ee3c","Sell","Democrat","🔴",24.46,5337.41,0.0046,"","Tx"
"11",2022-11-09 08:46:14,"0xcc535fb9e5866d288558bb5003afec66686f6f88","Sell","Republican","🔵",2356.21,2387.61,0.9868,"","Tx"
"12",2022-11-09 08:23:04,"0xa8b7f8b34185e9cc62c471e1d353595148a3ee3c","Sell","Democrat","🔴",0.1,26.51,0.0039,"","Tx"
"13",2022-11-09 06:32:10,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Democrat","🔴",0.22,55.32,0.004,"","Tx"
"14",2022-11-09 06:29:14,"0x78bba160dfb3413b3b45abaa47ddda87b2443f8b","Sell","Republican","🔵",32.43,32.76,0.99,"","Tx"
"15",2022-11-09 06:17:48,"0x61b7acc426bd48c2c4f0d9d6ffc7dbcd5deae7e2","Sell","Democrat","🔴",0,0.24,0.004,"","Tx"
"16",2022-11-09 06:17:20,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Democrat","🔴",1.42,334.11,0.0043,"","Tx"
"17",2022-11-09 06:16:42,"0x61b7acc426bd48c2c4f0d9d6ffc7dbcd5deae7e2","Buy","Democrat","🔵",1.6,373.93,0.0043,"","Tx"
"18",2022-11-09 04:24:13,"0xb606128e1ff9db1eb0451c01cf79f0a505f26992","Sell","Democrat","🔴",0.67,166.21,0.0041,"","Tx"
"19",2022-11-09 03:55:07,"0x0c0e270cf879583d6a0142fc817e05b768d0434e","Sell","Democrat","🔴",20.53,2500,0.0082,"","Tx"
"20",2022-11-09 03:39:24,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Democrat","🔴",3.47,200,0.0174,"","Tx"
"21",2022-11-09 03:27:15,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Democrat","🔴",11.78,500,0.0236,"","Tx"
"22",2022-11-09 03:22:55,"0x005dcb2c539eb682f14b7441863c298904d108bd","Sell","Democrat","🔴",1.67,55.09,0.0303,"","Tx"
"23",2022-11-09 03:21:19,"0x005dcb2c539eb682f14b7441863c298904d108bd","Buy","Democrat","🔵",4.8,164.92,0.0291,"","Tx"
"24",2022-11-09 03:21:01,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Democrat","🔴",13.09,400,0.0327,"","Tx"
"25",2022-11-09 03:15:59,"0x005dcb2c539eb682f14b7441863c298904d108bd","Buy","Democrat","🔵",10,285.61,0.035,"","Tx"
"26",2022-11-09 03:15:17,"0x005dcb2c539eb682f14b7441863c298904d108bd","Buy","Democrat","🔵",10,400.99,0.0249,"","Tx"
"27",2022-11-09 03:14:45,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Democrat","🔴",16.43,600,0.0274,"","Tx"
"28",2022-11-09 03:11:33,"0x005dcb2c539eb682f14b7441863c298904d108bd","Buy","Democrat","🔵",4,114.95,0.0348,"","Tx"
"29",2022-11-09 03:06:09,"0xb606128e1ff9db1eb0451c01cf79f0a505f26992","Buy","Democrat","🔵",5,166.22,0.0301,"","Tx"
"30",2022-11-09 03:04:59,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Democrat","🔴",6.05,200,0.0303,"","Tx"
"31",2022-11-09 03:04:19,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Democrat","🔴",22.71,500,0.0454,"","Tx"
"32",2022-11-09 03:02:47,"0xcae1ddfc9d33fb66001a1f1ee10f52f5fd48abd4","Sell","Republican","🔵",218.82,232.49,0.9412,"","Tx"
"33",2022-11-09 03:01:25,"0xc891fc077dbc2d0ccd22965537b561b27ceac75e","Sell","Republican","🔵",30.31,31.93,0.9495,"","Tx"
"34",2022-11-09 02:56:57,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",3,70.73,0.0424,"","Tx"
"35",2022-11-09 02:55:39,"0x7668efbca0df8195ba199d3e19cb768e8b3779ec","Sell","Democrat","🔴",4.97,115.4,0.0431,"","Tx"
"36",2022-11-09 02:54:59,"0x7668efbca0df8195ba199d3e19cb768e8b3779ec","Sell","Democrat","🔴",6.66,132.69,0.0502,"","Tx"
"37",2022-11-09 02:49:03,"0x704859fdd5916823cf7bac0807549721d8f998c9","Sell","Democrat","🔴",1.2,21.6,0.0553,"🥪","Tx"
"38",2022-11-09 02:49:03,"0x6c2ecdbf7b8b82bdd49f6bfbabdff8208d6b75ea","Buy","Democrat","🔵",44.47,1689.85,0.0263,"","Tx"
"39",2022-11-09 02:49:03,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Democrat","🔵",0.26,21.6,0.0119,"🥪","Tx"
"40",2022-11-09 02:46:37,"0x005dcb2c539eb682f14b7441863c298904d108bd","Buy","Democrat","🔵",3.9,369.96,0.0105,"","Tx"
"41",2022-11-09 02:46:01,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",3,351.53,0.0085,"","Tx"
"42",2022-11-09 02:43:57,"0x005dcb2c539eb682f14b7441863c298904d108bd","Buy","Democrat","🔵",1.6,218.66,0.0073,"","Tx"
"43",2022-11-09 02:42:05,"0x7668efbca0df8195ba199d3e19cb768e8b3779ec","Sell","Democrat","🔴",2.63,351.4,0.0075,"","Tx"
"44",2022-11-09 02:41:45,"0x0c0e270cf879583d6a0142fc817e05b768d0434e","Sell","Democrat","🔴",11.21,994.34,0.0113,"","Tx"
"45",2022-11-09 02:41:35,"0xd9aa06aef922920577c21e793a518d1b202c32ac","Buy","Democrat","🔵",0.1,6.4,0.0156,"","Tx"
"46",2022-11-09 02:40:53,"0x0c0e270cf879583d6a0142fc817e05b768d0434e","Sell","Democrat","🔴",24.34,1000,0.0243,"","Tx"
"47",2022-11-09 02:32:41,"0x856f95bfdbb9b1401cfe56274c9a08df1e8ae1d7","Sell","Democrat","🔴",32.4,576.05,0.0562,"","Tx"
"48",2022-11-09 02:30:59,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Democrat","🔴",2.76,32.81,0.084,"","Tx"
"49",2022-11-09 02:25:29,"0x7668efbca0df8195ba199d3e19cb768e8b3779ec","Sell","Democrat","🔴",11.67,122.55,0.0953,"","Tx"
"50",2022-11-09 02:22:01,"0x7668efbca0df8195ba199d3e19cb768e8b3779ec","Sell","Democrat","🔴",14.46,123.45,0.1171,"","Tx"
"51",2022-11-09 02:17:19,"0x704859fdd5916823cf7bac0807549721d8f998c9","Sell","Democrat","🔴",1.29,9.85,0.1314,"🥪","Tx"
"52",2022-11-09 02:17:19,"0x856f95bfdbb9b1401cfe56274c9a08df1e8ae1d7","Buy","Democrat","🔵",50,576.05,0.0868,"","Tx"
"53",2022-11-09 02:17:19,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Democrat","🔵",0.54,9.85,0.0547,"🥪","Tx"
"54",2022-11-09 02:06:57,"0x7668efbca0df8195ba199d3e19cb768e8b3779ec","Sell","Democrat","🔴",6.99,120.16,0.0582,"","Tx"
"55",2022-11-09 02:06:23,"0x7668efbca0df8195ba199d3e19cb768e8b3779ec","Sell","Democrat","🔴",9.29,134.12,0.0693,"","Tx"
"56",2022-11-09 02:03:17,"0x7668efbca0df8195ba199d3e19cb768e8b3779ec","Sell","Democrat","🔴",10.22,121.97,0.0838,"","Tx"
"57",2022-11-09 02:02:33,"0x7668efbca0df8195ba199d3e19cb768e8b3779ec","Sell","Democrat","🔴",12.53,122.85,0.102,"","Tx"
"58",2022-11-09 01:58:07,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Democrat","🔵",4.66,42.3,0.1102,"","Tx"
"59",2022-11-09 01:57:51,"0xcae1ddfc9d33fb66001a1f1ee10f52f5fd48abd4","Buy","Republican","🔴",100,112.51,0.8888,"","Tx"
"60",2022-11-09 01:57:41,"0x704859fdd5916823cf7bac0807549721d8f998c9","Sell","Democrat","🔴",5.61,42.3,0.1326,"","Tx"
"61",2022-11-09 01:17:19,"0x424eea9dbf8257f8375a344ec3c656bc546feb0a","Buy","Democrat","🔵",10,76.81,0.1302,"","Tx"
"62",2022-11-09 01:04:51,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Democrat","🔴",13.14,100,0.1314,"","Tx"
"63",2022-11-09 00:46:25,"0xa68c1c1c2f10fe2f47398891f0b242fc72944f94","Buy","Democrat","🔵",10,73.46,0.1361,"","Tx"
"64",2022-11-09 00:42:11,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Buy","Democrat","🔵",6.1,50,0.1219,"","Tx"
"65",2022-11-09 00:42:07,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Democrat","🔴",27.72,200,0.1386,"","Tx"
"66",2022-11-09 00:38:31,"0x5681dfa7f4e95c38711dd81d4cd27536a601c1d9","Buy","Democrat","🔵",44,355.28,0.1238,"","Tx"
"67",2022-11-09 00:30:51,"0xc891fc077dbc2d0ccd22965537b561b27ceac75e","Buy","Republican","🔴",29.2,31.93,0.9146,"","Tx"
"68",2022-11-09 00:30:03,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",3,32.81,0.0914,"","Tx"
"69",2022-11-09 00:14:37,"0x7789806c754eb0af4c3abeb026c218b4ba78f823","Buy","Democrat","🔵",0.01,0.11,0.0901,"","Tx"
"70",2022-11-08 23:34:21,"0x78bba160dfb3413b3b45abaa47ddda87b2443f8b","Buy","Republican","🔴",4.5,4.91,0.9158,"","Tx"
"71",2022-11-08 23:30:43,"0x78bba160dfb3413b3b45abaa47ddda87b2443f8b","Buy","Republican","🔴",15.49,16.92,0.9154,"","Tx"
"72",2022-11-08 23:15:13,"0x78bba160dfb3413b3b45abaa47ddda87b2443f8b","Buy","Republican","🔴",10,10.93,0.9149,"","Tx"
"73",2022-11-08 22:55:54,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Democrat","🔵",3.1,34.07,0.0909,"🥪","Tx"
"74",2022-11-08 22:55:54,"0x60e3228cf7e4d200c2eff78e10e7a56f775049c0","Buy","Republican","🔴",1000,1109.09,0.9016,"","Tx"
"75",2022-11-08 22:55:54,"0x704859fdd5916823cf7bac0807549721d8f998c9","Sell","Democrat","🔴",4.06,34.07,0.1192,"🥪","Tx"
"76",2022-11-08 22:46:54,"0x413a0707b8d86f3f8ffa045ec46a38d862319510","Buy","Republican","🔴",100,113.26,0.8829,"","Tx"
"77",2022-11-08 21:21:58,"0x777fae71d2ff9ec48a1213d48ba1d9d91024a1bb","Sell","Republican","🔵",977.12,1117.91,0.8741,"","Tx"
"78",2022-11-08 21:03:22,"0x704859fdd5916823cf7bac0807549721d8f998c9","Sell","Democrat","🔴",17.17,146.85,0.1169,"🥪","Tx"
"79",2022-11-08 21:03:22,"0x777fae71d2ff9ec48a1213d48ba1d9d91024a1bb","Sell","Republican","🔵",439.51,500.5,0.8781,"","Tx"
"80",2022-11-08 21:03:22,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Democrat","🔵",16.93,146.85,0.1153,"🥪","Tx"
"81",2022-11-08 20:56:20,"0x9d84ce0306f8551e02efef1680475fc0f1dc1344","Sell","Democrat","🔴",413.34,3333,0.124,"","Tx"
"82",2022-11-08 20:53:38,"0x005dcb2c539eb682f14b7441863c298904d108bd","Sell","Democrat","🔴",68.6,500,0.1372,"","Tx"
"83",2022-11-08 20:26:50,"0x005dcb2c539eb682f14b7441863c298904d108bd","Sell","Democrat","🔴",142.95,999.99,0.1429,"","Tx"
"84",2022-11-08 19:14:44,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Democrat","🔴",4.54,30.85,0.147,"","Tx"
"85",2022-11-08 18:43:14,"0xb29ea4336f526dbd62a123a93f11f6c46f53bea4","Buy","Republican","🔴",50,58.35,0.8568,"","Tx"
