"","Timestamp","Account","Type","Outcome","Direction","Amount","Shares","Price","Var.9","Var.10"
"1",2022-11-10 18:07:06,"0x8c2fa256c8690a6651d4db04ee7c1d08031564fa","Sell","Republican","🔵",0.24,33372.21,0,"","Tx"
"2",2022-11-10 15:15:12,"0x8c2fa256c8690a6651d4db04ee7c1d08031564fa","Sell","Republican","🔵",2.2,24505.45,1e-04,"","Tx"
"3",2022-11-09 22:51:25,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Democrat","🔴",1.98,2,0.9895,"","Tx"
"4",2022-11-09 21:45:55,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Republican","🔴",0.03,52.08,5e-04,"","Tx"
"5",2022-11-09 09:33:26,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Buy","Republican","🔴",0.61,1500,4e-04,"","Tx"
"6",2022-11-09 08:08:48,"0x0c0e270cf879583d6a0142fc817e05b768d0434e","Sell","Republican","🔵",6.24,4999.95,0.0012,"","Tx"
"7",2022-11-09 08:04:14,"0x1b2bac8c5f1875c5edea83a9723c603d344d9115","Sell","Democrat","🔴",26.87,27.28,0.985,"","Tx"
"8",2022-11-09 04:40:46,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Republican","🔵",1.12,200,0.0056,"","Tx"
"9",2022-11-09 04:20:51,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Republican","🔵",1.47,200,0.0073,"","Tx"
"10",2022-11-09 04:20:41,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Republican","🔵",6.95,500,0.0139,"","Tx"
"11",2022-11-09 04:13:03,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Republican","🔴",1,45.61,0.0219,"","Tx"
"12",2022-11-09 04:11:03,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Republican","🔵",5.33,200,0.0266,"","Tx"
"13",2022-11-09 04:08:17,"0x6c2ecdbf7b8b82bdd49f6bfbabdff8208d6b75ea","Sell","Democrat","🔴",73.21,76.36,0.9588,"","Tx"
"14",2022-11-09 04:00:01,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Republican","🔵",7.68,200,0.0384,"","Tx"
"15",2022-11-09 03:41:42,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Republican","🔵",16.28,200,0.0814,"","Tx"
"16",2022-11-09 03:08:11,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Republican","🔴",1.4,11.43,0.1228,"","Tx"
"17",2022-11-09 03:08:11,"0x6c2ecdbf7b8b82bdd49f6bfbabdff8208d6b75ea","Buy","Democrat","🔵",66,76.36,0.8643,"","Tx"
"18",2022-11-09 03:08:09,"0x704859fdd5916823cf7bac0807549721d8f998c9","Sell","Republican","🔵",2.04,11.43,0.1789,"","Tx"
"19",2022-11-09 02:39:53,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Republican","🔵",1.9,10,0.1896,"","Tx"
"20",2022-11-09 02:33:55,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Republican","🔵",8.72,39.99,0.218,"","Tx"
"21",2022-11-09 02:26:53,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",25,33.92,0.737,"","Tx"
"22",2022-11-09 02:20:37,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",11,15.78,0.6972,"","Tx"
"23",2022-11-08 20:46:56,"0xf138d197f975dfc2be67addb45b902f15ad053b7","Buy","Republican","🔴",50,167.16,0.2991,"","Tx"
"24",2022-11-08 16:25:14,"0x1b2bac8c5f1875c5edea83a9723c603d344d9115","Buy","Democrat","🔵",20,27.28,0.733,"","Tx"
"25",2022-11-04 18:30:27,"0xda0895fdb39c7596f74df8693354ff47964572d4","Buy","Republican","🔴",50,197.54,0.2531,"","Tx"
"26",2022-10-26 12:19:32,"0x69fa8c7957d6797ee9f506cfaea8c51e6b6f9da2","Buy","Republican","🔴",15,68.56,0.2188,"","Tx"
"27",2022-10-24 19:25:53,"0x042c9d7639085cca20a6f9bc19698fea80949abd","Buy","Democrat","🔵",3,3.76,0.7989,"","Tx"
"28",2022-10-24 15:13:02,"0xa68c1c1c2f10fe2f47398891f0b242fc72944f94","Sell","Republican","🔵",13.72,63.89,0.2148,"","Tx"
"29",2022-10-23 16:22:10,"0xa68c1c1c2f10fe2f47398891f0b242fc72944f94","Buy","Republican","🔴",14,63.89,0.2191,"","Tx"
"30",2022-10-19 13:47:01,"0x6b3d278a0a62230364f55f1684ad24c1c12d76dd","Sell","Republican","🔵",73.52,299.99,0.2451,"","Tx"
"31",2022-10-12 15:41:52,"0x69fa8c7957d6797ee9f506cfaea8c51e6b6f9da2","Buy","Republican","🔴",50,188.78,0.2649,"","Tx"
"32",2022-10-07 21:29:40,"0x1cba7e44bcfd5acc4513f554ab9e86453d086a4c","Buy","Republican","🔴",1.19,5,0.238,"","Tx"
"33",2022-10-04 05:40:56,"0x1cba7e44bcfd5acc4513f554ab9e86453d086a4c","Sell","Republican","🔵",1.16,4.99,0.2333,"","Tx"
"34",2022-10-02 01:59:29,"0xe2b1fc269d0c2e27da11fadd1d9596fe28227d2a","Buy","Republican","🔴",10,43.78,0.2284,"","Tx"
"35",2022-09-30 16:35:53,"0xe8e46bdb46513ffa3306564303f375f005a5b676","Buy","Democrat","🔵",10,12.9,0.775,"","Tx"
