"","Timestamp","Account","Type","Outcome","Direction","Amount","Shares","Price","Var.9","Var.10"
"1",2022-11-11 05:30:28,"0x8c2fa256c8690a6651d4db04ee7c1d08031564fa","Sell","Republican","🔵",0.42,33378.56,0,"","Tx"
"2",2022-11-10 22:16:38,"0xa68c1c1c2f10fe2f47398891f0b242fc72944f94","Sell","Democrat","🔴",166.86,168.56,0.9899,"","Tx"
"3",2022-11-10 19:47:14,"0xa0fbec0ffc8881c3b20aeaaec02d584d3275e939","Sell","Democrat","🔴",10.59,10.7,0.9899,"","Tx"
"4",2022-11-10 18:17:56,"0xa53ed5870cc4ee0d0d3cf51702ed87d8d84ee3b2","Sell","Republican","🔵",1.35,5343.81,3e-04,"","Tx"
"5",2022-11-10 16:05:30,"0x7766f66797e6e4b1746d3d97cb756900735d8f24","Sell","Democrat","🔴",76.59,77.44,0.9891,"","Tx"
"6",2022-11-10 13:05:32,"0x8f9a4d26c7f1ff2f50d7709a02f59e1c656c2b68","Sell","Democrat","🔴",61.9,62.57,0.9892,"","Tx"
"7",2022-11-10 11:45:11,"0x4cc3522b689a6bf1fb4a2444c523e7776db47552","Sell","Republican","🔵",2.05,1148.62,0.0018,"","Tx"
"8",2022-11-10 05:31:18,"0x1cba7e44bcfd5acc4513f554ab9e86453d086a4c","Sell","Democrat","🔴",2.44,2.47,0.9861,"","Tx"
"9",2022-11-10 02:31:09,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Republican","🔵",0.97,200,0.0049,"","Tx"
"10",2022-11-10 02:30:37,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Republican","🔵",8.32,500,0.0166,"","Tx"
"11",2022-11-10 01:06:26,"0x6b3d278a0a62230364f55f1684ad24c1c12d76dd","Sell","Republican","🔵",5.8,92.17,0.063,"","Tx"
"12",2022-11-10 00:50:59,"0x9035b664e28ecf0188c8c672326056dc1dfc3461","Sell","Republican","🔵",5.55,49.76,0.1115,"","Tx"
"13",2022-11-10 00:35:57,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Republican","🔴",0.06,0.45,0.1422,"","Tx"
"14",2022-11-10 00:35:57,"0xbb05ab67a038f65a77f6288ad64db2389cd435eb","Sell","Republican","🔵",59.34,166.65,0.3561,"","Tx"
"15",2022-11-10 00:35:57,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Democrat","🔵",0.16,0.45,0.3439,"","Tx"
"16",2022-11-10 00:31:11,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Democrat","🔵",6.94,22.73,0.3054,"","Tx"
"17",2022-11-10 00:31:11,"0xbb05ab67a038f65a77f6288ad64db2389cd435eb","Buy","Republican","🔴",100,2247.85,0.0445,"","Tx"
"18",2022-11-10 00:31:11,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Republican","🔴",0.02,22.73,8e-04,"","Tx"
"19",2022-11-09 22:50:29,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Republican","🔵",0,0.06,8e-04,"","Tx"
"20",2022-11-09 22:48:23,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Republican","🔴",0.3,471.28,6e-04,"","Tx"
"21",2022-11-09 21:20:43,"0xa53ed5870cc4ee0d0d3cf51702ed87d8d84ee3b2","Buy","Republican","🔴",1,6769.98,1e-04,"","Tx"
"22",2022-11-09 19:49:56,"0x0c0e270cf879583d6a0142fc817e05b768d0434e","Sell","Republican","🔵",3.06,8388.36,4e-04,"","Tx"
"23",2022-11-09 19:43:38,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Republican","🔵",1.35,300,0.0045,"","Tx"
"24",2022-11-09 19:40:10,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Republican","🔵",0.72,100,0.0072,"","Tx"
"25",2022-11-09 19:29:50,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Republican","🔵",4.41,300,0.0147,"","Tx"
"26",2022-11-09 18:57:38,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Republican","🔵",2.23,70,0.0318,"","Tx"
"27",2022-11-09 17:58:44,"0x110c12a3909fbf2305bb0ddcdc3fd3c115c819a7","Sell","Republican","🔵",2.46,53.36,0.0462,"","Tx"
"28",2022-11-09 13:35:59,"0x704859fdd5916823cf7bac0807549721d8f998c9","Sell","Republican","🔵",1.49,24.73,0.0603,"🥪","Tx"
"29",2022-11-09 13:35:59,"0x777fae71d2ff9ec48a1213d48ba1d9d91024a1bb","Sell","Democrat","🔴",32.94,35.35,0.9319,"","Tx"
"30",2022-11-09 13:35:59,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Republican","🔴",1.19,24.73,0.048,"🥪","Tx"
"31",2022-11-09 10:57:18,"0xe740fccc89d0e155cb45dfdfa9740217494b60bd","Sell","Democrat","🔴",24.3,25.58,0.95,"","Tx"
"32",2022-11-09 09:20:31,"0x716ab045dd7aced76c007060ab4d74ce56de8a61","Sell","Republican","🔵",2.56,57.44,0.0446,"","Tx"
"33",2022-11-09 09:06:46,"0x0c0e270cf879583d6a0142fc817e05b768d0434e","Sell","Republican","🔵",2.49,40,0.0623,"","Tx"
"34",2022-11-09 08:23:10,"0x6b3d278a0a62230364f55f1684ad24c1c12d76dd","Buy","Republican","🔴",1,14.32,0.0698,"","Tx"
"35",2022-11-09 07:25:00,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Republican","🔴",4.44,70.22,0.0632,"","Tx"
"36",2022-11-09 07:15:32,"0x033dc6e3e3e0a3ae55402576990392ae910aaf05","Sell","Republican","🔵",38.8,470.54,0.0825,"","Tx"
"37",2022-11-09 07:03:38,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Republican","🔴",1.22,10.64,0.1149,"","Tx"
"38",2022-11-09 07:01:10,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Republican","🔴",10,94.11,0.1063,"","Tx"
"39",2022-11-09 06:49:03,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Republican","🔴",4,41.63,0.0961,"","Tx"
"40",2022-11-09 06:48:39,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Republican","🔴",10,116.23,0.086,"","Tx"
"41",2022-11-09 06:48:11,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Republican","🔴",3,38.81,0.0773,"","Tx"
"42",2022-11-09 06:32:16,"0xa0fbec0ffc8881c3b20aeaaec02d584d3275e939","Buy","Democrat","🔵",10,10.7,0.9342,"","Tx"
"43",2022-11-09 06:17:48,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Republican","🔴",3,40.32,0.0744,"","Tx"
"44",2022-11-09 06:03:49,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Republican","🔵",16.3,200,0.0815,"","Tx"
"45",2022-11-09 06:03:41,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Republican","🔵",10.06,100,0.1006,"","Tx"
"46",2022-11-09 05:49:06,"0xd8d927c5e03bacc413a5432c22790de178095d39","Sell","Democrat","🔴",78.76,88.64,0.8886,"","Tx"
"47",2022-11-09 05:35:21,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Republican","🔴",5.8,62.62,0.0927,"🥪","Tx"
"48",2022-11-09 05:35:21,"0x777fae71d2ff9ec48a1213d48ba1d9d91024a1bb","Buy","Democrat","🔵",99.48,108.81,0.9142,"","Tx"
"49",2022-11-09 05:35:21,"0x704859fdd5916823cf7bac0807549721d8f998c9","Sell","Republican","🔵",6.67,62.62,0.1065,"🥪","Tx"
"50",2022-11-09 05:15:31,"0x777fae71d2ff9ec48a1213d48ba1d9d91024a1bb","Buy","Democrat","🔵",77,86.7,0.8882,"","Tx"
"51",2022-11-09 05:14:03,"0x777fae71d2ff9ec48a1213d48ba1d9d91024a1bb","Buy","Democrat","🔵",64.47,73.96,0.8716,"","Tx"
"52",2022-11-09 04:54:23,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Republican","🔴",5,35,0.1428,"","Tx"
"53",2022-11-09 04:48:16,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Republican","🔴",25,211.63,0.1181,"","Tx"
"54",2022-11-09 04:41:22,"0x7668efbca0df8195ba199d3e19cb768e8b3779ec","Buy","Republican","🔴",11,119.51,0.092,"","Tx"
"55",2022-11-09 04:41:04,"0x7668efbca0df8195ba199d3e19cb768e8b3779ec","Buy","Republican","🔴",6,74.68,0.0803,"","Tx"
"56",2022-11-09 04:38:58,"0x0c0e270cf879583d6a0142fc817e05b768d0434e","Sell","Republican","🔵",17.23,200,0.0862,"","Tx"
"57",2022-11-09 04:35:44,"0x777fae71d2ff9ec48a1213d48ba1d9d91024a1bb","Sell","Democrat","🔴",49.22,55,0.8948,"","Tx"
"58",2022-11-09 04:33:26,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Republican","🔴",0.5,5.36,0.0929,"🥪","Tx"
"59",2022-11-09 04:33:26,"0x6404bfa37fe830e29ee8967e1c3b2a8091d5f250","Buy","Democrat","🔵",222,247.16,0.8982,"","Tx"
"60",2022-11-09 04:33:26,"0x704859fdd5916823cf7bac0807549721d8f998c9","Sell","Republican","🔵",0.71,5.36,0.1325,"🥪","Tx"
"61",2022-11-09 04:29:01,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Buy","Republican","🔴",12.56,100,0.1256,"","Tx"
"62",2022-11-09 04:25:27,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Republican","🔵",26.76,200,0.1338,"","Tx"
"63",2022-11-09 04:23:43,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Republican","🔴",4.71,30.2,0.156,"🥪","Tx"
"64",2022-11-09 04:23:43,"0xd8d927c5e03bacc413a5432c22790de178095d39","Buy","Democrat","🔵",75,88.64,0.8461,"","Tx"
"65",2022-11-09 04:23:43,"0x704859fdd5916823cf7bac0807549721d8f998c9","Sell","Republican","🔵",5.36,30.2,0.1776,"🥪","Tx"
"66",2022-11-09 04:22:37,"0x5681dfa7f4e95c38711dd81d4cd27536a601c1d9","Buy","Republican","🔴",66,528.06,0.125,"","Tx"
"67",2022-11-09 04:15:01,"0x5681dfa7f4e95c38711dd81d4cd27536a601c1d9","Sell","Republican","🔵",30.19,300.35,0.1005,"","Tx"
"68",2022-11-09 04:14:11,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Buy","Republican","🔴",21.98,200,0.1099,"","Tx"
"69",2022-11-09 04:14:07,"0x6c2ecdbf7b8b82bdd49f6bfbabdff8208d6b75ea","Sell","Democrat","🔴",105.74,116.88,0.9047,"","Tx"
"70",2022-11-09 04:09:15,"0x45cc78578b082e89f21e847a3afec8d28cd26400","Sell","Democrat","🔴",0.25,0.27,0.9114,"","Tx"
"71",2022-11-09 04:08:07,"0x45cc78578b082e89f21e847a3afec8d28cd26400","Buy","Republican","🔴",17.9,263.76,0.0679,"","Tx"
"72",2022-11-09 04:05:43,"0x4cc3522b689a6bf1fb4a2444c523e7776db47552","Buy","Democrat","🔵",500,539.5,0.9268,"","Tx"
"73",2022-11-09 03:55:38,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Republican","🔵",12.69,100,0.1269,"","Tx"
"74",2022-11-09 03:44:04,"0x6c2ecdbf7b8b82bdd49f6bfbabdff8208d6b75ea","Buy","Democrat","🔵",100,116.88,0.8556,"","Tx"
