"","Timestamp","Account","Type","Outcome","Direction","Amount","Shares","Price","Var.9","Var.10"
"1",2022-11-10 17:00:58,"0x8c2fa256c8690a6651d4db04ee7c1d08031564fa","Sell","Republican","🔵",6.13,41676.52,1e-04,"","Tx"
"2",2022-11-09 22:52:55,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Republican","🔵",0.13,29.04,0.0045,"","Tx"
"3",2022-11-09 19:32:26,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Republican","🔵",14.91,1000,0.0149,"","Tx"
"4",2022-11-09 17:21:44,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Republican","🔴",6.38,183.02,0.0349,"","Tx"
"5",2022-11-09 17:21:44,"0x6b3d278a0a62230364f55f1684ad24c1c12d76dd","Buy","Democrat","🔵",100,101.99,0.9804,"","Tx"
"6",2022-11-09 17:21:44,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Democrat","🔵",175.22,183.02,0.9574,"","Tx"
"7",2022-11-09 17:20:58,"0x6b3d278a0a62230364f55f1684ad24c1c12d76dd","Buy","Democrat","🔵",10,10.76,0.9297,"","Tx"
"8",2022-11-09 17:20:50,"0x6b3d278a0a62230364f55f1684ad24c1c12d76dd","Buy","Democrat","🔵",10,10.81,0.925,"","Tx"
"9",2022-11-09 10:36:44,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Republican","🔴",1.6,19.21,0.0833,"🥪","Tx"
"10",2022-11-09 10:36:44,"0x8016502332a54f42608d7e12549dbc82328a9894","Buy","Democrat","🔵",26,28.11,0.9248,"","Tx"
"11",2022-11-09 10:36:44,"0x704859fdd5916823cf7bac0807549721d8f998c9","Sell","Republican","🔵",1.82,19.21,0.095,"🥪","Tx"
"12",2022-11-09 07:54:02,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Republican","🔵",13.72,100,0.1372,"","Tx"
"13",2022-11-09 06:17:16,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Republican","🔴",5,29.05,0.1721,"","Tx"
"14",2022-11-09 05:59:31,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Republican","🔴",3.33,22.84,0.1458,"🥪","Tx"
"15",2022-11-09 05:59:31,"0x6b3d278a0a62230364f55f1684ad24c1c12d76dd","Buy","Democrat","🔵",50,59.14,0.8455,"","Tx"
"16",2022-11-09 05:59:31,"0x704859fdd5916823cf7bac0807549721d8f998c9","Sell","Republican","🔵",4.8,22.84,0.2099,"🥪","Tx"
"17",2022-11-09 05:58:47,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Republican","🔴",2.4,10.75,0.2229,"","Tx"
"18",2022-11-09 05:58:47,"0x6b3d278a0a62230364f55f1684ad24c1c12d76dd","Buy","Democrat","🔵",100,156.63,0.6384,"","Tx"
"19",2022-11-09 05:58:31,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Democrat","🔵",4.67,10.75,0.4344,"","Tx"
"20",2022-11-09 05:29:03,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Buy","Republican","🔴",26.23,50,0.5246,"","Tx"
"21",2022-11-09 05:11:05,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Buy","Democrat","🔵",24.27,50,0.4855,"","Tx"
"22",2022-11-09 04:59:06,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Buy","Republican","🔴",46.08,100,0.4608,"","Tx"
"23",2022-11-09 04:19:59,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Buy","Republican","🔴",11.86,40,0.2966,"","Tx"
"24",2022-11-09 03:59:06,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Republican","🔵",11.63,40,0.2907,"","Tx"
"25",2022-11-09 03:29:29,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Buy","Democrat","🔵",54.93,100,0.5493,"","Tx"
"26",2022-11-08 16:14:58,"0x8f9a4d26c7f1ff2f50d7709a02f59e1c656c2b68","Buy","Republican","🔴",10,17.03,0.5873,"","Tx"
"27",2022-11-08 05:05:28,"0x98e7bb1801edd0c7a6f08399db0e3ecb2ee50a64","Buy","Republican","🔴",10,17.14,0.5833,"","Tx"
"28",2022-11-07 23:01:40,"0xcae1ddfc9d33fb66001a1f1ee10f52f5fd48abd4","Buy","Democrat","🔵",10,23.47,0.426,"","Tx"
"29",2022-11-07 23:00:48,"0xcae1ddfc9d33fb66001a1f1ee10f52f5fd48abd4","Buy","Democrat","🔵",25,60.06,0.4163,"","Tx"
"30",2022-11-06 19:04:06,"0x44ff625778f9c1b33631991ae57ce2b03eba38cc","Buy","Democrat","🔵",0.2,0.49,0.4092,"","Tx"
"31",2022-11-06 00:13:37,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Democrat","🔵",1.04,2.55,0.4089,"🥪","Tx"
"32",2022-11-06 00:13:37,"0x6cb5e5a4881f46e63cccb98f9014b72eed2bc563","Buy","Republican","🔴",100,172.01,0.5814,"","Tx"
"33",2022-11-06 00:13:37,"0x704859fdd5916823cf7bac0807549721d8f998c9","Sell","Democrat","🔴",1.12,2.55,0.4405,"🥪","Tx"
"34",2022-11-04 18:39:57,"0xda0895fdb39c7596f74df8693354ff47964572d4","Buy","Republican","🔴",50,91.01,0.5494,"","Tx"
"35",2022-10-31 19:49:58,"0x63b2c44a2bab92a2fc0e785edc7ff6fcd9e5cb01","Buy","Republican","🔴",28,52.63,0.532,"","Tx"
"36",2022-10-26 18:20:36,"0xf131107ac02877d1a35b6e918707631383db9b41","Sell","Democrat","🔴",0.06,0.12,0.4749,"","Tx"
"37",2022-10-26 18:03:53,"0xf131107ac02877d1a35b6e918707631383db9b41","Sell","Democrat","🔴",0.01,0.02,0.4749,"","Tx"
"38",2022-10-22 15:41:19,"0xf131107ac02877d1a35b6e918707631383db9b41","Sell","Democrat","🔴",0.01,0.02,0.4749,"","Tx"
"39",2022-10-18 15:20:28,"0xf131107ac02877d1a35b6e918707631383db9b41","Buy","Democrat","🔵",0.01,0.01,0.4845,"","Tx"
"40",2022-10-18 15:19:48,"0xf131107ac02877d1a35b6e918707631383db9b41","Sell","Democrat","🔴",0.01,0.01,0.4749,"","Tx"
"41",2022-10-18 15:19:24,"0xf131107ac02877d1a35b6e918707631383db9b41","Sell","Democrat","🔴",0.01,0.01,0.4749,"","Tx"
"42",2022-10-18 15:18:36,"0xf131107ac02877d1a35b6e918707631383db9b41","Buy","Democrat","🔵",0.01,0.02,0.4845,"","Tx"
"43",2022-10-17 03:23:45,"0xf131107ac02877d1a35b6e918707631383db9b41","Buy","Democrat","🔵",0.01,0.02,0.4845,"","Tx"
"44",2022-10-17 03:20:11,"0xf131107ac02877d1a35b6e918707631383db9b41","Buy","Democrat","🔵",0.01,0.02,0.4845,"","Tx"
"45",2022-10-17 02:33:43,"0xf131107ac02877d1a35b6e918707631383db9b41","Buy","Democrat","🔵",0,0.01,0.4845,"","Tx"
"46",2022-10-17 02:33:43,"0xf131107ac02877d1a35b6e918707631383db9b41","Buy","Democrat","🔵",0,0.01,0.4845,"","Tx"
"47",2022-10-17 02:33:43,"0xf131107ac02877d1a35b6e918707631383db9b41","Buy","Democrat","🔵",0,0.01,0.4845,"","Tx"
"48",2022-10-17 02:33:43,"0xf131107ac02877d1a35b6e918707631383db9b41","Buy","Democrat","🔵",0,0.01,0.4845,"","Tx"
"49",2022-10-17 02:33:43,"0xf131107ac02877d1a35b6e918707631383db9b41","Buy","Democrat","🔵",0,0.01,0.4845,"","Tx"
"50",2022-10-17 02:33:43,"0xf131107ac02877d1a35b6e918707631383db9b41","Buy","Democrat","🔵",0,0.01,0.4845,"","Tx"
"51",2022-10-17 02:33:41,"0xf131107ac02877d1a35b6e918707631383db9b41","Buy","Democrat","🔵",0,0.01,0.4845,"","Tx"
"52",2022-10-17 02:33:41,"0xf131107ac02877d1a35b6e918707631383db9b41","Buy","Democrat","🔵",0,0.01,0.4845,"","Tx"
"53",2022-10-17 02:33:41,"0xf131107ac02877d1a35b6e918707631383db9b41","Buy","Democrat","🔵",0,0.01,0.4845,"","Tx"
"54",2022-10-17 02:33:41,"0xf131107ac02877d1a35b6e918707631383db9b41","Buy","Democrat","🔵",0,0.01,0.4845,"","Tx"
"55",2022-10-17 02:33:41,"0xf131107ac02877d1a35b6e918707631383db9b41","Buy","Democrat","🔵",0,0.01,0.4845,"","Tx"
"56",2022-10-17 02:33:39,"0xf131107ac02877d1a35b6e918707631383db9b41","Buy","Democrat","🔵",0,0.01,0.4845,"","Tx"
"57",2022-10-17 02:33:39,"0xf131107ac02877d1a35b6e918707631383db9b41","Buy","Democrat","🔵",0,0.01,0.4845,"","Tx"
"58",2022-10-17 02:33:39,"0xf131107ac02877d1a35b6e918707631383db9b41","Buy","Democrat","🔵",0,0.01,0.4845,"","Tx"
"59",2022-10-17 02:33:33,"0xf131107ac02877d1a35b6e918707631383db9b41","Buy","Democrat","🔵",0,0.01,0.4845,"","Tx"
"60",2022-10-16 23:21:56,"0xf131107ac02877d1a35b6e918707631383db9b41","Sell","Democrat","🔴",0.01,0.02,0.4749,"","Tx"
"61",2022-10-16 23:21:50,"0xf131107ac02877d1a35b6e918707631383db9b41","Sell","Democrat","🔴",0.01,0.02,0.4749,"","Tx"
"62",2022-10-02 01:56:17,"0xe2b1fc269d0c2e27da11fadd1d9596fe28227d2a","Buy","Democrat","🔵",25,52.91,0.4725,"","Tx"
"63",2022-10-01 03:53:51,"0xe2b1fc269d0c2e27da11fadd1d9596fe28227d2a","Buy","Democrat","🔵",4,8.91,0.449,"","Tx"
"64",2022-09-30 16:37:01,"0xe8e46bdb46513ffa3306564303f375f005a5b676","Buy","Republican","🔴",10,18.22,0.549,"","Tx"
