"","Timestamp","Account","Type","Outcome","Direction","Amount","Shares","Price","Var.9","Var.10"
"1",2022-11-09 19:48:22,"0xad2b602736d9ab453666b47f05092f391b865c33","Sell","Democrat","🔴",325.46,331.51,0.9817,"","Tx"
"2",2022-11-09 19:28:04,"0xa68c1c1c2f10fe2f47398891f0b242fc72944f94","Sell","Democrat","🔴",44.08,44.9,0.9817,"","Tx"
"3",2022-11-09 16:51:09,"0x005dcb2c539eb682f14b7441863c298904d108bd","Sell","Republican","🔵",0.08,303.98,3e-04,"","Tx"
"4",2022-11-09 15:56:33,"0x93f8e122b8ea9539e49ee68125c6f7f4e22f7dc0","Sell","Democrat","🔴",2061,2099.25,0.9818,"","Tx"
"5",2022-11-09 15:20:37,"0x84594918c0fc3ae7fb971100b1dce00384a10333","Sell","Republican","🔵",1.23,4357.67,3e-04,"","Tx"
"6",2022-11-09 12:50:49,"0x71735b2255c0d073aa24713ed9b6083cfb547d75","Sell","Republican","🔵",1.84,2792.16,7e-04,"","Tx"
"7",2022-11-09 12:33:21,"0x07c4f39862e865e6f9d307f1df5e6c24367d2c5b","Sell","Democrat","🔴",4.49,4.58,0.981,"","Tx"
"8",2022-11-09 10:34:40,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Republican","🔵",1.24,1003,0.0012,"","Tx"
"9",2022-11-09 09:54:58,"0x13e5c10e9760d6cab6cee204dabae7922505420a","Sell","Republican","🔵",0.4,256,0.0016,"","Tx"
"10",2022-11-09 09:51:56,"0x9b8d14d3571f913ea4953778feeb518fa92c6033","Sell","Democrat","🔴",2414.16,2461.52,0.9808,"","Tx"
"11",2022-11-09 08:25:44,"0xa8b7f8b34185e9cc62c471e1d353595148a3ee3c","Sell","Republican","🔵",3.93,2970.15,0.0013,"","Tx"
"12",2022-11-09 08:19:52,"0x6727da706628b2f23c416ada554a12c2c378db84","Sell","Democrat","🔴",1110.26,1132.45,0.9804,"","Tx"
"13",2022-11-09 08:11:50,"0xef36b6b7250230e386ee73f869cd78670a354799","Buy","Republican","🔴",1,751.93,0.0013,"","Tx"
"14",2022-11-09 08:08:50,"0xef36b6b7250230e386ee73f869cd78670a354799","Buy","Republican","🔴",1.2,1092.83,0.0011,"","Tx"
"15",2022-11-09 08:07:06,"0xef36b6b7250230e386ee73f869cd78670a354799","Buy","Republican","🔴",1.2,1377.42,9e-04,"","Tx"
"16",2022-11-09 07:44:38,"0x4cc3522b689a6bf1fb4a2444c523e7776db47552","Sell","Republican","🔵",4.38,4247,0.001,"","Tx"
"17",2022-11-09 07:40:48,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Buy","Republican","🔴",2.29,1800,0.0013,"","Tx"
"18",2022-11-09 07:31:22,"0xd9aa06aef922920577c21e793a518d1b202c32ac","Sell","Democrat","🔴",34.67,35.35,0.9809,"","Tx"
"19",2022-11-09 07:14:56,"0xa4a6fcb5df72529d4a16cf091964d1cf50ccdaa2","Buy","Republican","🔴",1.8,1922.68,9e-04,"","Tx"
"20",2022-11-09 07:13:16,"0x7668efbca0df8195ba199d3e19cb768e8b3779ec","Sell","Republican","🔵",2.29,2430.85,9e-04,"","Tx"
"21",2022-11-09 07:08:58,"0xcae1ddfc9d33fb66001a1f1ee10f52f5fd48abd4","Sell","Republican","🔵",3.95,2609.57,0.0015,"","Tx"
"22",2022-11-09 06:27:10,"0x704859fdd5916823cf7bac0807549721d8f998c9","Sell","Republican","🔵",17.21,4709.86,0.0037,"","Tx"
"23",2022-11-09 06:27:06,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Republican","🔴",17.09,4709.86,0.0036,"","Tx"
"24",2022-11-09 06:25:58,"0xb606128e1ff9db1eb0451c01cf79f0a505f26992","Sell","Democrat","🔴",47.51,48.47,0.9802,"","Tx"
"25",2022-11-09 06:18:44,"0x704859fdd5916823cf7bac0807549721d8f998c9","Sell","Republican","🔵",18.31,4890.24,0.0037,"🥪","Tx"
"26",2022-11-09 06:18:44,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Republican","🔴",17.85,4890.24,0.0037,"🥪","Tx"
"27",2022-11-09 06:18:36,"0xe8e46bdb46513ffa3306564303f375f005a5b676","Sell","Republican","🔵",4.92,2287.75,0.0021,"","Tx"
"28",2022-11-09 06:07:30,"0x61b7acc426bd48c2c4f0d9d6ffc7dbcd5deae7e2","Sell","Republican","🔵",1.02,336.4,0.003,"","Tx"
"29",2022-11-09 06:04:15,"0x37ea663f38ffc6e0bf5793a140cb62a970b06082","Sell","Republican","🔵",0.36,109.66,0.0033,"","Tx"
"30",2022-11-09 06:02:53,"0x37ea663f38ffc6e0bf5793a140cb62a970b06082","Buy","Republican","🔴",1,305.23,0.0033,"","Tx"
"31",2022-11-09 06:02:41,"0x7789806c754eb0af4c3abeb026c218b4ba78f823","Sell","Republican","🔵",8.68,2000,0.0043,"","Tx"
"32",2022-11-09 05:58:47,"0x7789806c754eb0af4c3abeb026c218b4ba78f823","Sell","Republican","🔵",2.01,300,0.0067,"","Tx"
"33",2022-11-09 05:57:41,"0x39ec75cc9dc48d0ca433735bf543ad0d55186504","Sell","Republican","🔵",3.2,404.43,0.0079,"","Tx"
"34",2022-11-09 05:52:24,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Republican","🔵",3.89,400,0.0097,"","Tx"
"35",2022-11-09 05:49:24,"0xa0fbec0ffc8881c3b20aeaaec02d584d3275e939","Sell","Republican","🔵",2.24,194.8,0.0115,"","Tx"
"36",2022-11-09 05:47:50,"0x6b3329d1c50ff7d6f8c475e696b63cca78117930","Sell","Republican","🔵",4.95,362.08,0.0137,"","Tx"
"37",2022-11-09 05:46:01,"0xbc9c48ba97ca9e42b2eac4f6f673d19eca6dd5c5","Sell","Republican","🔵",17.41,820.05,0.0212,"","Tx"
"38",2022-11-09 05:35:25,"0x58744f91ed701afdc02d55b0467b09ce62c505f7","Buy","Republican","🔴",3,103.55,0.029,"","Tx"
"39",2022-11-09 05:30:25,"0xa0fbec0ffc8881c3b20aeaaec02d584d3275e939","Sell","Republican","🔵",1.4,51.26,0.0273,"","Tx"
"40",2022-11-09 05:30:13,"0x704859fdd5916823cf7bac0807549721d8f998c9","Sell","Republican","🔵",0.92,32.32,0.0283,"🥪","Tx"
"41",2022-11-09 05:30:13,"0x29a7950adf37e172bc3b9b1453e8634596b56630","Buy","Republican","🔴",34.76,2526.97,0.0138,"","Tx"
"42",2022-11-09 05:30:13,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Republican","🔴",0.2,32.32,0.0062,"🥪","Tx"
"43",2022-11-09 05:28:27,"0xd1acd3925d895de9aec98ff95f3a30c5279d08d5","Buy","Republican","🔴",5,974.5,0.0051,"","Tx"
"44",2022-11-09 05:26:53,"0xa0fbec0ffc8881c3b20aeaaec02d584d3275e939","Buy","Republican","🔴",1.96,503.56,0.0039,"","Tx"
"45",2022-11-09 05:25:33,"0xa0fbec0ffc8881c3b20aeaaec02d584d3275e939","Sell","Democrat","🔴",1.96,2,0.9786,"","Tx"
"46",2022-11-09 05:25:33,"0xd1acd3925d895de9aec98ff95f3a30c5279d08d5","Buy","Republican","🔴",5,1817.56,0.0028,"","Tx"
"47",2022-11-09 05:24:53,"0x0c0e270cf879583d6a0142fc817e05b768d0434e","Sell","Republican","🔵",27.57,5000,0.0055,"","Tx"
"48",2022-11-09 05:21:53,"0xa8b7f8b34185e9cc62c471e1d353595148a3ee3c","Buy","Republican","🔴",3.21,225.35,0.0143,"","Tx"
"49",2022-11-09 05:16:31,"0xa8b7f8b34185e9cc62c471e1d353595148a3ee3c","Buy","Republican","🔴",2,158.24,0.0126,"","Tx"
"50",2022-11-09 05:13:25,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Republican","🔵",5.27,400,0.0132,"","Tx"
"51",2022-11-09 05:10:43,"0x110c12a3909fbf2305bb0ddcdc3fd3c115c819a7","Sell","Republican","🔵",0.97,63.72,0.0153,"","Tx"
"52",2022-11-09 05:09:49,"0x7a81d5d0bd724ebd82979a83309eb29dc2286d56","Sell","Republican","🔵",1.31,81.71,0.0161,"","Tx"
"53",2022-11-09 05:06:17,"0x830264fc4e9f6389062d28d45fc325712b313feb","Sell","Democrat","🔴",134.32,139.01,0.9663,"","Tx"
"54",2022-11-09 05:04:55,"0x7a81d5d0bd724ebd82979a83309eb29dc2286d56","Buy","Republican","🔴",1.94,129.83,0.0149,"","Tx"
