"","Timestamp","Account","Type","Outcome","Direction","Amount","Shares","Price","Var.9","Var.10"
"1",2022-11-09 11:07:13,"0x0c0e270cf879583d6a0142fc817e05b768d0434e","Sell","Republican","🔵",8.51,14000,6e-04,"","Tx"
"2",2022-11-09 10:55:08,"0x6a29804939d1dd6a00ba3ff807402d0de90e0f11","Sell","Democrat","🔴",8.09,8.25,0.9806,"","Tx"
"3",2022-11-09 09:34:16,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Buy","Republican","🔴",0.56,400,0.0014,"","Tx"
"4",2022-11-09 03:18:41,"0x042c9d7639085cca20a6f9bc19698fea80949abd","Sell","Republican","🔵",0.29,217.91,0.0013,"","Tx"
"5",2022-11-08 21:46:20,"0x042c9d7639085cca20a6f9bc19698fea80949abd","Buy","Republican","🔴",0.15,107.77,0.0014,"","Tx"
"6",2022-11-08 21:41:48,"0x0c0e270cf879583d6a0142fc817e05b768d0434e","Sell","Republican","🔵",12.18,4999.98,0.0024,"","Tx"
"7",2022-11-08 21:31:14,"0x042c9d7639085cca20a6f9bc19698fea80949abd","Buy","Republican","🔴",0.5,110.15,0.0045,"","Tx"
"8",2022-11-08 19:03:06,"0xee292607d48ecee93afc0fe9994fbe316f59c56d","Sell","Republican","🔵",8.53,1499.9,0.0057,"","Tx"
"9",2022-11-08 07:26:42,"0xa8b7f8b34185e9cc62c471e1d353595148a3ee3c","Sell","Republican","🔵",0,0.14,0.0075,"","Tx"
"10",2022-11-07 01:23:17,"0x99cee1f25b05cc37c4fa004a0f8ca79df8d5e246","Sell","Republican","🔵",0.83,108.31,0.0077,"","Tx"
"11",2022-11-06 12:04:13,"0x9d84ce0306f8551e02efef1680475fc0f1dc1344","Buy","Republican","🔴",4,548.61,0.0073,"","Tx"
"12",2022-11-05 05:16:15,"0xa8b7f8b34185e9cc62c471e1d353595148a3ee3c","Buy","Republican","🔴",0.75,116.42,0.0064,"","Tx"
"13",2022-11-04 12:58:05,"0x424eea9dbf8257f8375a344ec3c656bc546feb0a","Sell","Democrat","🔴",0.51,0.52,0.9759,"","Tx"
"14",2022-11-04 12:53:13,"0x424eea9dbf8257f8375a344ec3c656bc546feb0a","Buy","Republican","🔴",0.23,37.26,0.0063,"","Tx"
"15",2022-11-04 04:09:00,"0xdcd962e5da7c9506bba32ea99cfff18a3e9a35d4","Buy","Republican","🔴",0.64,102.94,0.0062,"","Tx"
"16",2022-11-04 04:07:48,"0xdcd962e5da7c9506bba32ea99cfff18a3e9a35d4","Buy","Republican","🔴",5,897.41,0.0056,"","Tx"
"17",2022-11-04 02:56:18,"0x0c0e270cf879583d6a0142fc817e05b768d0434e","Sell","Republican","🔵",1,200,0.005,"","Tx"
"18",2022-11-02 13:45:06,"0xa68c1c1c2f10fe2f47398891f0b242fc72944f94","Sell","Republican","🔵",5.54,992.96,0.0056,"","Tx"
"19",2022-11-02 12:36:54,"0x424eea9dbf8257f8375a344ec3c656bc546feb0a","Buy","Republican","🔴",1,159.91,0.0063,"","Tx"
"20",2022-11-02 02:52:37,"0x99cee1f25b05cc37c4fa004a0f8ca79df8d5e246","Buy","Republican","🔴",0.66,108.32,0.0061,"","Tx"
"21",2022-11-01 18:28:37,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Republican","🔴",0.13,21,0.006,"","Tx"
"22",2022-11-01 18:28:33,"0xa68c1c1c2f10fe2f47398891f0b242fc72944f94","Sell","Republican","🔵",9.41,1407,0.0067,"","Tx"
"23",2022-11-01 18:28:33,"0x704859fdd5916823cf7bac0807549721d8f998c9","Sell","Republican","🔵",0.16,21,0.0077,"","Tx"
"24",2022-11-01 18:15:33,"0xa68c1c1c2f10fe2f47398891f0b242fc72944f94","Sell","Republican","🔵",8.72,1000,0.0087,"","Tx"
"25",2022-11-01 15:25:41,"0xee292607d48ecee93afc0fe9994fbe316f59c56d","Sell","Republican","🔵",19.52,1600,0.0122,"","Tx"
"26",2022-11-01 14:03:11,"0x6b3d278a0a62230364f55f1684ad24c1c12d76dd","Sell","Republican","🔵",0.02,1.11,0.0152,"","Tx"
"27",2022-11-01 14:00:09,"0x6b3d278a0a62230364f55f1684ad24c1c12d76dd","Buy","Republican","🔴",0.8,51.11,0.0157,"","Tx"
"28",2022-10-31 17:13:31,"0xa68c1c1c2f10fe2f47398891f0b242fc72944f94","Sell","Republican","🔵",6.31,400,0.0158,"","Tx"
"29",2022-10-30 23:00:09,"0xa8b7f8b34185e9cc62c471e1d353595148a3ee3c","Buy","Republican","🔴",1,58.65,0.017,"","Tx"
"30",2022-10-27 13:32:57,"0x424eea9dbf8257f8375a344ec3c656bc546feb0a","Buy","Republican","🔴",7,436.39,0.016,"","Tx"
