"","Timestamp","Account","Type","Outcome","Direction","Amount","Shares","Price","Var.9","Var.10"
"1",2022-11-09 12:49:47,"0x71735b2255c0d073aa24713ed9b6083cfb547d75","Sell","Republican","🔵",3.34,3000.59,0.0011,"","Tx"
"2",2022-11-09 10:51:02,"0x8f9a4d26c7f1ff2f50d7709a02f59e1c656c2b68","Sell","Republican","🔵",0.01,5.37,0.0016,"","Tx"
"3",2022-11-09 08:12:38,"0xef36b6b7250230e386ee73f869cd78670a354799","Buy","Republican","🔴",0.99,666.42,0.0015,"","Tx"
"4",2022-11-09 08:06:58,"0x7d676a88085f3652b2e2e299cbcb529df6b3102c","Sell","Republican","🔵",0.52,375.99,0.0014,"","Tx"
"5",2022-11-09 08:06:26,"0xef36b6b7250230e386ee73f869cd78670a354799","Buy","Republican","🔴",1.2,891.53,0.0013,"","Tx"
"6",2022-11-09 07:20:38,"0x7a81d5d0bd724ebd82979a83309eb29dc2286d56","Sell","Republican","🔵",0.13,109.88,0.0012,"","Tx"
"7",2022-11-09 07:14:16,"0x7a81d5d0bd724ebd82979a83309eb29dc2286d56","Buy","Republican","🔴",0.2,164.48,0.0012,"","Tx"
"8",2022-11-09 06:29:14,"0x37ea663f38ffc6e0bf5793a140cb62a970b06082","Sell","Republican","🔵",0,2.62,0.0012,"","Tx"
"9",2022-11-09 06:23:10,"0x37ea663f38ffc6e0bf5793a140cb62a970b06082","Buy","Republican","🔴",0.35,302.62,0.0012,"","Tx"
"10",2022-11-09 06:08:10,"0x61b7acc426bd48c2c4f0d9d6ffc7dbcd5deae7e2","Sell","Republican","🔵",0.08,77.37,0.0011,"","Tx"
"11",2022-11-09 06:05:05,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Buy","Republican","🔴",0.33,300,0.0011,"","Tx"
"12",2022-11-09 06:02:53,"0x0c0e270cf879583d6a0142fc817e05b768d0434e","Sell","Republican","🔵",53.26,8189.79,0.0065,"","Tx"
"13",2022-11-09 05:52:12,"0x45cc78578b082e89f21e847a3afec8d28cd26400","Buy","Republican","🔴",9,250.99,0.0359,"","Tx"
"14",2022-11-09 05:48:30,"0x6b3329d1c50ff7d6f8c475e696b63cca78117930","Buy","Republican","🔴",4.95,174.1,0.0284,"","Tx"
"15",2022-11-09 05:20:49,"0x37ea663f38ffc6e0bf5793a140cb62a970b06082","Sell","Republican","🔵",8.82,299.98,0.0294,"","Tx"
"16",2022-11-09 05:15:35,"0x6b3329d1c50ff7d6f8c475e696b63cca78117930","Sell","Republican","🔵",1.77,50,0.0354,"","Tx"
"17",2022-11-09 05:10:49,"0x7d676a88085f3652b2e2e299cbcb529df6b3102c","Sell","Republican","🔵",10.15,239.5,0.0424,"","Tx"
"18",2022-11-09 05:08:23,"0x7d676a88085f3652b2e2e299cbcb529df6b3102c","Sell","Republican","🔵",8.65,158.85,0.0544,"","Tx"
"19",2022-11-09 05:07:09,"0x7d676a88085f3652b2e2e299cbcb529df6b3102c","Sell","Republican","🔵",8.96,136.9,0.0655,"","Tx"
"20",2022-11-09 05:01:29,"0x704859fdd5916823cf7bac0807549721d8f998c9","Sell","Republican","🔵",0.82,11.46,0.0717,"","Tx"
"21",2022-11-09 05:01:27,"0x6b3329d1c50ff7d6f8c475e696b63cca78117930","Buy","Republican","🔴",27.17,474.19,0.0573,"","Tx"
"22",2022-11-09 05:01:27,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Republican","🔴",0.5,11.46,0.0434,"","Tx"
"23",2022-11-09 04:59:31,"0x98e7bb1801edd0c7a6f08399db0e3ecb2ee50a64","Buy","Republican","🔴",10,262.81,0.0381,"","Tx"
"24",2022-11-09 04:43:10,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Republican","🔵",11.22,300,0.0374,"","Tx"
"25",2022-11-09 04:43:08,"0x7668efbca0df8195ba199d3e19cb768e8b3779ec","Sell","Republican","🔵",5.44,118.15,0.046,"","Tx"
