"","Timestamp","Account","Type","Outcome","Direction","Amount","Shares","Price","Var.9","Var.10"
"1",2022-11-19 22:21:29,"0x8330e0bd8e4666873d662db7de675cb0d93f5700","Buy","Democrat","🔵",0.25,183.64,0.0014,"","Tx"
"2",2022-11-19 22:18:01,"0x0c0e270cf879583d6a0142fc817e05b768d0434e","Buy","Democrat","🔵",3,2805.51,0.0011,"","Tx"
"3",2022-11-19 22:17:03,"0x0c0e270cf879583d6a0142fc817e05b768d0434e","Buy","Democrat","🔵",2,2815.52,7e-04,"","Tx"
"4",2022-11-17 18:26:55,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Democrat","🔴",1.32,1999.99,7e-04,"","Tx"
"5",2022-11-14 09:01:06,"0x8330e0bd8e4666873d662db7de675cb0d93f5700","Buy","Democrat","🔵",1,1440.38,7e-04,"","Tx"
"6",2022-11-10 05:14:02,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",0.59,983.91,6e-04,"","Tx"
"7",2022-11-10 04:38:41,"0x1514989043233940203f7457cae4542b1bf42624","Sell","Republican","🔵",10.31,10.42,0.9894,"","Tx"
"8",2022-11-10 03:27:08,"0x0c0e270cf879583d6a0142fc817e05b768d0434e","Sell","Democrat","🔴",13.16,9999.97,0.0013,"","Tx"
"9",2022-11-10 02:59:25,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",4,1507.66,0.0027,"","Tx"
"10",2022-11-10 01:15:43,"0x6b3d278a0a62230364f55f1684ad24c1c12d76dd","Sell","Democrat","🔴",0.07,34.73,0.0022,"","Tx"
"11",2022-11-10 01:14:09,"0x6b3d278a0a62230364f55f1684ad24c1c12d76dd","Buy","Democrat","🔵",0.4,184.72,0.0022,"","Tx"
"12",2022-11-09 22:46:35,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",1,498.19,0.002,"","Tx"
"13",2022-11-09 21:01:05,"0xee292607d48ecee93afc0fe9994fbe316f59c56d","Sell","Democrat","🔴",8.22,2999.98,0.0027,"","Tx"
"14",2022-11-09 11:41:57,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Democrat","🔴",4.78,1000,0.0048,"","Tx"
"15",2022-11-09 10:00:42,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Democrat","🔴",6.96,1000,0.007,"","Tx"
"16",2022-11-09 07:54:14,"0xee292607d48ecee93afc0fe9994fbe316f59c56d","Sell","Democrat","🔴",11.03,1000,0.011,"","Tx"
"17",2022-11-09 07:33:58,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",10,860.11,0.0116,"","Tx"
"18",2022-11-09 07:23:48,"0xee292607d48ecee93afc0fe9994fbe316f59c56d","Sell","Democrat","🔴",11.88,1000,0.0119,"","Tx"
"19",2022-11-09 06:59:17,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Democrat","🔴",22.11,1000,0.0221,"","Tx"
"20",2022-11-09 06:23:12,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Democrat","🔴",19.88,500,0.0398,"","Tx"
"21",2022-11-09 03:11:57,"0x6b3d278a0a62230364f55f1684ad24c1c12d76dd","Sell","Democrat","🔴",8.14,149.99,0.0543,"","Tx"
"22",2022-11-09 02:16:57,"0x1514989043233940203f7457cae4542b1bf42624","Buy","Republican","🔴",9.9,10.42,0.9498,"","Tx"
"23",2022-11-08 21:11:14,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Democrat","🔴",1.5,25,0.06,"","Tx"
"24",2022-11-08 19:18:38,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Democrat","🔴",1.53,25,0.0611,"","Tx"
"25",2022-11-07 19:59:56,"0x8016502332a54f42608d7e12549dbc82328a9894","Buy","Republican","🔴",22,23.24,0.9467,"","Tx"
"26",2022-11-07 13:43:49,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Democrat","🔴",3.19,50,0.0639,"","Tx"
"27",2022-11-06 22:55:01,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Democrat","🔴",3.32,50,0.0663,"","Tx"
"28",2022-11-06 08:35:20,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Democrat","🔴",3.55,51.52,0.0689,"","Tx"
"29",2022-11-06 08:34:30,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",0.11,1.55,0.0717,"","Tx"
"30",2022-11-06 06:20:53,"0x15ae79d7cd60b2a7f06ae46eb4c7a0eb16096ffd","Sell","Democrat","🔴",4.34,60.37,0.0719,"","Tx"
"31",2022-11-06 02:43:27,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Democrat","🔴",3.75,50,0.0751,"","Tx"
"32",2022-11-06 00:57:33,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Democrat","🔴",2.72,35,0.0776,"","Tx"
"33",2022-11-06 00:14:45,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Democrat","🔴",1.99,25,0.0795,"","Tx"
"34",2022-11-05 23:46:05,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Democrat","🔴",3.27,39.99,0.0817,"","Tx"
"35",2022-11-05 08:59:54,"0x8330e0bd8e4666873d662db7de675cb0d93f5700","Sell","Republican","🔵",391.14,425.4,0.9195,"","Tx"
"36",2022-11-04 22:38:32,"0x8330e0bd8e4666873d662db7de675cb0d93f5700","Buy","Republican","🔴",399.09,425.41,0.9381,"","Tx"
"37",2022-11-02 08:11:48,"0x8016502332a54f42608d7e12549dbc82328a9894","Buy","Republican","🔴",2.38,2.57,0.9253,"","Tx"
"38",2022-10-18 15:30:15,"0xbf7bd84bedad4b604af90e4a2ac1754a8dd158a9","Buy","Republican","🔴",0.01,0.01,0.9252,"","Tx"
"39",2022-10-18 15:28:46,"0xbf7bd84bedad4b604af90e4a2ac1754a8dd158a9","Buy","Republican","🔴",0.01,0.01,0.9252,"","Tx"
"40",2022-10-18 15:27:48,"0xbf7bd84bedad4b604af90e4a2ac1754a8dd158a9","Buy","Republican","🔴",0.02,0.02,0.9253,"","Tx"
"41",2022-10-13 03:31:26,"0x15ae79d7cd60b2a7f06ae46eb4c7a0eb16096ffd","Buy","Democrat","🔵",5,60.37,0.0828,"","Tx"
