"","Timestamp","Account","Type","Outcome","Direction","Amount","Shares","Price","Var.9","Var.10"
"1",2022-11-15 11:05:02,"0x8c2fa256c8690a6651d4db04ee7c1d08031564fa","Sell","Republican","🔵",16.68,171578.43,1e-04,"","Tx"
"2",2022-11-15 11:03:20,"0x368dab93ea5593628d0b7d778c0801fd3f332a24","Sell","Republican","🔵",3.49,7999.99,4e-04,"","Tx"
"3",2022-11-15 09:54:12,"0x74d8a244bd6d12d64d569ae713686038d871aff5","Buy","Republican","🔴",0.8,1575.04,5e-04,"","Tx"
"4",2022-11-15 09:48:14,"0x74d8a244bd6d12d64d569ae713686038d871aff5","Buy","Republican","🔴",0.5,1034.35,5e-04,"","Tx"
"5",2022-11-15 08:15:52,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Republican","🔵",0.47,1000,5e-04,"","Tx"
"6",2022-11-15 08:14:30,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Republican","🔵",0.56,1161.1,5e-04,"","Tx"
"7",2022-11-15 08:11:38,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Republican","🔵",1.03,1999.99,5e-04,"","Tx"
"8",2022-11-15 07:56:52,"0x74d8a244bd6d12d64d569ae713686038d871aff5","Sell","Republican","🔵",2.33,4001,6e-04,"","Tx"
"9",2022-11-15 07:39:54,"0xcbc7c4c3c1c06ad97e3f6a5a9088ae8317b58f89","Buy","Republican","🔴",0.35,542.75,7e-04,"","Tx"
"10",2022-11-15 07:20:38,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Republican","🔵",0.63,1000,6e-04,"","Tx"
"11",2022-11-15 07:12:56,"0x74d8a244bd6d12d64d569ae713686038d871aff5","Sell","Republican","🔵",1,1500.98,7e-04,"","Tx"
"12",2022-11-15 07:08:08,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Republican","🔴",3.4,5309.05,6e-04,"","Tx"
"13",2022-11-15 05:23:32,"0xee292607d48ecee93afc0fe9994fbe316f59c56d","Sell","Republican","🔵",9.62,12887.98,7e-04,"","Tx"
"14",2022-11-15 05:00:34,"0xee292607d48ecee93afc0fe9994fbe316f59c56d","Sell","Republican","🔵",10.01,7786.96,0.0013,"","Tx"
"15",2022-11-15 04:22:20,"0xd8d927c5e03bacc413a5432c22790de178095d39","Sell","Democrat","🔴",2387.88,2435.39,0.9805,"","Tx"
"16",2022-11-15 04:18:12,"0xa0fbec0ffc8881c3b20aeaaec02d584d3275e939","Sell","Republican","🔵",0.08,55.26,0.0014,"","Tx"
"17",2022-11-15 04:16:28,"0xa0fbec0ffc8881c3b20aeaaec02d584d3275e939","Buy","Republican","🔴",1.3,925.81,0.0014,"","Tx"
"18",2022-11-15 04:15:22,"0x7a81d5d0bd724ebd82979a83309eb29dc2286d56","Sell","Democrat","🔴",7.2,7.34,0.9807,"","Tx"
"19",2022-11-15 03:32:52,"0x45cc78578b082e89f21e847a3afec8d28cd26400","Sell","Republican","🔵",1.11,820.72,0.0013,"","Tx"
"20",2022-11-15 02:59:46,"0x0c0e270cf879583d6a0142fc817e05b768d0434e","Sell","Republican","🔵",7.63,4679.58,0.0016,"","Tx"
"21",2022-11-15 02:57:42,"0x5711de7e50690fad13f5fb9603103d0f8f62aa00","Sell","Democrat","🔴",900.51,918.76,0.9801,"","Tx"
"22",2022-11-15 02:48:04,"0xd1acd3925d895de9aec98ff95f3a30c5279d08d5","Sell","Republican","🔵",0.53,292,0.0018,"","Tx"
"23",2022-11-15 02:16:55,"0x9d84ce0306f8551e02efef1680475fc0f1dc1344","Buy","Republican","🔴",4,2268.77,0.0018,"","Tx"
"24",2022-11-15 02:12:29,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Republican","🔴",10,7788.52,0.0013,"","Tx"
"25",2022-11-15 02:06:33,"0xd1acd3925d895de9aec98ff95f3a30c5279d08d5","Buy","Republican","🔴",0.15,148.58,0.001,"","Tx"
"26",2022-11-15 02:06:03,"0xd1acd3925d895de9aec98ff95f3a30c5279d08d5","Buy","Republican","🔴",2,2101.56,0.001,"","Tx"
