"","Timestamp","Account","Type","Outcome","Direction","Amount","Shares","Price","Var.9","Var.10"
"1",2022-11-19 22:58:41,"0x0c0e270cf879583d6a0142fc817e05b768d0434e","Sell","Democrat","🔴",1.11,150,0.0074,"","Tx"
"2",2022-11-19 21:29:51,"0xa0fbec0ffc8881c3b20aeaaec02d584d3275e939","Sell","Democrat","🔴",0.76,82.4,0.0092,"","Tx"
"3",2022-11-19 21:29:01,"0xa0fbec0ffc8881c3b20aeaaec02d584d3275e939","Buy","Democrat","🔵",1.97,241.44,0.0081,"","Tx"
"4",2022-11-19 21:28:21,"0xa0fbec0ffc8881c3b20aeaaec02d584d3275e939","Sell","Republican","🔵",1.97,2,0.9837,"","Tx"
"5",2022-11-19 18:53:17,"0x61b7acc426bd48c2c4f0d9d6ffc7dbcd5deae7e2","Sell","Democrat","🔴",0,0.24,0.0063,"","Tx"
"6",2022-11-19 13:50:26,"0x5c5ade8fb025f5ba72ac0912ee7068259d20f775","Sell","Democrat","🔴",0.03,4.76,0.0063,"","Tx"
"7",2022-11-19 12:43:16,"0x61b7acc426bd48c2c4f0d9d6ffc7dbcd5deae7e2","Buy","Democrat","🔵",0.63,104.89,0.006,"","Tx"
"8",2022-11-19 08:30:16,"0x8330e0bd8e4666873d662db7de675cb0d93f5700","Sell","Republican","🔵",18.79,19.08,0.9847,"","Tx"
"9",2022-11-19 04:23:46,"0x0c0e270cf879583d6a0142fc817e05b768d0434e","Sell","Democrat","🔴",2.39,339.01,0.0071,"","Tx"
"10",2022-11-19 03:43:58,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Democrat","🔴",3.75,278,0.0135,"","Tx"
"11",2022-11-19 03:43:30,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Democrat","🔴",6.21,222,0.028,"","Tx"
"12",2022-11-19 03:00:54,"0xa92c03759c05c2ff02e1545351055620ffb5c620","Sell","Democrat","🔴",0.55,12.96,0.0421,"","Tx"
"13",2022-11-18 20:40:10,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Democrat","🔴",2.42,50,0.0484,"","Tx"
"14",2022-11-18 14:39:56,"0x2252f31ee32e0984dd1f85e17c5255de6787e465","Sell","Republican","🔵",83.55,88.38,0.9453,"","Tx"
"15",2022-11-18 06:03:28,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",1.33,37.89,0.0351,"","Tx"
"16",2022-11-18 06:01:24,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",2,69.15,0.0289,"","Tx"
"17",2022-11-18 06:00:42,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",1,41.75,0.024,"","Tx"
"18",2022-11-18 05:59:04,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",1.11,53.78,0.0207,"","Tx"
"19",2022-11-18 05:52:04,"0x9a080a771653d1c9ce210d075e0a895809ea2523","Buy","Republican","🔴",400,414.79,0.9643,"","Tx"
"20",2022-11-18 04:53:06,"0xa6479f0515c8bfc6b3e52fff962c90f7632aa27b","Buy","Republican","🔴",20,22.3,0.8968,"","Tx"
"21",2022-11-18 04:19:52,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Democrat","🔴",0.6,5,0.1207,"","Tx"
"22",2022-11-18 04:11:54,"0xa0fbec0ffc8881c3b20aeaaec02d584d3275e939","Buy","Republican","🔴",4.19,4.74,0.8832,"","Tx"
"23",2022-11-18 02:03:05,"0x07c4f39862e865e6f9d307f1df5e6c24367d2c5b","Buy","Democrat","🔵",0.25,1.95,0.128,"","Tx"
"24",2022-11-18 01:16:01,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Democrat","🔴",1.96,15,0.1308,"","Tx"
"25",2022-11-18 01:11:39,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Democrat","🔴",2.16,15,0.1441,"","Tx"
"26",2022-11-18 01:08:27,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Democrat","🔴",4.12,25,0.1647,"","Tx"
"27",2022-11-18 00:52:23,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Democrat","🔴",8.73,42.03,0.2078,"","Tx"
"28",2022-11-18 00:48:07,"0x5711de7e50690fad13f5fb9603103d0f8f62aa00","Sell","Republican","🔵",212.29,244.07,0.8698,"","Tx"
"29",2022-11-17 23:56:03,"0x8016502332a54f42608d7e12549dbc82328a9894","Buy","Republican","🔴",26.12,27.52,0.9492,"","Tx"
"30",2022-11-17 21:46:08,"0x704859fdd5916823cf7bac0807549721d8f998c9","Sell","Democrat","🔴",2.09,30.34,0.0689,"","Tx"
"31",2022-11-17 21:46:06,"0xc2ae10af5ad16c72f21c3f803b90b0e2a8996374","Sell","Republican","🔵",42.92,46.46,0.9237,"","Tx"
"32",2022-11-17 21:46:06,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Democrat","🔵",1.7,30.34,0.056,"","Tx"
"33",2022-11-17 18:32:23,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",1,20.05,0.0499,"","Tx"
"34",2022-11-17 18:31:57,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",1,21.98,0.0455,"","Tx"
"35",2022-11-17 18:08:09,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Democrat","🔵",0.16,3.77,0.0431,"🥪","Tx"
"36",2022-11-17 18:08:09,"0x61b7acc426bd48c2c4f0d9d6ffc7dbcd5deae7e2","Buy","Republican","🔴",100,104.64,0.9556,"","Tx"
"37",2022-11-17 18:08:09,"0x704859fdd5916823cf7bac0807549721d8f998c9","Sell","Democrat","🔴",0.26,3.77,0.0685,"🥪","Tx"
"38",2022-11-17 17:29:18,"0x7a81d5d0bd724ebd82979a83309eb29dc2286d56","Sell","Democrat","🔴",4.71,58.07,0.0811,"","Tx"
"39",2022-11-17 13:38:33,"0x8b3443b73cd37c00c9a03f33227015c7f6975008","Sell","Democrat","🔴",8.29,70.16,0.1182,"","Tx"
"40",2022-11-17 06:05:01,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Democrat","🔴",3.98,25,0.1591,"","Tx"
"41",2022-11-17 05:18:16,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Democrat","🔴",0.91,5.18,0.1759,"","Tx"
"42",2022-11-17 02:23:25,"0x704859fdd5916823cf7bac0807549721d8f998c9","Sell","Democrat","🔴",1,5.48,0.1825,"🥪","Tx"
"43",2022-11-17 02:23:25,"0x6b3d278a0a62230364f55f1684ad24c1c12d76dd","Buy","Democrat","🔵",20,174.38,0.1147,"","Tx"
"44",2022-11-17 02:23:25,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Democrat","🔵",0.36,5.48,0.066,"🥪","Tx"
"45",2022-11-17 01:54:15,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",0.33,5.19,0.0643,"","Tx"
"46",2022-11-17 01:53:17,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",0.44,7.05,0.0624,"","Tx"
"47",2022-11-17 01:52:15,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",1.33,22.9,0.0581,"","Tx"
"48",2022-11-17 01:51:09,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",0.67,12.48,0.0534,"","Tx"
"49",2022-11-17 01:50:31,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",1.11,22.49,0.0494,"","Tx"
"50",2022-11-17 01:45:11,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",1,22.32,0.0448,"","Tx"
"51",2022-11-17 01:14:11,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Democrat","🔵",0.09,2.09,0.0425,"🥪","Tx"
