"","Timestamp","Account","Type","Outcome","Direction","Amount","Shares","Price","Var.9","Var.10"
"1",2022-11-09 09:34:38,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Buy","Democrat","🔵",0.44,300,0.0015,"","Tx"
"2",2022-11-09 08:53:32,"0x7d676a88085f3652b2e2e299cbcb529df6b3102c","Sell","Democrat","🔴",7.11,3332.97,0.0021,"","Tx"
"3",2022-11-09 05:30:03,"0xfe7d55be88b9a37df7418a0582a9e91e9d5eb81f","Sell","Republican","🔵",10.58,10.72,0.9868,"","Tx"
"4",2022-11-09 01:23:59,"0xee292607d48ecee93afc0fe9994fbe316f59c56d","Sell","Democrat","🔴",9.33,2000,0.0047,"","Tx"
"5",2022-11-09 01:18:07,"0xee292607d48ecee93afc0fe9994fbe316f59c56d","Sell","Democrat","🔴",0.01,1,0.0068,"","Tx"
"6",2022-11-09 01:16:53,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Democrat","🔴",2.17,300,0.0072,"","Tx"
"7",2022-11-09 01:13:53,"0xee292607d48ecee93afc0fe9994fbe316f59c56d","Sell","Democrat","🔴",10.16,999,0.0102,"","Tx"
"8",2022-11-08 22:37:36,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Democrat","🔴",0,0.24,0.0133,"","Tx"
"9",2022-11-08 22:28:00,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",1.85,139.15,0.0133,"","Tx"
"10",2022-11-08 21:17:32,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",2,157.69,0.0127,"","Tx"
"11",2022-11-08 21:13:04,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",3,251.94,0.0119,"","Tx"
"12",2022-11-08 21:07:28,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",1,88.42,0.0113,"","Tx"
"13",2022-11-08 19:15:26,"0xee292607d48ecee93afc0fe9994fbe316f59c56d","Sell","Democrat","🔴",12.83,999.9,0.0128,"","Tx"
"14",2022-11-08 18:42:00,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",1,65.9,0.0152,"","Tx"
"15",2022-11-08 11:23:23,"0xf1302aafc43aa3a69bcd8058fc7a0259dac246ab","Buy","Democrat","🔵",0.01,0.67,0.015,"","Tx"
"16",2022-11-08 06:41:52,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",1,67.42,0.0148,"","Tx"
"17",2022-11-08 04:37:30,"0x0c0e270cf879583d6a0142fc817e05b768d0434e","Sell","Democrat","🔴",19.38,1099.9,0.0176,"","Tx"
"18",2022-11-08 04:30:54,"0x0c0e270cf879583d6a0142fc817e05b768d0434e","Sell","Democrat","🔴",7.49,324.08,0.0231,"","Tx"
"19",2022-11-08 02:36:56,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Democrat","🔴",0.6,24,0.0249,"","Tx"
"20",2022-11-08 02:35:12,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",0.1,3.92,0.0255,"","Tx"
"21",2022-11-07 23:06:58,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Democrat","🔴",6.57,250,0.0263,"","Tx"
"22",2022-11-07 20:59:30,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Democrat","🔴",5.78,200,0.0289,"","Tx"
"23",2022-11-07 19:29:54,"0x8016502332a54f42608d7e12549dbc82328a9894","Buy","Republican","🔴",5,5.11,0.9792,"","Tx"
"24",2022-11-07 15:37:51,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Democrat","🔴",1.53,50,0.0306,"","Tx"
