"","Timestamp","Account","Type","Outcome","Direction","Amount","Shares","Price","Var.9","Var.10"
"1",2022-11-09 11:02:20,"0x7d676a88085f3652b2e2e299cbcb529df6b3102c","Sell","Republican","🔵",4.69,2222,0.0021,"","Tx"
"2",2022-11-09 09:13:18,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Buy","Republican","🔴",2.5,1000,0.0025,"","Tx"
"3",2022-11-09 08:20:38,"0x7d676a88085f3652b2e2e299cbcb529df6b3102c","Sell","Republican","🔵",8.99,2834,0.0032,"","Tx"
"4",2022-11-09 07:12:30,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Republican","🔴",0.4,82.68,0.0048,"","Tx"
"5",2022-11-09 05:06:07,"0x7d676a88085f3652b2e2e299cbcb529df6b3102c","Sell","Republican","🔵",1.75,358.08,0.0049,"","Tx"
"6",2022-11-09 04:48:36,"0x777fae71d2ff9ec48a1213d48ba1d9d91024a1bb","Sell","Democrat","🔴",262.37,268.53,0.977,"","Tx"
"7",2022-11-09 04:09:59,"0x4babb9e0eeff37bff57b50ee94993a1c8fb2592f","Sell","Republican","🔵",0.58,120.14,0.0048,"","Tx"
"8",2022-11-09 04:07:07,"0x6c2ecdbf7b8b82bdd49f6bfbabdff8208d6b75ea","Sell","Democrat","🔴",304.36,311.42,0.9773,"","Tx"
"9",2022-11-09 04:01:49,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Republican","🔵",13.29,2000,0.0066,"","Tx"
"10",2022-11-09 04:01:33,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Republican","🔵",39.06,2000,0.0195,"","Tx"
"11",2022-11-09 03:57:14,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Republican","🔵",13.22,300,0.0441,"","Tx"
"12",2022-11-09 03:56:28,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Republican","🔵",18.16,300,0.0605,"","Tx"
"13",2022-11-09 03:39:08,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Republican","🔴",0.62,8.38,0.0739,"🥪","Tx"
"14",2022-11-09 03:39:08,"0x777fae71d2ff9ec48a1213d48ba1d9d91024a1bb","Buy","Democrat","🔵",250,268.54,0.931,"","Tx"
"15",2022-11-09 03:39:08,"0x704859fdd5916823cf7bac0807549721d8f998c9","Sell","Republican","🔵",0.84,8.38,0.1004,"🥪","Tx"
"16",2022-11-09 03:04:03,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Republican","🔵",5.77,55,0.1049,"","Tx"
"17",2022-11-09 01:37:07,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",25,27.68,0.9031,"","Tx"
"18",2022-11-09 00:53:37,"0x346e6264495004ff771285fdbf7f59c28cabb0ed","Sell","Republican","🔵",5.87,49.98,0.1174,"","Tx"
"19",2022-11-09 00:50:39,"0x346e6264495004ff771285fdbf7f59c28cabb0ed","Sell","Republican","🔵",6.31,50,0.1262,"","Tx"
"20",2022-11-08 20:31:04,"0x0364e487ccd5a61d3c83848a420846848ae08061","Buy","Democrat","🔵",20,22.67,0.8821,"","Tx"
"21",2022-11-08 19:22:20,"0x0364e487ccd5a61d3c83848a420846848ae08061","Buy","Democrat","🔵",30,34.05,0.881,"","Tx"
"22",2022-11-08 15:07:34,"0x57d25e392c86e901ed50e574fe607f4a60b29992","Buy","Democrat","🔵",50,56.87,0.8791,"","Tx"
"23",2022-11-08 14:21:24,"0xb1f56fbd81db030502d7cd1bbea695aafbd1823b","Buy","Democrat","🔵",22.35,25.47,0.8774,"","Tx"
"24",2022-11-08 14:07:48,"0x65a56a39f86233eba3dc387257e77bdea9f2e0be","Buy","Democrat","🔵",20,22.82,0.8764,"","Tx"
"25",2022-11-08 14:07:18,"redKollantai","Buy","Democrat","🔵",17.79,20.32,0.8755,"","Tx"
"26",2022-11-08 13:52:58,"redKollantai","Buy","Democrat","🔵",16.53,18.9,0.8747,"","Tx"
"27",2022-11-08 04:58:10,"0x667de6376f3b3a1ed920c18ef51889490f950773","Buy","Democrat","🔵",40,45.81,0.8733,"","Tx"
"28",2022-11-08 04:08:34,"0x716ab045dd7aced76c007060ab4d74ce56de8a61","Buy","Republican","🔴",15,103.96,0.1443,"","Tx"
"29",2022-11-08 00:11:14,"0x6eb4ad8ca0f77c03942644a39a5b9f43f5d92ecf","Buy","Democrat","🔵",400,460.97,0.8677,"","Tx"
"30",2022-11-07 05:52:03,"0x6c2ecdbf7b8b82bdd49f6bfbabdff8208d6b75ea","Buy","Democrat","🔵",58.19,67.82,0.858,"","Tx"
"31",2022-11-07 05:21:01,"0x4babb9e0eeff37bff57b50ee94993a1c8fb2592f","Buy","Republican","🔴",8.18,50.91,0.1607,"","Tx"
"32",2022-11-06 18:14:40,"0x8016502332a54f42608d7e12549dbc82328a9894","Buy","Democrat","🔵",5,5.82,0.8585,"","Tx"
"33",2022-11-06 00:44:47,"0x9035b664e28ecf0188c8c672326056dc1dfc3461","Buy","Republican","🔴",25,159.35,0.1569,"","Tx"
"34",2022-11-03 20:01:09,"0x98e7bb1801edd0c7a6f08399db0e3ecb2ee50a64","Buy","Republican","🔴",10,65.48,0.1527,"","Tx"
"35",2022-11-03 19:47:47,"0x98e7bb1801edd0c7a6f08399db0e3ecb2ee50a64","Buy","Republican","🔴",20,134.1,0.1491,"","Tx"
"36",2022-11-03 04:33:38,"0x7d676a88085f3652b2e2e299cbcb529df6b3102c","Buy","Republican","🔴",3,20.49,0.1464,"","Tx"
"37",2022-11-03 04:29:12,"0xb380c8a4cfd5d73954b009063a344c991b231db5","Buy","Republican","🔴",5,34.37,0.1455,"","Tx"
"38",2022-11-03 04:12:42,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Republican","🔵",74.19,500,0.1484,"","Tx"
"39",2022-11-03 03:58:04,"0xa56c9cef0fbbc0523e0da139fa75b43b0650d31c","Buy","Republican","🔴",20,124.34,0.1609,"","Tx"
"40",2022-11-03 00:54:20,"0x1502cb37930b2bd576a003d0545aea04e66c6abe","Buy","Republican","🔴",25,160.84,0.1554,"","Tx"
"41",2022-11-02 22:24:06,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Republican","🔴",3.45,22.71,0.1521,"🥪","Tx"
"42",2022-11-02 22:24:06,"0x60b2a17f0472db7361ae3189ad99063efe0b3cce","Buy","Democrat","🔵",300,348.77,0.8602,"","Tx"
"43",2022-11-02 22:24:06,"0x704859fdd5916823cf7bac0807549721d8f998c9","Sell","Republican","🔵",3.62,22.71,0.1595,"🥪","Tx"
"44",2022-11-02 20:34:39,"0x6c2ecdbf7b8b82bdd49f6bfbabdff8208d6b75ea","Buy","Democrat","🔵",122,143.6,0.8496,"","Tx"
"45",2022-11-02 14:33:10,"0x4babb9e0eeff37bff57b50ee94993a1c8fb2592f","Buy","Republican","🔴",11.79,69.24,0.1703,"","Tx"
"46",2022-11-02 06:46:24,"0x44d9200a6b0106d041f9460fa84d054736c14c1a","Buy","Republican","🔴",100,639.07,0.1565,"","Tx"
"47",2022-11-02 05:40:29,"0x2e41d5e1de9a072d73fd30eef9df55396270f050","Buy","Republican","🔴",50,359.9,0.1389,"","Tx"
"48",2022-11-01 13:41:27,"0x140b8f4554baf49f8da54f283860e5b7b039157d","Buy","Democrat","🔵",1,1.13,0.8851,"","Tx"
"49",2022-10-31 19:45:26,"0x63b2c44a2bab92a2fc0e785edc7ff6fcd9e5cb01","Buy","Democrat","🔵",15,16.95,0.8848,"","Tx"
"50",2022-10-30 19:31:20,"0x0c0e270cf879583d6a0142fc817e05b768d0434e","Sell","Republican","🔵",65.77,481.8,0.1365,"","Tx"
"51",2022-10-30 06:34:01,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Republican","🔵",14.63,100,0.1463,"","Tx"
