"","Timestamp","Account","Type","Outcome","Direction","Amount","Shares","Price","Var.9","Var.10"
"1",2022-11-10 17:00:38,"0x8c2fa256c8690a6651d4db04ee7c1d08031564fa","Sell","Republican","🔵",6.74,49971.64,1e-04,"","Tx"
"2",2022-11-10 13:16:04,"0x8f9a4d26c7f1ff2f50d7709a02f59e1c656c2b68","Sell","Republican","🔵",0.02,5.28,0.0031,"","Tx"
"3",2022-11-09 22:56:21,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Democrat","🔴",0.01,0.01,0.9869,"","Tx"
"4",2022-11-09 22:50:03,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Republican","🔴",1.17,435.42,0.0027,"","Tx"
"5",2022-11-09 11:42:05,"0x6c2ecdbf7b8b82bdd49f6bfbabdff8208d6b75ea","Sell","Democrat","🔴",19.82,20.06,0.9878,"","Tx"
"6",2022-11-09 10:35:54,"0x8016502332a54f42608d7e12549dbc82328a9894","Sell","Democrat","🔴",29.34,29.7,0.9879,"","Tx"
"7",2022-11-09 10:23:10,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Buy","Republican","🔴",0.92,500,0.0018,"","Tx"
"8",2022-11-09 08:03:42,"0x0c0e270cf879583d6a0142fc817e05b768d0434e","Sell","Republican","🔵",7.89,1999.97,0.0039,"","Tx"
"9",2022-11-09 07:54:34,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Republican","🔵",4.01,300,0.0134,"","Tx"
"10",2022-11-09 07:48:56,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Republican","🔵",0.71,39,0.0182,"","Tx"
"11",2022-11-09 07:43:24,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Republican","🔵",19.74,500,0.0395,"","Tx"
"12",2022-11-09 07:37:46,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Republican","🔵",37.08,250,0.1483,"","Tx"
"13",2022-11-09 07:31:12,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Buy","Republican","🔴",20.59,100,0.2059,"","Tx"
"14",2022-11-09 07:28:28,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Buy","Republican","🔴",12.69,100,0.1269,"","Tx"
"15",2022-11-09 06:31:28,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Republican","🔴",7.47,88.43,0.0845,"","Tx"
"16",2022-11-09 06:31:28,"0x6b3d278a0a62230364f55f1684ad24c1c12d76dd","Buy","Democrat","🔵",140,153.51,0.912,"","Tx"
"17",2022-11-09 06:31:28,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Democrat","🔵",74.49,88.43,0.8424,"","Tx"
