"","Timestamp","Account","Type","Outcome","Direction","Amount","Shares","Price","Var.9","Var.10"
"1",2022-11-09 08:49:46,"0xa979d1ac12fd91f67304e7af9ab25b79a32c674d","Sell","Republican","🔵",0.38,2565.61,1e-04,"","Tx"
"2",2022-11-09 08:48:06,"0x4cc3522b689a6bf1fb4a2444c523e7776db47552","Sell","Republican","🔵",0.34,1378.3,2e-04,"","Tx"
"3",2022-11-09 08:10:18,"0xef36b6b7250230e386ee73f869cd78670a354799","Buy","Republican","🔴",1.02,7411.54,1e-04,"","Tx"
"4",2022-11-09 06:19:46,"0xe8e46bdb46513ffa3306564303f375f005a5b676","Sell","Republican","🔵",0.1,1523.51,1e-04,"","Tx"
"5",2022-11-09 05:51:40,"0xee292607d48ecee93afc0fe9994fbe316f59c56d","Sell","Republican","🔵",1.47,11521.71,1e-04,"","Tx"
"6",2022-11-09 05:43:52,"0x704859fdd5916823cf7bac0807549721d8f998c9","Sell","Republican","🔵",3.65,6839.29,5e-04,"","Tx"
"7",2022-11-09 05:43:44,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Republican","🔴",3.38,6839.29,5e-04,"","Tx"
"8",2022-11-09 04:50:55,"0xe8e46bdb46513ffa3306564303f375f005a5b676","Sell","Republican","🔵",1.21,4000,3e-04,"","Tx"
"9",2022-11-09 04:46:00,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Buy","Republican","🔴",0.45,1100,4e-04,"","Tx"
"10",2022-11-09 04:44:28,"0x6b3329d1c50ff7d6f8c475e696b63cca78117930","Sell","Republican","🔵",0.23,597.69,4e-04,"","Tx"
"11",2022-11-09 04:25:27,"0x0c0e270cf879583d6a0142fc817e05b768d0434e","Sell","Republican","🔵",5.35,5000,0.0011,"","Tx"
"12",2022-11-09 04:19:07,"0x7789806c754eb0af4c3abeb026c218b4ba78f823","Sell","Republican","🔵",1.68,500,0.0034,"","Tx"
"13",2022-11-09 04:04:43,"0x777fae71d2ff9ec48a1213d48ba1d9d91024a1bb","Buy","Republican","🔴",2,601.69,0.0033,"","Tx"
"14",2022-11-09 04:02:25,"0xe8e46bdb46513ffa3306564303f375f005a5b676","Buy","Republican","🔴",5,4494.87,0.0011,"","Tx"
"15",2022-11-09 03:53:02,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Republican","🔵",0.01,13.3,5e-04,"","Tx"
"16",2022-11-09 03:50:48,"0x7d676a88085f3652b2e2e299cbcb529df6b3102c","Buy","Republican","🔴",0.1,223.44,4e-04,"","Tx"
"17",2022-11-09 03:42:32,"0x7a81d5d0bd724ebd82979a83309eb29dc2286d56","Sell","Democrat","🔴",0.84,0.85,0.9896,"","Tx"
"18",2022-11-09 03:36:37,"0xe8e46bdb46513ffa3306564303f375f005a5b676","Sell","Republican","🔵",2.07,3000,7e-04,"","Tx"
"19",2022-11-09 03:24:45,"0x7668efbca0df8195ba199d3e19cb768e8b3779ec","Sell","Republican","🔵",1.76,1191.68,0.0015,"","Tx"
"20",2022-11-09 03:23:07,"0x7668efbca0df8195ba199d3e19cb768e8b3779ec","Sell","Republican","🔵",1.76,722.35,0.0024,"","Tx"
"21",2022-11-09 03:21:03,"0x6727da706628b2f23c416ada554a12c2c378db84","Sell","Democrat","🔴",591.39,598.89,0.9875,"","Tx"
"22",2022-11-09 03:19:57,"0x7d676a88085f3652b2e2e299cbcb529df6b3102c","Buy","Republican","🔴",1,541.05,0.0018,"","Tx"
"23",2022-11-09 03:12:57,"0x7d676a88085f3652b2e2e299cbcb529df6b3102c","Buy","Republican","🔴",1,739.06,0.0014,"","Tx"
"24",2022-11-09 03:08:11,"0xa68c1c1c2f10fe2f47398891f0b242fc72944f94","Buy","Republican","🔴",1,1070.4,9e-04,"","Tx"
"25",2022-11-09 03:04:35,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Republican","🔴",0.02,26.33,8e-04,"","Tx"
"26",2022-11-09 03:02:05,"0x7d676a88085f3652b2e2e299cbcb529df6b3102c","Sell","Republican","🔵",0.81,925.83,9e-04,"","Tx"
"27",2022-11-09 03:01:17,"0x0c0e270cf879583d6a0142fc817e05b768d0434e","Sell","Republican","🔵",13.49,3583.25,0.0038,"","Tx"
"28",2022-11-09 02:56:57,"0x777fae71d2ff9ec48a1213d48ba1d9d91024a1bb","Buy","Republican","🔴",7,801.02,0.0087,"","Tx"
"29",2022-11-09 02:52:41,"0x0c0e270cf879583d6a0142fc817e05b768d0434e","Sell","Republican","🔵",9.98,1000,0.01,"","Tx"
"30",2022-11-09 02:48:35,"0x6ef3bd71e0133a5aebec7621adedc6d48c96d8a2","Sell","Republican","🔵",7.87,318.41,0.0247,"","Tx"
