"","Timestamp","Account","Type","Outcome","Direction","Amount","Shares","Price","Var.9","Var.10"
"1",2022-11-09 15:21:47,"0x6b3d278a0a62230364f55f1684ad24c1c12d76dd","Sell","Democrat","🔴",1.3,4886.17,3e-04,"","Tx"
"2",2022-11-09 13:50:30,"0x400a4889afc3328c3f32ec48f19e0aad37f36c65","Sell","Democrat","🔴",0.04,96.6,4e-04,"","Tx"
"3",2022-11-09 11:09:15,"0x6a29804939d1dd6a00ba3ff807402d0de90e0f11","Sell","Republican","🔵",10.28,10.34,0.9936,"","Tx"
"4",2022-11-09 10:59:28,"0x0c0e270cf879583d6a0142fc817e05b768d0434e","Sell","Democrat","🔴",10.27,9000.37,0.0011,"","Tx"
"5",2022-11-09 10:51:22,"0x0babad89919ea50c054aeed005584404ba541d3a","Sell","Republican","🔵",157.05,158.49,0.9909,"","Tx"
"6",2022-11-09 09:50:08,"0x9d84ce0306f8551e02efef1680475fc0f1dc1344","Sell","Democrat","🔴",11.42,2222,0.0051,"","Tx"
"7",2022-11-09 09:35:50,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Democrat","🔴",8.04,700,0.0115,"","Tx"
"8",2022-11-09 09:21:29,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Democrat","🔴",25.34,1000,0.0253,"","Tx"
"9",2022-11-09 09:17:39,"0xc3b187214778d2b90916851cba43f70213c9a9f3","Buy","Democrat","🔵",50,6118.29,0.0082,"","Tx"
"10",2022-11-09 09:14:25,"0x13e5c10e9760d6cab6cee204dabae7922505420a","Sell","Democrat","🔴",13.31,4079,0.0033,"","Tx"
"11",2022-11-09 09:12:32,"0xa8b7f8b34185e9cc62c471e1d353595148a3ee3c","Sell","Democrat","🔴",16.68,1381.18,0.0121,"","Tx"
"12",2022-11-09 09:11:58,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Democrat","🔴",13.67,510.75,0.0268,"","Tx"
"13",2022-11-09 09:11:20,"0x704859fdd5916823cf7bac0807549721d8f998c9","Sell","Democrat","🔴",1.28,35.79,0.0358,"🥪","Tx"
"14",2022-11-09 09:11:20,"0xc3b187214778d2b90916851cba43f70213c9a9f3","Buy","Democrat","🔵",50,2499.71,0.02,"","Tx"
"15",2022-11-09 09:11:20,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Democrat","🔵",0.39,35.79,0.0108,"🥪","Tx"
"16",2022-11-09 09:02:12,"0x368dab93ea5593628d0b7d778c0801fd3f332a24","Sell","Democrat","🔴",11.77,800,0.0147,"","Tx"
"17",2022-11-09 09:02:02,"0x368dab93ea5593628d0b7d778c0801fd3f332a24","Sell","Democrat","🔴",26.59,800,0.0332,"","Tx"
"18",2022-11-09 09:01:34,"0x368dab93ea5593628d0b7d778c0801fd3f332a24","Sell","Democrat","🔴",30.22,400,0.0755,"","Tx"
"19",2022-11-09 08:51:28,"0x704859fdd5916823cf7bac0807549721d8f998c9","Sell","Democrat","🔴",9.78,85.09,0.1149,"🥪","Tx"
"20",2022-11-09 08:51:28,"0xc3b187214778d2b90916851cba43f70213c9a9f3","Buy","Democrat","🔵",100,8357.14,0.012,"","Tx"
"21",2022-11-09 08:51:28,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Democrat","🔵",0.09,85.09,0.001,"🥪","Tx"
