"","Timestamp","Account","Type","Outcome","Direction","Amount","Shares","Price","Var.9","Var.10"
"1",2022-11-09 10:02:08,"0x7d676a88085f3652b2e2e299cbcb529df6b3102c","Buy","Democrat","🔵",0.1,117.11,9e-04,"","Tx"
"2",2022-11-09 07:39:14,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Buy","Democrat","🔵",0.94,1200,8e-04,"","Tx"
"3",2022-11-09 06:10:54,"0xee292607d48ecee93afc0fe9994fbe316f59c56d","Sell","Democrat","🔴",5.16,4999.98,0.001,"","Tx"
"4",2022-11-09 05:33:37,"0x45cc78578b082e89f21e847a3afec8d28cd26400","Sell","Democrat","🔴",3.36,1863.01,0.0018,"","Tx"
"5",2022-11-09 02:49:03,"0x0c0e270cf879583d6a0142fc817e05b768d0434e","Sell","Democrat","🔴",21.2,4739,0.0045,"","Tx"
"6",2022-11-09 02:40:13,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Democrat","🔴",65.28,2783.55,0.0235,"","Tx"
"7",2022-11-09 02:21:05,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Democrat","🔴",13.04,200,0.0652,"","Tx"
"8",2022-11-09 01:52:29,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Democrat","🔴",11.89,150,0.0792,"","Tx"
"9",2022-11-09 01:44:21,"0xd1acd3925d895de9aec98ff95f3a30c5279d08d5","Buy","Democrat","🔵",22,294.19,0.0748,"","Tx"
"10",2022-11-09 01:33:31,"0x47c10ce32fb032cabced54c7227ab2308b7daf00","Sell","Democrat","🔴",14.39,206.89,0.0696,"","Tx"
"11",2022-11-09 01:28:53,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",3,38.55,0.0778,"","Tx"
"12",2022-11-08 23:22:15,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Democrat","🔴",0.37,5,0.0748,"","Tx"
"13",2022-11-08 23:21:29,"0xd1acd3925d895de9aec98ff95f3a30c5279d08d5","Buy","Democrat","🔵",33,575.48,0.0573,"","Tx"
"14",2022-11-08 23:21:01,"0x15ae79d7cd60b2a7f06ae46eb4c7a0eb16096ffd","Buy","Democrat","🔵",15,417.32,0.0359,"","Tx"
"15",2022-11-08 23:20:35,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Democrat","🔵",0.58,19.43,0.03,"🥪","Tx"
"16",2022-11-08 23:20:35,"0xda215eb7fc1ec26c19956ae74ae87f14f3a4c835","Buy","Republican","🔴",1050.85,1095.02,0.9597,"","Tx"
"17",2022-11-08 23:20:35,"0x704859fdd5916823cf7bac0807549721d8f998c9","Sell","Democrat","🔴",1.62,19.43,0.0836,"🥪","Tx"
"18",2022-11-08 18:44:52,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Democrat","🔴",4.33,50,0.0867,"","Tx"
"19",2022-11-08 12:02:39,"0x9d84ce0306f8551e02efef1680475fc0f1dc1344","Buy","Democrat","🔵",22,276.79,0.0795,"","Tx"
"20",2022-11-08 04:55:14,"0x0c0e270cf879583d6a0142fc817e05b768d0434e","Sell","Democrat","🔴",7.14,100,0.0714,"","Tx"
"21",2022-11-08 04:23:10,"0x7d676a88085f3652b2e2e299cbcb529df6b3102c","Buy","Democrat","🔵",2,26.29,0.0761,"","Tx"
"22",2022-11-07 19:54:06,"0x8016502332a54f42608d7e12549dbc82328a9894","Buy","Republican","🔴",14,14.99,0.9341,"","Tx"
"23",2022-11-07 19:47:28,"0x8016502332a54f42608d7e12549dbc82328a9894","Buy","Republican","🔴",5,5.35,0.9339,"","Tx"
"24",2022-11-07 19:33:02,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Democrat","🔴",7.57,100,0.0757,"","Tx"
"25",2022-11-07 19:29:48,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Democrat","🔴",3.86,50,0.0772,"","Tx"
"26",2022-11-07 02:27:57,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Democrat","🔴",3.91,50,0.0782,"","Tx"
"27",2022-11-06 22:53:45,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Democrat","🔴",1.78,22.51,0.079,"","Tx"
"28",2022-11-06 22:47:05,"0x3ba299760a42aba2ebe30a7af51670c8959f4cb0","Buy","Democrat","🔵",50,674.52,0.0741,"","Tx"
"29",2022-11-06 19:05:36,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",33.33,522.24,0.0638,"","Tx"
"30",2022-11-06 15:37:54,"0x0c0e270cf879583d6a0142fc817e05b768d0434e","Sell","Democrat","🔴",170.72,2000,0.0854,"","Tx"
"31",2022-11-05 23:47:21,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",1.74,13.95,0.1247,"","Tx"
"32",2022-11-05 23:44:13,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",24.15,199.54,0.121,"","Tx"
"33",2022-11-05 20:54:13,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",11.66,100.52,0.116,"","Tx"
"34",2022-11-05 20:28:41,"0x7d676a88085f3652b2e2e299cbcb529df6b3102c","Sell","Democrat","🔴",4.62,40.93,0.1127,"","Tx"
"35",2022-11-05 20:26:25,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",1.11,9.62,0.1155,"","Tx"
"36",2022-11-05 20:24:55,"0xf1302aafc43aa3a69bcd8058fc7a0259dac246ab","Sell","Democrat","🔴",29.29,250,0.1172,"","Tx"
"37",2022-11-05 20:20:59,"0x47c10ce32fb032cabced54c7227ab2308b7daf00","Sell","Democrat","🔴",38.03,300,0.1268,"","Tx"
"38",2022-11-05 16:01:36,"0xf1302aafc43aa3a69bcd8058fc7a0259dac246ab","Buy","Democrat","🔵",33,253.48,0.1302,"","Tx"
"39",2022-11-05 15:21:18,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",3.33,26.64,0.125,"","Tx"
"40",2022-11-05 04:56:21,"0x7d676a88085f3652b2e2e299cbcb529df6b3102c","Sell","Democrat","🔴",5.9,48.05,0.1229,"","Tx"
"41",2022-11-05 03:27:28,"0x7d676a88085f3652b2e2e299cbcb529df6b3102c","Sell","Democrat","🔴",19.37,153.1,0.1265,"","Tx"
"42",2022-11-04 22:40:41,"0x60b2a17f0472db7361ae3189ad99063efe0b3cce","Buy","Republican","🔴",100,114.17,0.8759,"","Tx"
"43",2022-11-04 19:49:58,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Democrat","🔴",2.68,20,0.1341,"","Tx"
"44",2022-11-04 16:28:19,"0x7d676a88085f3652b2e2e299cbcb529df6b3102c","Sell","Democrat","🔴",10.48,77,0.136,"","Tx"
"45",2022-11-04 13:20:21,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Democrat","🔴",0.37,2.7,0.1377,"","Tx"
"46",2022-11-04 11:09:45,"0xcd42863545733bf7c3631cd4d574819185ba1514","Buy","Democrat","🔵",50,375.79,0.1331,"","Tx"
"47",2022-11-04 02:23:08,"0x7d676a88085f3652b2e2e299cbcb529df6b3102c","Sell","Democrat","🔴",4.09,33,0.124,"","Tx"
"48",2022-11-04 02:20:16,"0x7d676a88085f3652b2e2e299cbcb529df6b3102c","Sell","Democrat","🔴",6.91,55,0.1256,"","Tx"
"49",2022-11-04 00:36:58,"0xe2b1fc269d0c2e27da11fadd1d9596fe28227d2a","Buy","Democrat","🔵",25,199.13,0.1255,"","Tx"
"50",2022-11-04 00:11:48,"0x7d676a88085f3652b2e2e299cbcb529df6b3102c","Sell","Democrat","🔴",6.42,53.28,0.1205,"","Tx"
"51",2022-11-03 23:51:46,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",2.22,17.98,0.1236,"","Tx"
"52",2022-11-03 23:50:48,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Democrat","🔴",64.97,500,0.1299,"","Tx"
"53",2022-11-03 23:49:44,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",22.22,159.61,0.1392,"","Tx"
"54",2022-11-03 23:48:22,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",3.33,24.6,0.1355,"","Tx"
"55",2022-11-03 23:47:45,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",1.11,8.24,0.1348,"","Tx"
"56",2022-11-03 23:47:17,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",33.33,256.82,0.1298,"","Tx"
"57",2022-11-03 23:46:51,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",25,205.86,0.1214,"","Tx"
"58",2022-11-03 15:57:05,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Democrat","🔴",5.23,45,0.1163,"","Tx"
"59",2022-11-03 15:53:09,"0x704859fdd5916823cf7bac0807549721d8f998c9","Sell","Democrat","🔴",1.12,9.6,0.1172,"🥪","Tx"
"60",2022-11-03 15:53:09,"0x45cc78578b082e89f21e847a3afec8d28cd26400","Buy","Democrat","🔵",50,443.86,0.1126,"","Tx"
"61",2022-11-03 15:53:09,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Democrat","🔵",1.01,9.6,0.1058,"🥪","Tx"
"62",2022-11-03 13:45:18,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",25,244.59,0.1022,"","Tx"
"63",2022-11-03 07:25:00,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Democrat","🔴",0.5,5.12,0.097,"","Tx"
"64",2022-11-03 07:19:58,"0x61b7acc426bd48c2c4f0d9d6ffc7dbcd5deae7e2","Sell","Republican","🔵",151.69,169.47,0.8951,"","Tx"
"65",2022-11-03 02:53:54,"0x7d676a88085f3652b2e2e299cbcb529df6b3102c","Sell","Democrat","🔴",14.49,153,0.0947,"","Tx"
"66",2022-11-02 17:31:19,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",10,102.81,0.0973,"","Tx"
"67",2022-11-02 06:55:24,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",0.22,2.31,0.0959,"","Tx"
"68",2022-11-02 06:52:42,"0x7d676a88085f3652b2e2e299cbcb529df6b3102c","Sell","Democrat","🔴",17.33,180,0.0963,"","Tx"
"69",2022-11-01 21:22:40,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Democrat","🔴",4.33,43.66,0.0992,"","Tx"
"70",2022-11-01 18:15:13,"0xa68c1c1c2f10fe2f47398891f0b242fc72944f94","Sell","Democrat","🔴",14.23,140,0.1017,"","Tx"
"71",2022-11-01 14:38:51,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",1.11,10.53,0.1055,"","Tx"
"72",2022-11-01 14:38:19,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",3.33,31.76,0.1049,"","Tx"
"73",2022-11-01 13:38:01,"0x140b8f4554baf49f8da54f283860e5b7b039157d","Buy","Republican","🔴",1,1.1,0.9056,"","Tx"
"74",2022-11-01 08:25:19,"0x8016502332a54f42608d7e12549dbc82328a9894","Buy","Republican","🔴",5.03,5.55,0.9055,"","Tx"
"75",2022-11-01 05:29:55,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",10,96.78,0.1033,"","Tx"
"76",2022-11-01 05:03:57,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",22.22,224.48,0.099,"","Tx"
"77",2022-11-01 02:33:16,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",10,105.54,0.0948,"","Tx"
"78",2022-11-01 02:26:48,"0x7d676a88085f3652b2e2e299cbcb529df6b3102c","Sell","Democrat","🔴",44.28,454.98,0.0973,"","Tx"
"79",2022-10-31 21:08:50,"0x47c10ce32fb032cabced54c7227ab2308b7daf00","Buy","Democrat","🔵",25,244.92,0.1021,"","Tx"
"80",2022-10-31 21:08:26,"0x47c10ce32fb032cabced54c7227ab2308b7daf00","Buy","Democrat","🔵",25,261.98,0.0954,"","Tx"
"81",2022-10-31 19:51:26,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",2.22,24.16,0.0919,"","Tx"
"82",2022-10-31 19:49:14,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",22.22,250.42,0.0887,"","Tx"
"83",2022-10-31 19:12:01,"0xa68c1c1c2f10fe2f47398891f0b242fc72944f94","Sell","Democrat","🔴",40.81,456.74,0.0894,"","Tx"
"84",2022-10-31 19:04:23,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Democrat","🔴",9.6,100,0.096,"","Tx"
"85",2022-10-31 19:03:51,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Democrat","🔴",9.86,100,0.0986,"","Tx"
"86",2022-10-31 19:02:56,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Democrat","🔴",34.51,330.05,0.1046,"","Tx"
"87",2022-10-31 02:07:56,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",1,8.97,0.1115,"","Tx"
"88",2022-10-30 23:58:39,"0x45cc78578b082e89f21e847a3afec8d28cd26400","Buy","Democrat","🔵",40,378.24,0.1058,"","Tx"
"89",2022-10-30 19:46:18,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",11,111.15,0.099,"","Tx"
"90",2022-10-30 19:42:40,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",5,51.63,0.0968,"","Tx"
"91",2022-10-30 19:19:10,"0x0c0e270cf879583d6a0142fc817e05b768d0434e","Sell","Democrat","🔴",108.2,999,0.1083,"","Tx"
"92",2022-10-30 15:49:39,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Democrat","🔴",0.12,1,0.1242,"","Tx"
"93",2022-10-30 15:46:19,"0x45cc78578b082e89f21e847a3afec8d28cd26400","Buy","Democrat","🔵",15,120.81,0.1242,"","Tx"
"94",2022-10-30 11:35:04,"0x60b2a17f0472db7361ae3189ad99063efe0b3cce","Buy","Republican","🔴",100,112.85,0.8861,"","Tx"
"95",2022-10-30 01:01:18,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",1,7.92,0.1262,"","Tx"
"96",2022-10-29 23:59:15,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",0.1,0.79,0.126,"","Tx"
"97",2022-10-29 17:52:35,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",0.5,3.97,0.1259,"","Tx"
