"","Timestamp","Account","Type","Outcome","Direction","Amount","Shares","Price","Var.9","Var.10"
"1",2022-11-10 16:46:18,"0x8c2fa256c8690a6651d4db04ee7c1d08031564fa","Sell","Republican","🔵",8.93,66554.92,1e-04,"","Tx"
"2",2022-11-10 01:53:11,"0x13e5c10e9760d6cab6cee204dabae7922505420a","Sell","Republican","🔵",5.4,1500,0.0036,"","Tx"
"3",2022-11-09 19:00:58,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Republican","🔵",0.58,99.96,0.0059,"","Tx"
"4",2022-11-09 10:23:56,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Republican","🔵",2.88,400,0.0072,"","Tx"
"5",2022-11-09 07:43:04,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Republican","🔵",2.97,300,0.0099,"","Tx"
"6",2022-11-09 07:41:36,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Republican","🔵",24.23,1000,0.0242,"","Tx"
"7",2022-11-09 04:39:54,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Republican","🔵",33.84,400,0.0846,"","Tx"
"8",2022-11-09 04:20:13,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Republican","🔵",38.58,200,0.1929,"","Tx"
"9",2022-11-09 03:59:18,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Republican","🔵",30.91,100,0.3091,"","Tx"
"10",2022-11-09 03:29:03,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Republican","🔵",41.91,100,0.4191,"","Tx"
"11",2022-11-08 22:22:08,"0x0f1a5c4e6aec79cb6e83a150465f02b4389c6dc0","Buy","Republican","🔴",60,134.82,0.445,"","Tx"
"12",2022-11-08 20:47:42,"0xf138d197f975dfc2be67addb45b902f15ad053b7","Buy","Republican","🔴",40,104.34,0.3834,"","Tx"
"13",2022-11-08 05:09:16,"0x98e7bb1801edd0c7a6f08399db0e3ecb2ee50a64","Buy","Republican","🔴",10,27.7,0.3611,"","Tx"
"14",2022-11-04 18:40:25,"0xda0895fdb39c7596f74df8693354ff47964572d4","Buy","Republican","🔴",25,72.51,0.3448,"","Tx"
"15",2022-11-03 16:49:28,"0x704859fdd5916823cf7bac0807549721d8f998c9","Sell","Republican","🔵",1.79,5.48,0.3275,"","Tx"
"16",2022-11-03 16:49:28,"0xa68c1c1c2f10fe2f47398891f0b242fc72944f94","Buy","Republican","🔴",20,61.44,0.3255,"","Tx"
"17",2022-11-03 16:49:26,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Republican","🔴",1.73,5.48,0.3154,"","Tx"
"18",2022-10-31 19:53:44,"0x63b2c44a2bab92a2fc0e785edc7ff6fcd9e5cb01","Buy","Republican","🔴",20,65.59,0.3049,"","Tx"
"19",2022-10-25 07:01:37,"0x042c9d7639085cca20a6f9bc19698fea80949abd","Buy","Republican","🔴",5.8,19.82,0.2927,"","Tx"
"20",2022-10-24 21:20:31,"0xa68c1c1c2f10fe2f47398891f0b242fc72944f94","Sell","Republican","🔵",20.71,70.47,0.294,"","Tx"
"21",2022-10-24 14:52:02,"0xa68c1c1c2f10fe2f47398891f0b242fc72944f94","Sell","Republican","🔵",32.21,101,0.3189,"","Tx"
"22",2022-10-22 19:06:07,"0xa68c1c1c2f10fe2f47398891f0b242fc72944f94","Buy","Republican","🔴",54,171.47,0.3149,"","Tx"
"23",2022-10-02 01:58:37,"0xe2b1fc269d0c2e27da11fadd1d9596fe28227d2a","Buy","Republican","🔴",15,54.33,0.2761,"","Tx"
