"","Timestamp","Account","Type","Outcome","Direction","Amount","Shares","Price","Var.9","Var.10"
"1",2022-11-09 10:57:14,"0x7d676a88085f3652b2e2e299cbcb529df6b3102c","Sell","Democrat","🔴",2.45,1111,0.0022,"","Tx"
"2",2022-11-09 10:42:18,"0x8016502332a54f42608d7e12549dbc82328a9894","Sell","Republican","🔵",25.64,25.86,0.9916,"","Tx"
"3",2022-11-09 10:11:04,"0x7d676a88085f3652b2e2e299cbcb529df6b3102c","Sell","Democrat","🔴",0.31,124.64,0.0025,"","Tx"
"4",2022-11-09 09:13:53,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Buy","Democrat","🔵",2.3,1000,0.0023,"","Tx"
"5",2022-11-09 07:50:08,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Buy","Democrat","🔵",1.91,1000,0.0019,"","Tx"
"6",2022-11-09 07:49:32,"0xa5cf890a19620385aa4cf5d371ee2ec21479b579","Sell","Democrat","🔴",2.96,1492.06,0.002,"","Tx"
"7",2022-11-09 05:43:52,"0x054790303ef27c09351c6ee72fdbb3b83e0d9926","Sell","Democrat","🔴",1.23,514.24,0.0024,"","Tx"
"8",2022-11-09 04:17:51,"0xb606128e1ff9db1eb0451c01cf79f0a505f26992","Sell","Democrat","🔴",5.23,1723.84,0.003,"","Tx"
"9",2022-11-09 03:21:59,"0xee292607d48ecee93afc0fe9994fbe316f59c56d","Sell","Democrat","🔴",17.36,3000,0.0058,"","Tx"
"10",2022-11-09 02:29:47,"0xb606128e1ff9db1eb0451c01cf79f0a505f26992","Buy","Democrat","🔵",5,605.05,0.0083,"","Tx"
"11",2022-11-09 02:12:57,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Democrat","🔴",8.83,1000,0.0088,"","Tx"
"12",2022-11-09 02:12:01,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Democrat","🔴",13.39,1000,0.0134,"","Tx"
"13",2022-11-09 01:58:47,"0x704859fdd5916823cf7bac0807549721d8f998c9","Sell","Democrat","🔴",0.48,28.25,0.017,"🥪","Tx"
"14",2022-11-09 01:58:47,"0xb606128e1ff9db1eb0451c01cf79f0a505f26992","Buy","Democrat","🔵",15,1118.79,0.0134,"","Tx"
"15",2022-11-09 01:58:47,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Democrat","🔵",0.29,28.25,0.0103,"🥪","Tx"
"16",2022-11-09 01:37:49,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Democrat","🔴",12.69,1000,0.0127,"","Tx"
"17",2022-11-08 19:21:18,"0xee292607d48ecee93afc0fe9994fbe316f59c56d","Sell","Democrat","🔴",38.34,1999,0.0192,"","Tx"
"18",2022-11-08 09:55:39,"0xf1302aafc43aa3a69bcd8058fc7a0259dac246ab","Sell","Democrat","🔴",0.04,1.9,0.0232,"","Tx"
"19",2022-11-08 02:17:14,"0x0b644e443a404159a7b5ca4650cf2444b13549bd","Sell","Democrat","🔴",25.87,1000,0.0259,"","Tx"
"20",2022-11-08 01:27:48,"0x6b3d278a0a62230364f55f1684ad24c1c12d76dd","Sell","Republican","🔵",0.1,0.11,0.9652,"","Tx"
"21",2022-11-07 22:32:18,"0x0b644e443a404159a7b5ca4650cf2444b13549bd","Sell","Democrat","🔴",74.72,2000,0.0374,"","Tx"
"22",2022-11-07 19:27:30,"0x8016502332a54f42608d7e12549dbc82328a9894","Buy","Republican","🔴",4,4.18,0.9572,"","Tx"
"23",2022-11-07 06:46:09,"0xca62d607db80661b987badf01abb499eee5afbfa","Sell","Democrat","🔴",9.95,199.99,0.0497,"","Tx"
"24",2022-11-07 06:37:31,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Democrat","🔴",60.01,1000,0.06,"","Tx"
"25",2022-11-07 06:29:09,"0x704859fdd5916823cf7bac0807549721d8f998c9","Sell","Democrat","🔴",0.39,5.53,0.0703,"🥪","Tx"
"26",2022-11-07 06:29:09,"0xc45c0734b12f8f9ff562bb02f49566ee82d9eeb7","Buy","Democrat","🔵",150,3312.84,0.0453,"","Tx"
"27",2022-11-07 06:29:09,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Democrat","🔵",0.16,5.53,0.0285,"🥪","Tx"
"28",2022-11-06 22:45:13,"0x704859fdd5916823cf7bac0807549721d8f998c9","Sell","Democrat","🔴",0.17,6.07,0.0282,"🥪","Tx"
"29",2022-11-06 22:45:13,"0x3ba299760a42aba2ebe30a7af51670c8959f4cb0","Buy","Democrat","🔵",50,2192.57,0.0228,"","Tx"
"30",2022-11-06 22:45:13,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Democrat","🔵",0.11,6.07,0.0182,"🥪","Tx"
"31",2022-11-06 20:25:02,"0x0b644e443a404159a7b5ca4650cf2444b13549bd","Sell","Democrat","🔴",19.8,1000,0.0198,"","Tx"
"32",2022-11-06 17:31:42,"0x542aae10712e812bd71d792861ec5a570aa8a81b","Sell","Democrat","🔴",0.81,37.13,0.0219,"","Tx"
"33",2022-11-06 15:26:14,"0x0b644e443a404159a7b5ca4650cf2444b13549bd","Sell","Democrat","🔴",24.43,1000,0.0244,"","Tx"
"34",2022-11-06 15:09:00,"0x6b3d278a0a62230364f55f1684ad24c1c12d76dd","Buy","Democrat","🔵",39.3,1702.19,0.0231,"","Tx"
"35",2022-11-06 12:07:23,"0x9d84ce0306f8551e02efef1680475fc0f1dc1344","Buy","Democrat","🔵",6.25,332.9,0.0188,"","Tx"
"36",2022-11-06 08:25:36,"0x76abc4deb4376bdd94f130316efe8e7483ed60f6","Sell","Democrat","🔴",10.43,550.54,0.0189,"","Tx"
"37",2022-11-06 04:03:31,"0x45cc78578b082e89f21e847a3afec8d28cd26400","Sell","Democrat","🔴",0.76,38.08,0.02,"","Tx"
"38",2022-11-05 11:24:51,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Democrat","🔵",0.97,48.04,0.0202,"🥪","Tx"
"39",2022-11-05 11:24:51,"0x76abc4deb4376bdd94f130316efe8e7483ed60f6","Sell","Democrat","🔴",9.34,448.44,0.0208,"","Tx"
"40",2022-11-05 11:24:51,"0x704859fdd5916823cf7bac0807549721d8f998c9","Sell","Democrat","🔴",1.05,48.04,0.0219,"🥪","Tx"
"41",2022-11-05 10:31:39,"0xf1302aafc43aa3a69bcd8058fc7a0259dac246ab","Sell","Democrat","🔴",10.72,465,0.0231,"","Tx"
"42",2022-11-05 06:40:59,"0x0b644e443a404159a7b5ca4650cf2444b13549bd","Sell","Democrat","🔴",27.05,1000,0.0271,"","Tx"
"43",2022-11-05 02:30:28,"0x0b644e443a404159a7b5ca4650cf2444b13549bd","Sell","Democrat","🔴",34.24,1000,0.0342,"","Tx"
"44",2022-11-04 17:44:07,"0x0b644e443a404159a7b5ca4650cf2444b13549bd","Sell","Democrat","🔴",44.57,999.99,0.0446,"","Tx"
"45",2022-11-02 22:17:14,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Democrat","🔵",2.89,56.29,0.0514,"","Tx"
"46",2022-11-02 22:17:14,"0x60b2a17f0472db7361ae3189ad99063efe0b3cce","Buy","Republican","🔴",500,525.86,0.9508,"","Tx"
"47",2022-11-02 22:17:12,"0x704859fdd5916823cf7bac0807549721d8f998c9","Sell","Democrat","🔴",3.35,56.29,0.0596,"","Tx"
"48",2022-11-02 02:48:59,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Democrat","🔴",71.24,1000,0.0712,"","Tx"
"49",2022-11-02 02:46:01,"0x704859fdd5916823cf7bac0807549721d8f998c9","Sell","Democrat","🔴",0.33,3.87,0.0843,"🥪","Tx"
"50",2022-11-02 02:46:01,"0xa5cf890a19620385aa4cf5d371ee2ec21479b579","Buy","Democrat","🔵",100,1492.07,0.067,"","Tx"
"51",2022-11-02 02:46:01,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Democrat","🔵",0.2,3.87,0.0524,"🥪","Tx"
