"","Timestamp","Account","Type","Outcome","Direction","Amount","Shares","Price","Var.9","Var.10"
"1",2022-11-10 01:55:39,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Republican","🔵",1.88,400,0.0047,"","Tx"
"2",2022-11-09 23:28:55,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Sell","Democrat","🔴",0.33,0.33,0.9838,"","Tx"
"3",2022-11-09 22:59:19,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Republican","🔴",1.26,236.63,0.0053,"","Tx"
"4",2022-11-09 13:05:01,"0x042c9d7639085cca20a6f9bc19698fea80949abd","Sell","Republican","🔵",0.04,9.63,0.0044,"","Tx"
"5",2022-11-09 11:40:15,"0x8f9a4d26c7f1ff2f50d7709a02f59e1c656c2b68","Sell","Republican","🔵",0.05,11.18,0.0045,"","Tx"
"6",2022-11-09 06:49:47,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Republican","🔵",0.48,100,0.0048,"","Tx"
"7",2022-11-09 05:40:07,"0x6b3d278a0a62230364f55f1684ad24c1c12d76dd","Sell","Republican","🔵",1.51,240.47,0.0063,"","Tx"
"8",2022-11-09 05:39:41,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Republican","🔵",13.38,700,0.0191,"","Tx"
"9",2022-11-09 04:58:02,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",200,215.92,0.9263,"","Tx"
"10",2022-11-09 04:21:11,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Republican","🔵",19.33,100,0.1933,"","Tx"
"11",2022-11-09 03:59:30,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Republican","🔵",36.46,100,0.3646,"","Tx"
"12",2022-11-09 03:08:03,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Buy","Democrat","🔵",22.85,50,0.4571,"","Tx"
"13",2022-11-09 03:07:07,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Buy","Democrat","🔵",29.34,100,0.2934,"","Tx"
"14",2022-11-09 02:34:19,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",3,15.09,0.1989,"","Tx"
"15",2022-11-09 02:13:59,"0x8f9a4d26c7f1ff2f50d7709a02f59e1c656c2b68","Sell","Republican","🔵",5.25,6.5,0.8082,"","Tx"
"16",2022-11-09 01:53:25,"0x042c9d7639085cca20a6f9bc19698fea80949abd","Sell","Republican","🔵",8.17,10,0.8174,"","Tx"
"17",2022-11-09 00:36:41,"0x3cf3e8d5427aed066a7a5926980600f6c3cf87b3","Buy","Democrat","🔵",1,5.97,0.1675,"","Tx"
"18",2022-11-09 00:21:21,"0x716ab045dd7aced76c007060ab4d74ce56de8a61","Buy","Republican","🔴",11,13.11,0.8388,"","Tx"
"19",2022-11-09 00:21:03,"0x6ef3bd71e0133a5aebec7621adedc6d48c96d8a2","Buy","Republican","🔴",100,138.44,0.7224,"","Tx"
"20",2022-11-09 00:03:59,"0x98e7bb1801edd0c7a6f08399db0e3ecb2ee50a64","Buy","Republican","🔴",10,17.91,0.5585,"","Tx"
"21",2022-11-08 23:18:09,"0x9f6e51441d817a3687b3a413d3f815ba8c8dff8f","Sell","Republican","🔵",1.59,3,0.5291,"","Tx"
"22",2022-11-08 19:45:10,"0x6ef3bd71e0133a5aebec7621adedc6d48c96d8a2","Buy","Republican","🔴",100,200.04,0.4999,"","Tx"
"23",2022-11-08 15:32:16,"0x8f9a4d26c7f1ff2f50d7709a02f59e1c656c2b68","Buy","Republican","🔴",8,17.68,0.4524,"","Tx"
"24",2022-11-08 11:46:53,"0x9f6e51441d817a3687b3a413d3f815ba8c8dff8f","Sell","Republican","🔵",0.38,0.86,0.4398,"","Tx"
"25",2022-11-08 05:08:44,"0x98e7bb1801edd0c7a6f08399db0e3ecb2ee50a64","Buy","Republican","🔴",20,45.54,0.4392,"","Tx"
"26",2022-11-08 04:07:04,"0x716ab045dd7aced76c007060ab4d74ce56de8a61","Buy","Republican","🔴",15,35.54,0.422,"","Tx"
"27",2022-11-08 02:26:54,"0x9f6e51441d817a3687b3a413d3f815ba8c8dff8f","Buy","Republican","🔴",0.5,1.21,0.4143,"","Tx"
