"","Timestamp","Account","Type","Outcome","Direction","Amount","Shares","Price","Var.9","Var.10"
"1",2022-11-09 11:13:45,"0x0c0e270cf879583d6a0142fc817e05b768d0434e","Sell","Republican","🔵",5.26,11000,5e-04,"","Tx"
"2",2022-11-09 11:09:05,"0x0c0e270cf879583d6a0142fc817e05b768d0434e","Sell","Republican","🔵",4.86,3999.99,0.0012,"","Tx"
"3",2022-11-09 11:07:01,"0xa8b7f8b34185e9cc62c471e1d353595148a3ee3c","Sell","Republican","🔵",2.15,1111,0.0019,"","Tx"
"4",2022-11-09 09:17:21,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Buy","Republican","🔴",3.61,2000,0.0018,"","Tx"
"5",2022-11-09 08:53:44,"0xa8b7f8b34185e9cc62c471e1d353595148a3ee3c","Sell","Republican","🔵",6.98,3332.96,0.0021,"","Tx"
"6",2022-11-09 04:57:46,"0x0c0e270cf879583d6a0142fc817e05b768d0434e","Sell","Republican","🔵",3.53,1000,0.0035,"","Tx"
"7",2022-11-09 04:53:19,"0x0c0e270cf879583d6a0142fc817e05b768d0434e","Sell","Republican","🔵",11.95,2000,0.006,"","Tx"
"8",2022-11-09 04:44:56,"0x7668efbca0df8195ba199d3e19cb768e8b3779ec","Sell","Republican","🔵",43.78,2349,0.0186,"","Tx"
"9",2022-11-09 04:38:32,"0x704859fdd5916823cf7bac0807549721d8f998c9","Sell","Republican","🔵",1.4,35.04,0.0401,"🥪","Tx"
"10",2022-11-09 04:38:32,"0x6126b8b3d6f48d4460f17632b71c1a9fbf05273f","Buy","Republican","🔴",50,2870.88,0.0174,"","Tx"
"11",2022-11-09 04:38:32,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Republican","🔴",0.25,35.04,0.0071,"🥪","Tx"
"12",2022-11-09 04:32:32,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Republican","🔵",23.49,2000,0.0117,"","Tx"
"13",2022-11-09 04:23:03,"0x042c9d7639085cca20a6f9bc19698fea80949abd","Sell","Republican","🔵",2.05,100.04,0.0205,"","Tx"
"14",2022-11-09 02:43:07,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Republican","🔴",0.67,31.46,0.0214,"🥪","Tx"
"15",2022-11-09 02:43:07,"0x6404bfa37fe830e29ee8967e1c3b2a8091d5f250","Buy","Democrat","🔵",1111,1138.95,0.9755,"","Tx"
"16",2022-11-09 02:43:07,"0x704859fdd5916823cf7bac0807549721d8f998c9","Sell","Republican","🔵",1.76,31.46,0.0561,"🥪","Tx"
"17",2022-11-09 02:07:27,"0xd0db79306c38e8ce1969ce80dde58fa67a67b117","Sell","Republican","🔵",2.93,50,0.0586,"","Tx"
"18",2022-11-09 01:57:37,"0x7668efbca0df8195ba199d3e19cb768e8b3779ec","Sell","Republican","🔵",9.89,150.56,0.0657,"","Tx"
"19",2022-11-09 01:25:19,"0x777fae71d2ff9ec48a1213d48ba1d9d91024a1bb","Buy","Republican","🔴",10,149.03,0.0671,"","Tx"
"20",2022-11-09 01:03:11,"0x042c9d7639085cca20a6f9bc19698fea80949abd","Buy","Republican","🔴",3,50.08,0.0599,"","Tx"
"21",2022-11-09 00:55:29,"0x704859fdd5916823cf7bac0807549721d8f998c9","Buy","Republican","🔴",0.51,8.87,0.058,"🥪","Tx"
