"","Timestamp","Account","Type","Outcome","Direction","Amount","Shares","Price","Var.9","Var.10"
"1",2022-11-10 03:27:56,"0x15aa5c18c6d4dd01aea2baaed9d03c074005d51e","Sell","Democrat","🔴",0.02,124.93,2e-04,"","Tx"
"2",2022-11-10 02:07:23,"0x89392609c46c1f2da00ed1c4f0f01a1bb06a4a3b","Sell","Republican","🔵",0.54,0.55,0.9818,"","Tx"
"3",2022-11-10 02:06:51,"0x89392609c46c1f2da00ed1c4f0f01a1bb06a4a3b","Sell","Democrat","🔴",0.71,3204.8,2e-04,"","Tx"
"4",2022-11-10 01:36:21,"0x830264fc4e9f6389062d28d45fc325712b313feb","Sell","Republican","🔵",364.57,371.34,0.9818,"","Tx"
"5",2022-11-10 01:27:14,"0x89392609c46c1f2da00ed1c4f0f01a1bb06a4a3b","Sell","Republican","🔵",103.1,105.02,0.9818,"","Tx"
"6",2022-11-09 21:53:29,"0x413a0707b8d86f3f8ffa045ec46a38d862319510","Sell","Democrat","🔴",0.19,785.45,2e-04,"","Tx"
"7",2022-11-09 19:47:28,"0x0c0e270cf879583d6a0142fc817e05b768d0434e","Sell","Democrat","🔴",4.44,11296.91,4e-04,"","Tx"
"8",2022-11-09 19:43:42,"0x0c0e270cf879583d6a0142fc817e05b768d0434e","Sell","Democrat","🔴",25.58,13550.24,0.0019,"","Tx"
"9",2022-11-09 19:43:40,"0x2b9b0cda300ee93ba73bb58bbda14fdb19397feb","Sell","Republican","🔵",33.99,34.82,0.9762,"","Tx"
"10",2022-11-09 19:37:54,"0x5115160eb59eb7f82e0af3f0c9f0d340ad8fe1a2","Sell","Democrat","🔴",6.74,1000,0.0067,"","Tx"
"11",2022-11-09 18:11:28,"0x6de391f369a4d7f2e93553cbd8939b270269668a","Buy","Democrat","🔵",0.28,34.21,0.0082,"","Tx"
"12",2022-11-09 18:10:52,"0x6de391f369a4d7f2e93553cbd8939b270269668a","Sell","Republican","🔵",0.97,1,0.9742,"","Tx"
"13",2022-11-09 18:05:22,"0x89392609c46c1f2da00ed1c4f0f01a1bb06a4a3b","Sell","Democrat","🔴",9.51,1000,0.0095,"","Tx"
"14",2022-11-09 18:04:18,"0x89392609c46c1f2da00ed1c4f0f01a1bb06a4a3b","Sell","Democrat","🔴",14.64,1000,0.0146,"","Tx"
"15",2022-11-09 17:53:10,"0x45cc78578b082e89f21e847a3afec8d28cd26400","Sell","Democrat","🔴",6.64,326.75,0.0203,"","Tx"
"16",2022-11-09 16:35:01,"0xd0db79306c38e8ce1969ce80dde58fa67a67b117","Sell","Democrat","🔴",2.29,100,0.0229,"","Tx"
"17",2022-11-09 16:28:01,"0x93ea3d7dbfe7ad1f2e8905fc6365462dcee3a0c6","Sell","Republican","🔵",47.96,50.03,0.9587,"","Tx"
"18",2022-11-09 15:46:41,"0xe8e46bdb46513ffa3306564303f375f005a5b676","Sell","Democrat","🔴",20.74,715.54,0.029,"","Tx"
"19",2022-11-09 14:09:08,"0x424eea9dbf8257f8375a344ec3c656bc546feb0a","Buy","Democrat","🔵",35,1397.49,0.025,"","Tx"
"20",2022-11-09 14:08:12,"0xe8e46bdb46513ffa3306564303f375f005a5b676","Buy","Democrat","🔵",10,715.6,0.014,"","Tx"
